place_name,Accessibility ramp__mentions,Accessibility ramp__score,Accommodation__mentions,Accommodation__score,Bike rental__mentions,Bike rental__score,Boardwalk__mentions,Boardwalk__score,Boat rental__mentions,Boat rental__score,Boat service__mentions,Boat service__score,Bridge__mentions,Bridge__score,Brochure__mentions,Brochure__score,Cafe__mentions,Cafe__score,Camping facility__mentions,Camping facility__score,Changing room__mentions,Changing room__score,Clothing cover service__mentions,Clothing cover service__score,Diving equipment rental__mentions,Diving equipment rental__score,Donation box__mentions,Donation box__score,Drinking water__mentions,Drinking water__score,Entrance fee__mentions,Entrance fee__score,First aid__mentions,First aid__score,Food stall__mentions,Food stall__score,General facilities__mentions,General facilities__score,Guide service__mentions,Guide service__score,Handrail__mentions,Handrail__score,Information board__mentions,Information board__score,Jeep service__mentions,Jeep service__score,Life jacket__mentions,Life jacket__score,Lifeguard service__mentions,Lifeguard service__score,Lighting__mentions,Lighting__score,Locker__mentions,Locker__score,Market stalls__mentions,Market stalls__score,Multilingual information__mentions,Multilingual information__score,Parking__mentions,Parking__score,Pathway__mentions,Pathway__score,Public transport access__mentions,Public transport access__score,Rest area__mentions,Rest area__score,Restaurant__mentions,Restaurant__score,Road access__mentions,Road access__score,Safety barrier__mentions,Safety barrier__score,Scooter rental__mentions,Scooter rental__score,Seating__mentions,Seating__score,Security__mentions,Security__score,Shade or shelter__mentions,Shade or shelter__score,Shoe storage__mentions,Shoe storage__score,Shop__mentions,Shop__score,Shower__mentions,Shower__score,Signage__mentions,Signage__score,Snorkelling equipment rental__mentions,Snorkelling equipment rental__score,Souvenir shop__mentions,Souvenir shop__score,Steps or stairs__mentions,Steps or stairs__score,Surfboard rental__mentions,Surfboard rental__score,Taxi service__mentions,Taxi service__score,Ticket counter__mentions,Ticket counter__score,Ticket or receipt__mentions,Ticket or receipt__score,Toilet__mentions,Toilet__score,Towel service__mentions,Towel service__score,Train service__mentions,Train service__score,Tuk tuk service__mentions,Tuk tuk service__score,View platform__mentions,View platform__score,Visitor centre__mentions,Visitor centre__score,Waste bins__mentions,Waste bins__score
Batticaloa Fort,21,0.238,3,0.333,0,,0,,0,,6,0.5,8,0.25,0,,1,1.0,0,,0,,0,,0,,0,,0,,2,0.5,0,,0,,1,0.0,20,0.15,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,2,-0.5,0,,0,,0,,0,,8,-0.125,0,,0,,0,,0,,3,-0.333,0,,0,,9,0.0,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,1,1.0,0,
Beddegana Wetland Park,0,,0,,0,,0,,0,,0,,2,0.5,1,1.0,0,,0,,0,,0,,0,,0,,0,,5,0.0,0,,0,,1,1.0,0,,0,,2,0.5,0,,0,,0,,0,,0,,0,,0,,3,0.0,9,0.333,0,,0,,0,,0,,0,,0,,1,1.0,6,0.333,1,0.0,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,5,-0.2,1,0.0,0,,0,,0,,2,0.0,1,0.0,0,
Bentota Beach,0,,242,0.194,0,,0,,1,-1.0,14,0.357,1,0.0,1,0.0,18,0.222,0,,0,,4,0.0,0,,0,,0,,27,0.0,1,1.0,12,0.083,11,-0.091,3,0.333,0,,0,,0,,0,,14,-0.214,0,,1,-1.0,0,,0,,0,,0,,1,0.0,0,,69,0.145,2,-0.5,0,,0,,3,0.333,20,-0.25,12,-0.167,0,,4,-0.75,3,0.667,5,-0.4,0,,1,0.0,1,0.0,1,0.0,5,-0.2,0,,0,,5,-0.4,2,0.0,6,0.0,16,0.188,0,,0,,0,
Bogoda Wooden Bridge,0,,5,-0.2,0,,0,,0,,0,,105,-0.114,0,,0,,0,,0,,0,,0,,1,0.0,0,,1,0.0,0,,1,-1.0,0,,4,0.0,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,3,0.0,1,0.0,1,0.0,0,,0,,17,-0.353,2,-0.5,0,,0,,1,0.0,2,0.0,0,,1,-1.0,0,,3,-0.667,0,,0,,7,0.143,0,,1,0.0,0,,0,,0,,0,,0,,4,-0.25,0,,0,,0,
Bopath Ella (Bopath Falls),0,,6,0.333,0,,0,,0,,1,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,4,0.25,0,,1,0.0,1,-1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0.0,0,,1,0.0,0,,3,0.667,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,-0.2,1,-1.0,0,,0,,2,0.0,0,,0,,0,
Brief Garden - Bevis Bawa,1,0.0,30,0.133,0,,0,,0,,0,,0,,10,-0.2,5,-0.6,0,,0,,0,,0,,2,0.5,0,,106,0.17,0,,5,-0.4,0,,60,0.417,0,,1,0.0,0,,0,,0,,0,,0,,0,,1,-1.0,2,-0.5,7,0.143,2,-0.5,0,,3,-0.667,15,-0.067,1,-1.0,0,,8,0.375,3,-0.333,6,0.167,0,,2,0.0,4,0.25,19,-0.632,0,,3,-0.667,12,0.083,0,,3,0.333,0,,19,-0.211,3,0.0,1,0.0,0,,64,0.141,1,-1.0,0,,0,
Buduruwagala Temple,0,,4,0.25,0,,0,,0,,1,0.0,0,,1,0.0,5,0.2,0,,0,,1,1.0,0,,2,0.5,0,,15,0.133,0,,1,0.0,0,,2,-0.5,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,5,0.0,1,0.0,1,-1.0,0,,1,-1.0,12,0.0,0,,0,,2,0.0,1,-1.0,1,1.0,4,0.25,0,,0,,2,0.0,0,,0,,5,0.2,0,,0,,1,0.0,11,-0.364,2,-1.0,0,,0,,5,0.6,0,,0,,0,
Casuarina Beach,0,,6,0.167,0,,0,,1,0.0,13,0.308,2,0.0,3,0.0,2,0.0,0,,27,0.185,0,,0,,0,,1,0.0,35,0.057,0,,16,0.062,5,0.4,0,,0,,0,,0,,1,1.0,12,0.417,1,0.0,0,,0,,0,,8,0.625,0,,7,0.571,0,,13,0.0,4,0.5,0,,0,,4,-0.25,14,0.429,7,0.0,0,,19,-0.053,19,-0.053,4,0.0,0,,0,,0,,0,,1,0.0,0,,3,0.333,28,0.036,0,,0,,11,0.182,0,,0,,0,
Ceylon Tea Museum,0,,8,-0.125,0,,0,,0,,0,,0,,10,0.3,46,0.391,0,,0,,0,,0,,1,0.0,0,,75,0.28,0,,1,-1.0,6,1.0,107,0.523,0,,3,0.333,0,,0,,0,,0,,0,,0,,5,0.4,1,-1.0,1,1.0,3,-0.333,0,,13,0.308,4,0.0,1,0.0,0,,0,,1,0.0,0,,0,,66,0.303,0,,5,-0.4,0,,17,0.235,19,0.263,0,,3,0.667,0,,23,0.478,5,0.0,0,,2,0.0,55,0.164,0,,0,,0,
Coconut Tree Hill,0,,2,0.5,0,,0,,0,,0,,1,0.0,1,-1.0,4,0.75,0,,0,,0,,0,,0,,0,,3,0.333,0,,0,,1,-1.0,2,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0.0,2,0.5,0,,0,,2,-0.5,0,,3,0.0,0,,1,0.0,2,0.0,1,0.0,0,,1,1.0,0,,1,-1.0,0,,0,,3,0.0,0,,1,0.0,0,,2,0.0,0,,0,,0,,1,0.0,0,,0,,0,
Colombo Lotus Tower,0,,2,0.5,0,,1,0.0,0,,0,,0,,1,1.0,1,0.0,0,,0,,0,,0,,0,,0,,21,0.048,0,,1,1.0,2,0.5,3,0.333,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,26,0.115,0,,0,,0,,0,,2,0.5,0,,0,,2,0.0,0,,3,-0.667,0,,1,1.0,0,,0,,0,,1,-1.0,21,-0.286,2,0.0,0,,1,0.0,1,0.0,28,-0.036,0,,0,
Colombo National Museum,2,0.5,10,0.3,0,,0,,0,,0,,0,,10,0.2,47,0.298,0,,0,,0,,0,,0,,0,,60,0.083,0,,6,0.333,4,-0.5,9,0.444,0,,0,,0,,0,,0,,11,-0.091,0,,0,,19,0.421,10,0.7,0,,0,,0,,1,0.0,0,,0,,0,,6,-0.167,7,0.286,0,,0,,23,0.435,0,,22,0.136,0,,20,0.35,16,0.125,0,,5,0.0,3,-0.333,44,0.0,28,-0.071,1,0.0,0,,7,0.429,0,,0,,0,
Dagoba of Thuparama,1,0.0,0,,0,,0,,0,,0,,0,,2,0.5,0,,0,,0,,0,,0,,2,0.0,0,,12,-0.167,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.5,1,-1.0,0,,0,,0,,0,,0,,0,,0,,2,0.0,3,0.0,6,-0.5,1,0.0,0,,0,,0,,0,,3,0.0,0,,0,,0,,4,-0.25,0,,0,,0,,2,0.0,0,,0,,0,
Dambulla Cave Temple,4,0.25,6,0.333,0,,0,,0,,0,,0,,6,0.167,2,0.5,0,,0,,32,-0.094,0,,16,0.0,0,,113,0.115,0,,5,0.6,3,0.0,39,0.154,4,0.75,0,,0,,0,,0,,8,0.25,0,,0,,2,0.5,29,0.207,6,-0.167,0,,0,,1,0.0,1,0.0,1,1.0,0,,1,0.0,7,-0.143,7,0.0,48,0.125,14,-0.286,1,1.0,8,-0.375,0,,1,0.0,256,0.055,0,,3,0.667,32,-0.031,89,-0.09,7,0.143,0,,0,,14,0.357,0,,0,,0,
Dehiwala Zoo - Sri Lanka,3,0.333,0,,0,,0,,0,,0,,0,,1,1.0,1,1.0,0,,0,,0,,0,,0,,0,,9,-0.111,0,,9,0.556,2,-1.0,2,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,1,1.0,1,1.0,0,,1,1.0,3,0.333,0,,0,,0,,1,0.0,0,,2,0.5,0,,1,0.0,0,,2,-0.5,0,,0,,0,,0,,2,-0.5,1,0.0,5,0.2,0,,0,,0,,1,-1.0,0,,0,,0,
Demodara Loop,0,,9,0.222,0,,0,,0,,0,,54,0.0,3,0.0,0,,0,,0,,0,,0,,0,,0,,16,0.188,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,0.167,0,,11,0.273,0,,1,1.0,2,0.0,0,,0,,5,0.4,2,0.0,0,,0,,0,,0,,0,,0,,0,,2,-0.5,0,,2,0.0,0,,7,0.0,1,1.0,0,,67,0.134,19,0.053,1,0.0,0,,0,
Devon Falls,0,,4,-0.25,0,,0,,0,,0,,0,,2,-0.5,3,0.0,0,,0,,0,,0,,0,,0,,1,-1.0,0,,1,1.0,2,0.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,0.0,0,,2,0.0,0,,13,0.692,4,-0.25,0,,1,0.0,0,,0,,0,,0,,3,0.0,1,1.0,0,,0,,0,,4,0.0,0,,2,0.0,0,,1,0.0,1,1.0,0,,0,,2,0.0,7,0.143,0,,0,
Diyaluma Falls,0,,10,-0.1,0,,0,,0,,0,,8,0.375,2,0.0,0,,0,,0,,0,,0,,0,,0,,13,0.077,2,0.0,8,0.0,0,,10,0.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,0.091,2,0.0,4,0.0,0,,3,0.333,4,-0.25,0,,1,0.0,1,-1.0,1,0.0,0,,0,,10,0.3,0,,4,0.0,0,,0,,11,0.455,0,,1,0.0,0,,0,,3,0.0,0,,0,,37,0.216,3,0.333,0,,0,
Diyatha Uyana,0,,10,0.4,0,,5,0.4,0,,6,0.5,1,0.0,0,,1,0.0,0,,0,,0,,0,,0,,2,0.0,5,0.2,0,,23,0.261,3,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,0.222,27,0.333,5,-0.4,1,0.0,29,0.448,0,,0,,0,,14,0.5,5,0.6,9,0.222,0,,15,0.533,0,,3,-0.333,0,,3,0.0,1,0.0,0,,0,,0,,0,,3,1.0,0,,1,0.0,2,-0.5,0,,0,,1,0.0
Dondra Head Lighthouse,0,,3,0.0,0,,0,,0,,0,,0,,2,0.0,1,-1.0,0,,0,,0,,0,,2,0.0,0,,15,0.067,0,,2,0.5,0,,3,0.333,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,0.333,1,1.0,4,0.0,0,,1,-1.0,0,,1,-1.0,0,,3,0.333,5,0.2,1,0.0,0,,2,0.5,0,,3,-0.667,0,,0,,17,0.059,0,,1,0.0,0,,4,-0.5,1,1.0,0,,0,,6,-0.333,1,0.0,0,,0,
Dunhinda Falls,0,,5,0.2,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,0,,8,0.0,0,,7,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,0.429,2,0.0,0,,0,,5,0.4,1,0.0,0,,3,0.0,1,1.0,1,0.0,0,,15,0.067,0,,0,,0,,3,0.0,19,-0.421,0,,1,-1.0,0,,5,0.2,0,,0,,5,-0.2,4,-0.25,5,0.2,0,,0,
Dutch Hospital Shopping Precinct,11,0.636,41,0.171,0,,0,,0,,0,,0,,1,0.0,128,0.398,0,,0,,2,0.0,0,,0,,0,,8,0.25,0,,16,0.562,5,0.2,3,0.0,0,,0,,0,,0,,0,,1,0.0,0,,1,0.0,0,,8,0.0,1,1.0,0,,0,,641,0.337,0,,1,0.0,0,,26,0.615,0,,7,0.571,0,,338,0.216,0,,3,0.0,0,,85,0.271,33,0.333,0,,3,0.667,0,,1,1.0,30,0.733,0,,2,0.0,34,0.235,0,,0,,0,
Elephant Pass,0,,2,0.0,0,,0,,0,,0,,9,0.222,3,-0.667,3,0.333,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,1,0.0,4,0.25,1,0.0,0,,0,,3,0.667,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,1,0.0,0,,0,,6,0.167,0,,2,0.5,1,0.0,0,,0,,0,
Elephant Transit Home (ETH),0,,8,0.25,0,,0,,0,,0,,0,,1,1.0,1,0.0,0,,0,,0,,0,,51,0.255,0,,52,0.327,0,,3,0.0,23,0.174,8,0.625,0,,1,0.0,3,0.0,0,,0,,0,,0,,0,,3,0.333,2,0.0,0,,0,,0,,1,0.0,0,,3,0.0,0,,21,0.095,2,0.5,12,0.167,0,,7,0.286,0,,8,0.125,0,,5,0.0,4,0.25,0,,1,1.0,3,0.0,25,0.2,3,0.333,0,,0,,0,,40,0.325,38,0.342,0,
Ella Rock,0,,58,0.121,0,,0,,0,,0,,90,-0.056,74,0.041,32,0.188,2,0.5,0,,0,,0,,0,,2,0.5,56,0.179,1,1.0,25,0.4,3,0.0,36,0.222,0,,0,,0,,0,,0,,1,-1.0,0,,0,,1,1.0,3,0.0,12,0.0,35,0.057,1,0.0,6,0.167,6,-0.167,5,0.0,0,,5,0.2,2,0.5,11,0.273,0,,9,-0.222,3,0.333,99,-0.081,0,,0,,15,-0.133,0,,7,0.429,2,-0.5,12,0.083,5,0.6,1,1.0,21,-0.095,13,0.0,1,1.0,0,,0,
Embekka Devalaya,0,,6,0.167,0,,0,,0,,0,,0,,3,0.0,0,,0,,0,,0,,0,,0,,1,1.0,7,0.143,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,3,0.667,0,,3,-0.333,0,,0,,1,-1.0,0,,0,,0,,1,0.0,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,3,0.667,1,1.0,0,,0,,1,-1.0,0,,1,-1.0,0,
Fort Frederick,2,0.5,3,-0.333,0,,0,,0,,0,,1,0.0,0,,7,0.571,0,,0,,3,0.0,0,,0,,3,0.667,6,0.167,0,,6,-0.333,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,1,0.0,2,1.0,5,0.6,1,0.0,1,-1.0,0,,0,,2,1.0,5,0.2,0,,0,,5,0.2,9,0.444,4,0.5,6,0.0,0,,3,0.333,0,,6,0.0,1,0.0,0,,0,,0,,5,0.2,4,0.0,0,,1,0.0,11,0.182,0,,0,,1,0.0
Gal Oya National Park,0,,7,0.0,0,,0,,0,,15,0.333,0,,0,,0,,6,0.333,0,,0,,0,,0,,1,0.0,2,0.0,0,,2,0.0,1,0.0,1,0.0,0,,0,,15,0.267,1,0.0,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,4,-0.5,0,,0,,1,0.0,0,,0,,0,,1,1.0,0,,0,,0,,3,0.667,2,0.5,0,,0,,0,,0,,0,,0,
Gal Vihara,0,,2,0.5,1,0.0,0,,0,,0,,0,,4,-0.25,0,,0,,0,,5,0.0,0,,3,0.0,0,,25,0.32,0,,1,0.0,2,0.5,16,0.062,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,0.0,1,0.0,0,,0,,0,,0,,9,-0.111,0,,1,0.0,15,-0.067,12,0.0,24,-0.083,0,,1,1.0,6,-0.167,0,,0,,2,0.5,0,,2,0.0,4,0.25,37,0.054,1,0.0,0,,0,,4,0.0,0,,0,,0,
Galle Dutch Fort,70,0.229,91,0.209,0,,1,0.0,0,,0,,1,0.0,4,0.0,100,0.32,0,,0,,0,,0,,0,,0,,15,0.2,0,,13,0.538,2,0.0,7,0.714,0,,2,1.0,0,,0,,0,,3,-0.667,0,,1,0.0,0,,4,0.75,6,0.167,6,0.5,0,,234,0.342,2,0.0,0,,0,,3,0.667,3,0.333,12,0.083,0,,148,0.25,4,-0.25,5,0.2,0,,20,0.25,3,0.333,0,,11,0.182,0,,2,0.0,2,0.5,0,,2,0.5,62,0.145,0,,0,,0,
Galle Face Green,2,0.5,131,0.191,0,,0,,0,,0,,3,0.667,0,,4,0.5,0,,0,,0,,0,,0,,0,,17,0.235,0,,197,0.234,3,0.667,2,0.5,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,13,0.154,6,0.333,4,0.5,0,,37,0.27,0,,0,,0,,14,0.071,7,0.0,12,-0.417,0,,17,0.353,0,,0,,0,,1,0.0,2,0.0,0,,0,,0,,1,0.0,4,0.5,0,,1,0.0,17,0.118,3,0.0,0,,3,0.0
Galle Face Hotel,0,,16,0.375,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,1.0,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Galle Fort Lighthouse,41,0.293,16,0.062,0,,0,,0,,1,0.0,0,,1,-1.0,6,0.0,0,,0,,0,,0,,0,,0,,5,0.0,0,,5,0.2,1,0.0,1,0.0,0,,0,,0,,0,,0,,5,0.0,0,,0,,0,,2,0.0,6,0.333,3,0.0,0,,37,0.351,0,,0,,0,,1,1.0,3,0.667,6,0.167,0,,25,0.24,0,,1,1.0,0,,4,0.5,7,0.143,0,,3,0.333,0,,0,,1,0.0,0,,0,,7,-0.286,0,,0,,0,
Galway's Land National Park,0,,6,0.0,0,,0,,0,,0,,0,,5,-0.2,0,,0,,0,,0,,0,,0,,1,0.0,28,-0.036,0,,0,,3,-1.0,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,2,0.0,4,-0.25,7,0.143,0,,1,0.0,0,,2,0.5,0,,0,,2,0.0,0,,0,,0,,0,,0,,5,0.0,0,,0,,4,-0.25,0,,0,,1,0.0,14,0.143,1,-1.0,0,,0,,2,-0.5,0,,1,0.0,0,
Gangaramaya Temple,0,,15,0.333,0,,0,,0,,0,,1,0.0,1,0.0,0,,0,,0,,4,0.25,0,,39,0.205,0,,88,0.205,0,,1,1.0,3,0.333,17,0.0,0,,0,,0,,0,,0,,3,0.333,0,,0,,5,-0.2,10,0.4,1,0.0,0,,0,,2,-0.5,1,1.0,0,,0,,1,1.0,11,0.091,2,0.0,4,0.25,7,0.286,1,0.0,5,0.0,0,,0,,3,0.333,0,,13,0.077,1,0.0,38,0.211,2,0.5,0,,0,,22,0.227,0,,0,,0,
Gartmore Falls,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
