place_name,activity,review_percentage,review_count,total_reviews,avg_confidence,dominant_sentiment
Knuckles Mountain Range,Camping,14.06,35,249,0.8898,positive
Koggala Lake,Boat ride,40.18,45,112,0.8849,neutral
Koggala Lake,Temple visit,15.18,17,112,0.7844,positive
Koggala Lake,Spa treatment,13.39,15,112,0.8768,neutral
Koggala Lake,Relaxing,12.5,14,112,0.8725,positive
Kumana National Park,Safari,46.79,51,109,0.8806,neutral
Kumana National Park,Camping,11.93,13,109,0.8871,positive
Kumana National Park,Bird watching,10.09,11,109,0.8857,neutral
Laxapana Falls,Waterfall visit,90.91,20,22,0.7437,neutral
Lipton’s Seat,Tea factory visit,18.6,93,500,0.7465,neutral
Lipton’s Seat,Sunrise watching,11.0,55,500,0.8543,positive
Lipton’s Seat,Photography,10.6,53,500,0.8583,positive
Lipton’s Seat,Viewpoint visit,10.6,53,500,0.8879,positive
Little Adam's Peak View Point,Hiking,37.57,263,700,0.8891,positive
Little Adam's Peak View Point,Ziplining,13.86,97,700,0.881,neutral
Little Adam's Peak View Point,Sunrise watching,11.86,83,700,0.8565,positive
Little Adam's Peak View Point,Photography,11.29,79,700,0.856,positive
Lover's Leap Falls,Waterfall visit,81.15,297,366,0.7462,neutral
Lover's Leap Falls,Hiking,19.95,73,366,0.8864,positive
Lunugamvehera National Park,Safari,50.0,23,46,0.8789,neutral
Lunugamvehera National Park,Jeep safari,13.04,6,46,0.8771,neutral
Madu River Safari by Buddhi,Boat ride,44.6,223,500,0.8846,positive
Madu River Safari by Buddhi,Spa treatment,27.8,139,500,0.8792,neutral
Madu River Safari by Buddhi,Safari,27.2,136,500,0.8808,neutral
Madu River Safari by Buddhi,Temple visit,16.8,84,500,0.7737,neutral
Madu River Safari by Buddhi,Boat safari,10.4,52,500,0.8781,neutral
Maduru Oya National Park,Safari,33.33,9,27,0.8806,neutral
Maduru Oya National Park,Elephant watching,29.63,8,27,0.8856,neutral
Maha Saman Dewalaya,Temple visit,13.51,5,37,0.806,positive
Maligawila Buddha Statue,Religious visit,58.62,17,29,0.7508,positive
Marble Beach,Swimming,15.22,51,335,0.8907,positive
Matara Paravi Duwa Temple,Temple visit,75.0,45,60,0.7507,neutral
Mihintale,Sunset watching,18.6,93,500,0.8577,positive
Mihintale,Ancient city visit,13.2,66,500,0.7458,neutral
Mihintale,Religious visit,12.4,62,500,0.7493,positive
Minneriya National Park,Safari,40.83,245,600,0.8809,neutral
Minneriya National Park,Elephant watching,12.5,75,600,0.8828,neutral
Minneriya National Park,Jeep safari,10.67,64,600,0.8801,neutral
Mirissa Beach,Relaxing,21.17,127,600,0.8668,positive
Mirissa Beach,Surfing,20.0,120,600,0.8928,positive
Mirissa Beach,Swimming,18.5,111,600,0.8968,positive
Mirissa Beach,Sunset watching,12.17,73,600,0.8674,positive
Moon Plains,Safari,36.97,61,165,0.8794,neutral
Moon Plains,Jeep safari,21.21,35,165,0.8775,neutral
Moon Plains,Viewpoint visit,21.21,35,165,0.8819,neutral
Mount Lavinia Beach,Relaxing,14.4,72,500,0.8666,positive
Mount Lavinia Beach,Sunset watching,13.4,67,500,0.8651,positive
Mount Lavinia Beach,Swimming,13.4,67,500,0.8891,positive
Mulgirigala Raja Maha Vihara,Temple visit,71.99,275,382,0.7544,positive
Muthurajawela Marsh,Boat ride,43.83,103,235,0.8851,positive
Muthurajawela Marsh,Photography,11.06,26,235,0.8524,positive
Nagadipa Purana Vihara,Temple visit,84.85,140,165,0.7497,neutral
Nagadipa Purana Vihara,Boat ride,32.73,54,165,0.8828,neutral
Nagadipa Purana Vihara,Religious visit,23.03,38,165,0.7317,neutral
Nalanda Gedige,Temple visit,26.85,40,149,0.7478,positive
Nallur Kandaswamy Kovil Festival,Temple visit,70.59,12,17,0.76,neutral
"Negombo BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Swimming,20.34,120,590,0.8881,neutral
"Negombo BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Sunset watching,14.07,83,590,0.8574,positive
"Negombo BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Relaxing,10.85,64,590,0.86,positive
"Negombo Fish MarketUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Photography,10.59,41,387,0.8607,positive
"Negombo Fish MarketUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Seafood tasting,10.59,41,387,0.8772,neutral
Nilaveli Beach,Swimming,23.53,64,272,0.895,positive
Nilaveli Beach,Relaxing,13.6,37,272,0.8658,positive
Nine Arches BridgeSomeone from this business manages the listing.,Photography,32.0,192,600,0.8582,positive
Old Parliament Building,Photography,24.3,69,284,0.8536,neutral
Pasikudah Beach,Swimming,17.65,18,102,0.8973,positive
Pasikudah Beach,Relaxing,13.73,14,102,0.8684,positive
Passikudah Beach,Swimming,19.66,80,407,0.8973,positive
Pedro Tea Factory,Tea factory visit,91.6,458,500,0.7471,neutral
Pedro Tea Factory,Photography,12.0,60,500,0.8534,neutral
Pedro Tea Factory,Shopping,11.2,56,500,0.8834,neutral
Pettah Floating Market,Shopping,46.15,48,104,0.8813,neutral
Pidurangala Rock,Hiking,27.0,135,500,0.8847,neutral
Pidurangala Rock,Sunrise watching,27.0,135,500,0.8571,positive
Pidurangala Rock,Sunset watching,24.0,120,500,0.8554,positive
Pidurutalagala,Photography,16.47,14,85,0.85,neutral
Pinnawala Elephant Orphanage,Photography,14.0,84,600,0.8436,neutral
Pinnawala Elephant Orphanage,Elephant watching,10.17,61,600,0.8759,neutral
Pitawala Pathana,Hiking,20.37,11,54,0.8812,neutral
Pitawala Pathana,Photography,14.81,8,54,0.8512,positive
Pitawala Pathana,Viewpoint visit,14.81,8,54,0.88,neutral
Polhena Beach,Swimming,35.55,75,211,0.8876,positive
Polhena Beach,Snorkelling,32.23,68,211,0.8898,positive
Polhena Beach,Relaxing,12.8,27,211,0.8622,positive
Polonnaruwa Vatadage,Ancient city visit,66.15,127,192,0.7432,neutral
Polonnaruwa Vatadage,Ruins exploration,13.02,25,192,0.765,positive
Popham's Arboretum,Safari,10.69,17,159,0.8741,neutral
Rankoth Vehera,Religious visit,25.86,15,58,0.7465,neutral
Ravana Ella FallsSomeone from this business manages the listing.,Waterfall visit,60.8,304,500,0.7494,neutral
Ravana Ella FallsSomeone from this business manages the listing.,Photography,23.0,115,500,0.8565,positive
Ravana Ella FallsSomeone from this business manages the listing.,Swimming,17.8,89,500,0.8832,neutral
Richmond Castle,Photography,12.89,25,194,0.86,positive
Ridee Viharaya (silver Temple),Temple visit,62.16,46,74,0.755,neutral
Ridee Viharaya (silver Temple),Meditation,12.16,9,74,0.8767,neutral
Ritigala Forest Monastery,Ruins exploration,23.61,55,233,0.7511,positive
Ritigala Forest Monastery,Hiking,10.73,25,233,0.8888,positive
Royal Botanical Gardens,Relaxing,13.67,82,600,0.8666,positive
Ruwanweli Maha Seya,Religious visit,22.8,114,500,0.7452,neutral
Ruwanweli Maha Seya,Ancient city visit,14.8,74,500,0.742,neutral
Samadhi Statue,Religious visit,18.27,19,104,0.7395,neutral
Samadhi Statue,Meditation,14.42,15,104,0.8742,neutral
Samadhi Statue,Ancient city visit,11.54,12,104,0.7462,positive
Samudra Parakrama,Ancient city visit,20.69,6,29,0.7243,neutral
Samudra Parakrama,Sunset watching,20.69,6,29,0.8562,positive
Seema Malakaya Temple,Temple visit,67.61,215,318,0.7511,neutral
Seema Malakaya Temple,Photography,16.98,54,318,0.8603,positive
Seema Malakaya Temple,Meditation,15.41,49,318,0.882,neutral
Seenigama Muhudu Viharaya,Temple visit,71.93,41,57,0.7595,neutral
Seenigama Muhudu Viharaya,Boat ride,24.56,14,57,0.8812,neutral
Seenigama Muhudu Viharaya,Photography,10.53,6,57,0.855,neutral
Seruwila Mangala Raja Maha Vihara,Temple visit,70.73,29,41,0.7487,neutral
Seruwila Mangala Raja Maha Vihara,Religious visit,17.07,7,41,0.7357,neutral
Single Tree Hill,Hiking,30.16,19,63,0.8847,neutral
Single Tree Hill,Temple visit,26.98,17,63,0.7535,positive
Sinharaja Forest Reserve,Swimming,13.04,57,437,0.887,positive
Sinharaja Forest Reserve,Waterfall visit,12.13,53,437,0.756,positive
Sinharaja Forest Reserve,Trekking,11.67,51,437,0.8829,neutral
Sinharaja Forest Reserve,Hiking,11.44,50,437,0.8819,neutral
Sithulpawwa Rock Temple,Temple visit,80.22,73,91,0.7554,neutral
Somawathiya Chaitya,Religious visit,26.51,22,83,0.7496,neutral
Somawathiya Chaitya,Temple visit,16.87,14,83,0.7481,neutral
Somawathiya Chaitya,Pilgrimage,13.25,11,83,0.8775,neutral
Sri Pada / Adam's Peak,Sunrise watching,50.0,5,10,0.8667,positive
"Sri Pada / Adam's PeakUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Sunrise watching,59.8,293,490,0.8501,neutral
"Sri Pada / Adam's PeakUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Hiking,31.84,156,490,0.8791,neutral
"Sri Pada / Adam's PeakUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Pilgrimage,20.61,101,490,0.8769,neutral
"Sri Pada / Adam's PeakUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Shopping,20.2,99,490,0.8745,neutral
St Benedict's Monastery - Adisham,Shopping,15.07,33,219,0.8776,neutral
St Clair's Falls,Waterfall visit,49.61,126,254,0.7525,neutral
St Clair's Falls,Photography,17.32,44,254,0.8642,positive
St Clair's Falls,Viewpoint visit,11.42,29,254,0.8824,neutral
St Lucia's Cathedral,Religious visit,12.5,5,40,0.7557,positive
St. Mary's Church,Religious visit,62.59,174,278,0.7518,positive
St. Mary's Church,Photography,10.43,29,278,0.8574,neutral
Statue of Parakramabahu I,Ancient city visit,15.15,15,99,0.7453,neutral
Temple of the Sacred Tooth Relic,Religious visit,83.81,528,630,0.7435,neutral
Temple of the Sacred Tooth Relic,Temple visit,83.81,528,630,0.7526,neutral
Trincomalee Beach,Relaxing,13.24,9,68,0.8636,positive
Trincomalee Beach,Swimming,11.76,8,68,0.8936,positive
Turtle Conservation Project Turtle Watch,Photography,20.53,77,375,0.8459,neutral
Turtle Conservation Project Turtle Watch,Turtle watching,19.73,74,375,0.8756,neutral
Twin Baths (Kuttam Pokuna),Ancient city visit,13.39,34,254,0.7434,neutral
Udawalawe National Park,Safari,68.5,411,600,0.8868,positive
Unawatuna Beach,Swimming,27.82,37,133,0.8849,positive
Unawatuna Beach,Relaxing,18.8,25,133,0.8655,positive
Uppuveli Beach,Relaxing,22.45,22,98,0.8632,positive
Uppuveli Beach,Swimming,20.41,20,98,0.8938,positive
Uppuveli Beach,Fishing,14.29,14,98,0.8747,neutral
Victoria Park of Nuwara Eliya,Relaxing,17.4,87,500,0.8647,positive
Viharamahadevi Park,Relaxing,26.0,130,500,0.861,positive
Visit Kanneliya Rain Forest,Waterfall visit,25.35,18,71,0.7521,neutral
Visit Kanneliya Rain Forest,Hiking,16.9,12,71,0.8843,neutral
Visit Kanneliya Rain Forest,Trekking,12.68,9,71,0.8829,neutral
Wasgamuwa National Park,Safari,44.62,29,65,0.8818,neutral
Wasgamuwa National Park,Elephant watching,23.08,15,65,0.88,neutral
Wasgamuwa National Park,Jeep safari,15.38,10,65,0.874,neutral
Weherahena Buddhist Temple,Temple visit,79.52,66,83,0.7553,positive
Weherahena Buddhist Temple,Religious visit,20.48,17,83,0.745,positive
Weligama Beach,Surfing,71.2,136,191,0.8876,positive
Weligama Beach,Swimming,18.85,36,191,0.8926,positive
Weligama Beach,Relaxing,12.04,23,191,0.8641,positive
Wewurukannala Vihara,Temple visit,76.74,99,129,0.7593,neutral
Wewurukannala Vihara,Religious visit,13.18,17,129,0.7465,positive
Wewurukannala Vihara,Photography,10.08,13,129,0.8385,neutral
Whale Watching in Mirissa,Whale watching,50.49,52,103,0.8836,positive
Wilpattu National Park,Safari,47.8,239,500,0.8796,neutral
Wolvendaal Church,Religious visit,67.52,79,117,0.7501,positive
Yala National Park,Safari,50.63,40,79,0.8805,neutral
