place_name,activity,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment
Brief Garden - Bevis Bawa,Picnic,1,0,3,4,neutral
Brief Garden - Bevis Bawa,Relaxing,20,0,2,22,positive
Brief Garden - Bevis Bawa,Religious visit,1,0,0,1,positive
Brief Garden - Bevis Bawa,Shopping,1,0,3,4,neutral
Brief Garden - Bevis Bawa,Temple visit,1,0,1,2,positive
Brief Garden - Bevis Bawa,Trekking,2,1,0,3,positive
Brief Garden - Bevis Bawa,Village tour,1,0,0,1,positive
Brief Garden - Bevis Bawa,Waterfall visit,0,0,1,1,neutral
Buduruwagala Temple,Bird watching,1,0,0,1,positive
Buduruwagala Temple,Boat ride,0,0,1,1,neutral
Buduruwagala Temple,Caving,0,0,1,1,neutral
Buduruwagala Temple,Hiking,2,0,0,2,positive
Buduruwagala Temple,Meditation,1,0,1,2,positive
Buduruwagala Temple,Museum visit,0,0,3,3,neutral
Buduruwagala Temple,Photography,3,0,7,10,neutral
Buduruwagala Temple,Pilgrimage,0,0,1,1,neutral
Buduruwagala Temple,Relaxing,3,0,1,4,positive
Buduruwagala Temple,Religious visit,4,0,6,10,neutral
Buduruwagala Temple,Safari,0,0,1,1,neutral
Buduruwagala Temple,Temple visit,61,2,68,131,neutral
Buduruwagala Temple,Trekking,0,0,1,1,neutral
Buduruwagala Temple,Waterfall visit,0,0,2,2,neutral
Casuarina Beach,Beach relaxing,1,0,0,1,positive
Casuarina Beach,Beach walking,0,0,1,1,neutral
Casuarina Beach,Boat ride,1,0,6,7,neutral
Casuarina Beach,Fishing,1,0,1,2,positive
Casuarina Beach,Fort visit,0,0,2,2,neutral
Casuarina Beach,Photography,2,0,0,2,positive
Casuarina Beach,Picnic,2,0,1,3,positive
Casuarina Beach,Relaxing,16,1,6,23,positive
Casuarina Beach,Sea bathing,4,1,3,8,positive
Casuarina Beach,Seafood tasting,0,0,2,2,neutral
Casuarina Beach,Shopping,5,1,13,19,neutral
Casuarina Beach,Snorkelling,1,0,0,1,positive
Casuarina Beach,Sunrise watching,0,0,1,1,neutral
Casuarina Beach,Sunset watching,8,0,4,12,positive
Casuarina Beach,Surfing,0,0,1,1,neutral
Casuarina Beach,Swimming,31,5,20,56,positive
Casuarina Beach,Temple visit,1,0,0,1,positive
Casuarina Beach,Trekking,2,0,0,2,positive
Ceylon Tea Museum,Heritage exploration,1,0,0,1,positive
Ceylon Tea Museum,Meditation,1,0,0,1,positive
Ceylon Tea Museum,Museum visit,389,37,319,745,positive
Ceylon Tea Museum,Photography,11,0,8,19,positive
Ceylon Tea Museum,Relaxing,5,1,2,8,positive
Ceylon Tea Museum,Ruins exploration,0,0,1,1,neutral
Ceylon Tea Museum,Scenic drive,2,0,0,2,positive
Ceylon Tea Museum,Shopping,37,8,41,86,neutral
Ceylon Tea Museum,Souvenir shopping,5,0,6,11,neutral
Ceylon Tea Museum,Tea factory visit,21,5,24,50,neutral
Ceylon Tea Museum,Tea plantation visit,9,1,9,19,positive
Ceylon Tea Museum,Tea tasting,8,0,9,17,neutral
Ceylon Tea Museum,Viewpoint visit,1,0,0,1,positive
Coconut Tree Hill,Beach walking,1,0,1,2,positive
Coconut Tree Hill,Hiking,1,1,2,4,neutral
Coconut Tree Hill,Photography,47,1,21,69,positive
Coconut Tree Hill,Relaxing,5,1,1,7,positive
Coconut Tree Hill,Shopping,1,0,1,2,positive
Coconut Tree Hill,Snorkelling,0,0,1,1,neutral
Coconut Tree Hill,Sunrise watching,11,0,1,12,positive
Coconut Tree Hill,Sunset watching,37,1,20,58,positive
Coconut Tree Hill,Swimming,1,0,1,2,positive
Coconut Tree Hill,Turtle watching,0,0,2,2,neutral
Coconut Tree Hill,Viewpoint visit,13,1,6,20,positive
Coconut Tree Hill,Waterfall visit,1,0,0,1,positive
Colombo Lotus Tower,Museum visit,1,0,0,1,positive
Colombo Lotus Tower,Photography,4,0,4,8,positive
Colombo Lotus Tower,Relaxing,1,0,0,1,positive
Colombo Lotus Tower,Shopping,0,1,2,3,neutral
Colombo Lotus Tower,Sightseeing,1,0,1,2,positive
Colombo Lotus Tower,Souvenir shopping,1,0,0,1,positive
Colombo Lotus Tower,Sunset watching,3,1,1,5,positive
Colombo Lotus Tower,Viewpoint visit,10,3,10,23,positive
Colombo National Museum,Ancient city visit,4,0,5,9,neutral
Colombo National Museum,Boat ride,1,0,2,3,neutral
Colombo National Museum,Museum visit,315,17,305,637,positive
Colombo National Museum,Photography,10,3,21,34,neutral
Colombo National Museum,Relaxing,5,0,0,5,positive
Colombo National Museum,Religious visit,3,0,1,4,positive
Colombo National Museum,Ruins exploration,0,0,1,1,neutral
Colombo National Museum,Scenic drive,1,0,0,1,positive
Colombo National Museum,Shopping,15,1,16,32,neutral
Colombo National Museum,Sightseeing,1,0,1,2,positive
Colombo National Museum,Souvenir shopping,5,1,3,9,positive
Colombo National Museum,Viewpoint visit,0,0,1,1,neutral
Colombo National Museum,Waterfall visit,0,0,1,1,neutral
Dagoba of Thuparama,Ancient city visit,9,0,12,21,neutral
Dagoba of Thuparama,Cycling,0,0,1,1,neutral
Dagoba of Thuparama,Meditation,3,0,2,5,positive
Dagoba of Thuparama,Photography,5,0,9,14,neutral
Dagoba of Thuparama,Pilgrimage,2,0,6,8,neutral
Dagoba of Thuparama,Religious visit,52,2,78,132,neutral
Dagoba of Thuparama,Ruins exploration,4,0,3,7,positive
Dagoba of Thuparama,Sightseeing,0,0,1,1,neutral
Dagoba of Thuparama,Sunset watching,0,0,1,1,neutral
Dagoba of Thuparama,Temple visit,4,0,5,9,neutral
Dagoba of Thuparama,Trekking,1,0,0,1,positive
Dagoba of Thuparama,Viewpoint visit,0,0,1,1,neutral
Dagoba of Thuparama,Waterfall visit,1,0,0,1,positive
Dambulla Cave Temple,Ancient city visit,0,1,4,5,neutral
Dambulla Cave Temple,Heritage exploration,18,1,17,36,positive
Dambulla Cave Temple,Hiking,11,0,6,17,positive
Dambulla Cave Temple,Meditation,5,0,5,10,positive
Dambulla Cave Temple,Museum visit,0,1,3,4,neutral
Dambulla Cave Temple,Photography,12,1,25,38,neutral
Dambulla Cave Temple,Pilgrimage,2,0,4,6,neutral
Dambulla Cave Temple,Relaxing,3,0,1,4,positive
Dambulla Cave Temple,Religious visit,24,0,27,51,neutral
Dambulla Cave Temple,Scenic drive,1,0,0,1,positive
Dambulla Cave Temple,Shopping,0,2,4,6,neutral
Dambulla Cave Temple,Souvenir shopping,0,0,1,1,neutral
Dambulla Cave Temple,Spa treatment,1,0,0,1,positive
Dambulla Cave Temple,Sunset watching,3,0,1,4,positive
Dambulla Cave Temple,Temple visit,327,38,342,707,neutral
Dambulla Cave Temple,Trekking,12,1,1,14,positive
Dambulla Cave Temple,Viewpoint visit,1,0,0,1,positive
Dehiwala Zoo - Sri Lanka,Elephant watching,0,0,1,1,neutral
Dehiwala Zoo - Sri Lanka,Picnic,2,0,1,3,positive
Dehiwala Zoo - Sri Lanka,Relaxing,4,0,1,5,positive
Dehiwala Zoo - Sri Lanka,Safari,0,0,2,2,neutral
Dehiwala Zoo - Sri Lanka,Sightseeing,1,0,0,1,positive
Dehiwala Zoo - Sri Lanka,Street food tasting,0,0,1,1,neutral
Demodara Loop,Cycling,1,0,0,1,positive
Demodara Loop,Hiking,3,0,3,6,positive
Demodara Loop,Jeep safari,1,0,0,1,positive
Demodara Loop,Photography,7,0,2,9,positive
Demodara Loop,Safari,1,0,0,1,positive
Demodara Loop,Scenic train ride,2,0,0,2,positive
Demodara Loop,Sunset watching,1,0,0,1,positive
Demodara Loop,Tea factory visit,4,0,2,6,positive
Demodara Loop,Tea plantation visit,2,0,0,2,positive
Demodara Loop,Temple visit,1,0,0,1,positive
Demodara Loop,Train ride,25,1,15,41,positive
Demodara Loop,Trekking,0,0,2,2,neutral
Demodara Loop,Viewpoint visit,1,0,3,4,neutral
Demodara Loop,Waterfall visit,1,0,0,1,positive
Devon Falls,Forest walk,0,0,1,1,neutral
Devon Falls,Hiking,2,0,2,4,positive
Devon Falls,Meditation,0,1,0,1,negative
Devon Falls,Photography,26,3,17,46,positive
Devon Falls,Picnic,1,0,0,1,positive
Devon Falls,Relaxing,6,0,5,11,positive
Devon Falls,Scenic drive,0,0,1,1,neutral
Devon Falls,Shopping,1,0,5,6,neutral
Devon Falls,Sunset watching,1,0,0,1,positive
Devon Falls,Tea factory visit,2,0,0,2,positive
Devon Falls,Tea tasting,1,0,0,1,positive
Devon Falls,Temple visit,2,0,3,5,neutral
Devon Falls,Train ride,0,0,1,1,neutral
Devon Falls,Trekking,1,0,1,2,positive
Devon Falls,Viewpoint visit,13,0,17,30,neutral
Devon Falls,Waterfall visit,60,5,87,152,neutral
Diyaluma Falls,Abseiling,0,0,1,1,neutral
Diyaluma Falls,Camping,2,0,4,6,neutral
Diyaluma Falls,Diving,1,0,2,3,neutral
Diyaluma Falls,Hiking,32,3,29,64,positive
Diyaluma Falls,Local food tasting,1,0,0,1,positive
Diyaluma Falls,Mountain climbing,0,0,1,1,neutral
Diyaluma Falls,Photography,21,2,15,38,positive
Diyaluma Falls,Relaxing,8,0,3,11,positive
Diyaluma Falls,Scenic drive,0,1,0,1,negative
Diyaluma Falls,Shopping,3,0,7,10,neutral
Diyaluma Falls,Sightseeing,1,0,0,1,positive
Diyaluma Falls,Sunrise watching,1,0,0,1,positive
Diyaluma Falls,Sunset watching,2,0,0,2,positive
Diyaluma Falls,Swimming,32,1,18,51,positive
Diyaluma Falls,Temple visit,0,0,1,1,neutral
Diyaluma Falls,Trekking,1,1,10,12,neutral
Diyaluma Falls,Waterfall bathing,1,0,1,2,positive
Diyaluma Falls,Waterfall visit,88,12,119,219,neutral
Diyatha Uyana,Bird watching,1,0,2,3,neutral
Diyatha Uyana,Boat ride,2,0,1,3,positive
Diyatha Uyana,Cycling,2,0,0,2,positive
Diyatha Uyana,Fishing,2,0,0,2,positive
Diyatha Uyana,Fort visit,1,0,0,1,positive
Diyatha Uyana,Photography,2,0,5,7,neutral
Diyatha Uyana,Picnic,1,0,2,3,neutral
Diyatha Uyana,Relaxing,57,2,28,87,positive
Diyatha Uyana,Scenic drive,1,0,0,1,positive
Diyatha Uyana,Shopping,14,2,12,28,positive
Diyatha Uyana,Souvenir shopping,1,0,2,3,neutral
Diyatha Uyana,Street food tasting,0,1,0,1,negative
Diyatha Uyana,Sunset watching,3,0,1,4,positive
Diyatha Uyana,Swimming,0,1,1,2,negative
Diyatha Uyana,Walking trail,1,0,0,1,positive
Dondra Head Lighthouse,Fishing,1,0,2,3,neutral
Dondra Head Lighthouse,Photography,11,0,4,15,positive
Dondra Head Lighthouse,Picnic,2,1,1,4,positive
Dondra Head Lighthouse,Pilgrimage,0,0,1,1,neutral
Dondra Head Lighthouse,Relaxing,4,0,2,6,positive
Dondra Head Lighthouse,Religious visit,0,0,1,1,neutral
Dondra Head Lighthouse,Sea bathing,1,0,0,1,positive
Dondra Head Lighthouse,Shopping,2,0,0,2,positive
Dondra Head Lighthouse,Snorkelling,0,0,1,1,neutral
Dondra Head Lighthouse,Spa treatment,0,0,3,3,neutral
Dondra Head Lighthouse,Sunset watching,1,0,2,3,neutral
Dondra Head Lighthouse,Swimming,4,0,5,9,neutral
Dondra Head Lighthouse,Temple visit,1,0,3,4,neutral
Dondra Head Lighthouse,Viewpoint visit,2,1,0,3,positive
Dondra Head Lighthouse,Whale watching,2,0,0,2,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Diving,2,0,0,2,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Forest walk,1,0,0,1,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Hiking,8,2,11,21,neutral
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Local food tasting,1,0,0,1,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Photography,4,0,2,6,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Relaxing,2,0,1,3,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Safari,1,0,0,1,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Scenic train ride,2,0,0,2,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Shopping,3,1,9,13,neutral
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Souvenir shopping,0,0,3,3,neutral
