poi_name,category,latitude,longitude,full_address,city,district,province
Nallur Kandaswamy Kovil Festival,Religious / Cultural Event,9.67457,80.0296574,"Nallur Kandaswamy Temple, Kovil Road, S.T. Parameswaran Co.(Pvt), Thirunelvely, Nallur, Jaffna District, Northern Province, 40000, Sri Lanka",Nallur,Jaffna District,Northern Province
Negombo Beach,Beach,7.2424579,79.8408979,"Negombo Beach Park, Ettukala, Gampaha District, Western Province, Sri Lanka",Ettukala,Gampaha District,Western Province
Negombo Fish Market,Shopping / Market,7.2110593,79.8318074,"Negombo Fish Market, Sea Street, Periyamulla, Negombo, Gampaha District, Western Province, 11500, Sri Lanka",Negombo,Gampaha District,Western Province
Nilavarai Bottomless Well,Natural Landmark,9.7543399,80.0883,"Nilavarai (Bottomless well), Puttur, Jaffna District, Northern Province, Sri Lanka",Puttur,Jaffna District,Northern Province
Nilaveli Beach,Beach,8.6980818,81.1929762,"Nilaveli Beach, Irakkandi, Trincomalee District, Eastern Province, Sri Lanka",Irakkandi,Trincomalee District,Eastern Province
Nine Arches Bridge,Engineering Landmark,6.8760426,81.061567,"Nine Arches Bridge Viewpoint, Footpath to Little Adam's Peak, Southerland, Ella, Badulla District, Uva Province, 90900, Sri Lanka",Ella,Badulla District,Uva Province
Old Parliament Building,Landmark / Public Building,6.9309613,79.8429228,"Old Parliament, Lotus Road, L B Gate, Fort, Slave Island, Colombo, Colombo District, Western Province, 10110, Sri Lanka",Colombo,Colombo District,Western Province
Pasikudah Beach,Beach,7.9294868,81.5613931,"Pasikudah Beach, Pasikudah, Batticaloa District, Eastern Province, Sri Lanka",Pasikudah,Batticaloa District,Eastern Province
Pedro Tea Factory,Farm / Factory,6.969943,80.795548,"Pedro Tea Estate, Hawaeliya, Boralanda, Nuwara Eliya District, Central Province, Sri Lanka",Boralanda,Nuwara Eliya District,Central Province
Pettah Floating Market,Shopping / Market,6.9327568,79.854912,"Pettah Floating Market, Olcott Mawatha, Kehelwatte, Slave Island, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Colombo,Colombo District,Western Province
Pidurangala Rock,Viewpoint / Hiking,7.966063,80.7616591,"Pidurangala Rock, Ehalagala, Matale District, Central Province, Sri Lanka",Ehalagala,Matale District,Central Province
Pidurutalagala,Viewpoint / Hiking,7.0009508,80.7736523,"Pidurutalagala, Nuwara Eliya, Nuwara Eliya District, Central Province, 22200, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Pinnawala Elephant Orphanage,Zoo / Wildlife Attraction,7.300512,80.3871935,"Pinnawala Elephant Orphanage, Karandupana-Rambukkana Road, Pinnawala, Kegalle District, Sabaragamuwa Province, 71100, Sri Lanka",Pinnawala,Kegalle District,Sabaragamuwa Province
Pitawala Pathana,Viewpoint / Hiking,7.5490862,80.7541155,"Pitawala Pathana, Matale, Matale District, Central Province, Sri Lanka",Matale,Matale District,Central Province
Polhena Beach,Beach,5.9361875,80.5256355,"Polhena Beach, Thotamuna, Polhena, Matara District, Southern Province, Sri Lanka",Polhena,Matara District,Southern Province
Polonnaruwa Vatadage,Heritage Site,7.9473418,81.0014847,"Vatadage, Habarana-Polonnaruwa-Batticaloa Road, 26th Mile Post, Polonnaruwa, Polonnaruwa District, North Central Province, 51000, Sri Lanka",Polonnaruwa,Polonnaruwa District,North Central Province
Popham's Arboretum,Garden / Park,7.8608104,80.6758588,"Popham's Arboretum, Dambulla-Bakamuna-Kalagahawela Road, Pahalawewa, Matale District, Central Province, 21100, Sri Lanka",Pahalawewa,Matale District,Central Province
Rankoth Vehera,Religious Site,7.9582,81.0034,,,,
Ravana Ella Falls,Waterfall,6.8682666,81.0596926,"Ravana Pool Club, Ella - Passara Road, Newburgh, Ella, Badulla District, Uva Province, 90900, Sri Lanka",Ella,Badulla District,Uva Province
Richmond Castle,Heritage Site,6.6016907,79.9751218,"Richmond Castle, Palathota-Kethhena Road, Kalutara, Kalutara DS Division, Kalutara District, Western Province, 12000, Sri Lanka",Kalutara,Kalutara DS Division,Western Province
Ridee Viharaya (silver Temple),Religious Site,7.5366541,80.4914296,"Ridee Viharaya, Mallawapitiya - Keppitigala Road, Rideegama, Rambadagalla, Kurunǣgala, North Western Province, 60500, Sri Lanka",Rambadagalla,Kurunǣgala,North Western Province
Ritigala Forest Monastery,Religious Site,8.1313924,80.6593457,"Ritigala Strict Nature Reserve, Alagollewa, Anuradhapura District, North Central Province, Sri Lanka",Alagollewa,Anuradhapura District,North Central Province
Royal Botanical Gardens,Garden / Park,7.2706509,80.5963395,"Royal Botanical Gardens, Kendakaduwa, Gannoruwa, Kandy District, Central Province, Sri Lanka",Gannoruwa,Kandy District,Central Province
Ruwanweli Maha Seya,Religious Site,8.350051,80.3963636,"Ruwanweli Maha Seya, 992W+2G9,, Abhayawewa Road, S A C R E T   C I T Y, Anuradhapura, Anuradhapura District, North Central Province, 50000, Sri Lanka",Anuradhapura,Anuradhapura District,North Central Province
Samadhi Statue,Religious Site,6.8533165,79.9049521,"Samadhi Buddha Statue, Samadhi Budha Status, Sri Soratha Mawatha, Wijerama Junction, Gangodawila South, Nawinna, Delkanda, Colombo District, Western Province, 00290, Sri Lanka",Delkanda,Colombo District,Western Province
Samudra Parakrama,Lake / River,7.9,80.967,,,,
Sea Turtle Conservation Project (Koggala),Wildlife Conservation,6.1643829,80.0902958,"Sea Turtle Hatchery & Rescue Center, Hikkaduwa, Galle District, Southern Province, 80312, Sri Lanka",Hikkaduwa,Galle District,Southern Province
Sea Turtle Farm Galle Mahamodara,Wildlife Conservation,6.1643829,80.0902958,"Sea Turtle Hatchery & Rescue Center, Hikkaduwa, Galle District, Southern Province, 80312, Sri Lanka",Hikkaduwa,Galle District,Southern Province
Seema Malakaya Temple,Religious Site,7.0315684,79.9819045,"Seema Malakaya, පිරිවෙන පාර, Kirillawala, Gampaha District, Western Province, 11856, Sri Lanka",Kirillawala,Gampaha District,Western Province
Seenigama Muhudu Viharaya,Religious Site,6.1553441,80.0900798,"Seenigama Devale;Sinigama Muhudu Viharaya, Seenigama, Galle District, Southern Province, Sri Lanka",Seenigama,Galle District,Southern Province
Seruwila Mangala Raja Maha Vihara,Religious Site,8.3708,81.3194,,,,
Sigiriya Lion Rock,Heritage Site,7.9566634,80.7599301,"Sigiriya, Ehalagala, Matale District, Central Province, 21121, Sri Lanka",Ehalagala,Matale District,Central Province
Single Tree Hill,Viewpoint / Hiking,6.9580205,80.7626508,"Single Tree Hill, Single Tree Road, Haddon Hill, Nuwara Eliya, Nuwara Eliya District, Central Province, 22200, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Sinharaja Forest Reserve,Forest Reserve,6.4010545,80.5026392,"Sinharaja Forest Reserve, Palinda-Nuwara (Baduraliya) DS Division, Ratnapura District, Sabaragamuwa Province, Sri Lanka",,Palinda-Nuwara (Baduraliya) DS Division,Sabaragamuwa Province
Sithulpawwa Rock Temple,Religious Site,6.3869,81.4497,,,,
Somawathiya Chaitya,Religious Site,8.1208884,81.1689112,"Somawathiya Temple, Somawathiya Road, Somawathiya, Polonnaruwa District, North Central Province, Sri Lanka",,Polonnaruwa District,North Central Province
Sri Pada / Adam's Peak,Viewpoint / Hiking,6.8261677,80.5232448,"Adam's Peak Inn, Hatton-Maskeliya-Sri Pada Road, Dalhousie, Nallathanniya, Nuwara Eliya District, Central Province, 22070, Sri Lanka",Nallathanniya,Nuwara Eliya District,Central Province
St Benedict's Monastery - Adisham,Religious Site,6.7721724,80.9309262,"Adisham Bungalow (St.Benedict's Monastery), Adisham Bungalow Road, Viharagala, Haputale, Badulla District, Uva Province, 90160, Sri Lanka",Haputale,Badulla District,Uva Province
St Clair's Falls,Waterfall,6.9409114,80.6491756,"St. Clair, Talawakele, Nuwara Eliya District, Central Province, 22000, Sri Lanka",Talawakele,Nuwara Eliya District,Central Province
St Lucia's Cathedral,Religious Site,6.9476771,79.8634616,"St Lucia Street, Kotahena, St. Bastian, Colombo, Colombo District, Western Province, 01300, Sri Lanka",Colombo,Colombo District,Western Province
St. Mary's Church,Religious Site,6.9456057,79.8595145,"St. Mary's Church, New Chetty Street, Gintupitiya, St. Bastian, Colombo, Colombo District, Western Province, 01300, Sri Lanka",Colombo,Colombo District,Western Province
Statue of Parakramabahu I,Heritage Site,6.9234149,79.913372,"Statue of Lord Buddha, Buthgamuwa Road, IDH (Gothatuwa), Atalgoda, Kajugahawatte, Colombo District, Western Province, 10620, Sri Lanka",Kajugahawatte,Colombo District,Western Province
Temple of the Sacred Tooth Relic,Religious Site,7.2936148,80.6413453,"Sri Dalada Maligawa, Sri Dalada Veediya, Bogambara, Buwelikada, Kandy, Kandy District, Central Province, 20000, Sri Lanka",Kandy,Kandy District,Central Province
Trincomalee Beach,Beach,8.6111739,81.2190923,"Trincomalee Diving Center, Beach Road, Alles Garden, Trincomalee District, Eastern Province, 32100, Sri Lanka",Alles Garden,Trincomalee District,Eastern Province
Trincomalee War Cemetery,Memorial / Cemetery,8.6157265,81.2123229,"War Cemetery, Trincomalee-Nilaveli-Pulmodai Road, Alles Garden, Trincomalee District, Eastern Province, 32100, Sri Lanka",Alles Garden,Trincomalee District,Eastern Province
