place,sentence,true_best_time,true_crowd_level,true_cost_level,system_best_time,system_crowd_level,system_cost_level,system_time_of_day,system_season,system_day_type,system_crowd_ordinal,system_crowd_label,system_cost_band,system_amount_lkr,true_time_of_day,true_season,true_day_type,true_crowd_ordinal,true_cost_band,true_amount_lkr,notes
Mihintale,"Ticket costs 1,000 rupees.",0,0,1,,,,,,,,,,,,,,,MODERATE,"1,000",
Mulgirigala_Raja_Maha_Vihara,Entry was 500 rupees per person.,0,0,1,,,,,,,,,,,,,,,MODERATE,500,
Ruwanweli_Maha_Seya,Best time to visit during early morning before or after 5.,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Negombo_BeachUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,Weekends get busier with hundreds of locals.,0,1,0,,,,,,,,,,,,,,4,,,
Horton_Plains_National_Park,Definitely start your hike at around 7AM!,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Gregory_Lake,Do not visit in July on a windy and rainy day!.,1,0,0,,,,,,,,,,,NOT_STATED,MONSOON,NOT_STATED,,,,
Polhena_Beach,"This is mainly a ""locals"" beach and busy at weekend and on public holidays.",1,1,0,,,,,,,,,,,NOT_STATED,NOT_STATED,WEEKDAY,4,,,
Galle_Dutch_Fort,"Make sure you walk early in the morning, or later afternoon for sunset.",1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Pidurangala_Rock,We went up late afternoon for the sunset.,1,0,0,,,,,,,,,,,EVENING,NOT_STATED,NOT_STATED,,,,
Sigiriya_Lion_Rock,Go early to avoid queues and heat.,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Horton_Plains_National_Park,you need to leave at 5am.,1,0,0,,,,,,,,,,,MID_MORNING,NOT_STATED,NOT_STATED,,,,
Koggala_Lake,Best time to travel is after 4pm.,1,0,0,,,,,,,,,,,EVENING,NOT_STATED,NOT_STATED,,,,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,"It was only by following our guide 'off piste' that we had managed to reach the peak at all, the amount of people trying to come up the normal path had to be seen to be believed - please AVOID WEEKENDS at all costs.",1,0,0,,,,,,,,,,,EVENING,NOT_STATED,WEEKDAY,,,,
Sigiriya_Lion_Rock,Visit this place early to enjoy the dawn and sunrise.,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Ruwanweli_Maha_Seya,It can be hot in day time.,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Mihintale,Fewer tourists than at Anuradhapura sites.,0,1,0,,,,,,,,,,,,,,3,,,
Jungle_Beach,A busy weekend visit.,0,1,0,,,,,,,,,,,,,,4,,,
Horton_Plains_National_Park,"The only drawback is that you have to get up very early (4:30 a.m.) to admire the sunrise and avoid the extreme heat.The hike is magnificent, around 10 km with varied elevations.",1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Lover_s_Leap_Falls,There was no much water in the fall during June 2019.,1,0,0,,,,,,,,,,,NOT_STATED,SHOULDER,NOT_STATED,,,,
Ruwanweli_Maha_Seya,even though the place is crowded in the morning or evening you can find a quiet place in that large samaluwa(area around the saya).,0,1,0,,,,,,,,,,,,,,4,,,
Temple_of_the_Sacred_Tooth_Relic,Very busy with lots of people queuing.,0,1,0,,,,,,,,,,,,,,5,,,
Abhayagiri_Dagaba,The place was deserted when we visited in the evening.,0,1,0,,,,,,,,,,,,,,3,,,
Kataragama_Temple,I am sure that the same expectations were with the others who had being in the queue for hours.,0,1,0,,,,,,,,,,,,,,4,,,
Jungle_Beach,"Overcrowed, dirty, smelly & full of trash!.",0,1,0,,,,,,,,,,,,,,5,,,
Dutch_Hospital_Shopping_Precinct,We visited in the evening and although busy it was never frenetic and all the restaurants and shops looked inviting.,0,1,0,,,,,,,,,,,,,,4,,,
Ritigala_Forest_Monastery,"There are few other visitors, wonderfully quiet!",0,1,0,,,,,,,,,,,,,,2,,,
Pettah,"Absolutely packed and full of locals, which is always a good sign.",0,1,0,,,,,,,,,,,,,,5,,,
Gangaramaya_Temple,On arrival we had to pay a small entrance fee to enter this beautiful temple.,0,0,1,,,,,,,,,,,,,,,LOW,,
Wewurukannala_Vihara,"As others have noted, the Buddha here is huge, and worth a look (and yes, you'll have to pay- 200 rupees to enter per person, then a donation to enter other buildings.",0,0,1,,,,,,,,,,,,,,,LOW,200 ,
Pinnawala_Elephant_Orphanage,"(So if you are staying at one of those hotels, and don't use the lane mentioned above for entry, you may not need a ticket.",0,0,1,,,,,,,,,,,,,,,LOW,,
Horton_Plains_National_Park,"I think it’s way too expensive, given National Park entry is free in Australia.",0,0,1,,,,,,,,,,,,,,,VERY_HIGH,,
Mulgirigala_Raja_Maha_Vihara,We did not look for the price anywhere when we got down but we just don't get why he should end the tour on the top and anyway follow us down the stairs afterwards :).,0,0,1,,,,,,,,,,,,,,,LOW,,
Temple_of_the_Sacred_Tooth_Relic,There's an entrance fee for foreigners at this place.This place is bang in the city so parking can be a challenge especially in peak hours.,0,0,1,,,,,,,,,,,,,,,MODERATE,,
Royal_Botanical_Gardens,"Not only do you pay considerably more to get in than local people, you are then extorted by the workers once inside.",0,0,1,,,,,,,,,,,,,,,HIGH,,
Turtle_Conservation_Project_Turtle_Watch,"Visited @ 8:30pm with my partner.We had our own scooter, so we were not subject to the inflated prices that tuk tuk drivers quote for their services.Once we arrived, management demanded a 1000rs payment with absolutely zero explanation of service.",0,0,1,,,,,,,,,,,,,,,MODERATE,1000,
Jaffna_Fort,"Entrance is free and it's big enough for a stroll, particularly along the walls, but there isn't much to see inside.",0,0,1,,,,,,,,,,,,,,,FREE,,
Pinnawala_Elephant_Orphanage,"Has a collection of injured or orphaned elephants but the entry fee and charges for bathing, feeding and riding the elephants is very high and not worth it.",0,0,1,,,,,,,,,,,,,,,MODERATE,,
Victoria_Park_of_Nuwara_Eliya,Nice place but you have to pay for the entrance.,0,0,1,,,,,,,,,,,,,,,MODERATE,,
Seema_Malakaya_Temple,Entry ticket for Gangaramaya temple is valid here and is included.,0,0,1,,,,,,,,,,,,,,,MODERATE,,
Gregory_Lake,There was a small entrance fee to enter the lake area but it was worth the money.,0,0,1,,,,,,,,,,,,,,,LOW,,
Handunugoda_Tea_Estate,Maybe there are some commissions at work here since the tour is 'free'.,0,0,1,,,,,,,,,,,,,,,FREE,,
