place,sentence,true_best_time,true_crowd_level,true_cost_level,system_best_time,system_crowd_level,system_cost_level,system_time_of_day,system_season,system_day_type,system_crowd_ordinal,system_crowd_label,system_cost_band,system_amount_lkr,true_time_of_day,true_season,true_day_type,true_crowd_ordinal,true_cost_band,true_amount_lkr,notes
Pedro_Tea_Factory,Due to security reasons the management doesn't allow anyone to take photographs inside the premises.,0,0,0,0,0,0,,,,,,,,,,,,,,
Jaffna_Fort,jaffna fort we were happy to visit there,0,0,0,0,0,0,,,,,,,,,,,,,,
Elephant_Transit_Home_ETH,"as an animal lover, i was concerned about visiting this place",0,0,0,0,0,0,,,,,,,,,,,,,,
Mount_Lavinia_Beach,You can go for a swim but get in where there are lifeguards and signs indicating that it is safe to bathe there.,1,0,0,1,0,0,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Old_Parliament_Building,do visit early to avoid the heat and sun,1,0,0,1,0,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Lover_s_Leap_Falls,We did a hike up to the falls.,0,0,0,0,0,0,,,,,,,,,,,,,,
Ambewela_Farms,"There is a minimum entrance fee, but I believe its worthwhile to go there, recommend this pl",0,0,1,0,0,1,,,,,,,,,,,,MODERATE,,
Hakgala_Botanic_Gardens,We went on a weekday afternoon so there was hardly anyone.,1,1,0,1,1,0,AFTERNOON,,WEEKDAY,,,,,AFTERNOON,NOT_STATED,WEEKDAY,1,,,
Hummanaya_Blow_Hole,very nice waves and nice blow hole to see it's best things to do in tangalle area,0,0,0,0,0,0,,,,,,,,,,,,,,
Kosgoda_Sea_Turtle_Conservation_Project,tourist are totally neglected.,0,0,0,0,0,0,,,,,,,,,,,,,,
Jungle_Beach,"We went during the public holidays so it was so busy with lots of noise, people & trash everywhere.",1,1,0,1,1,0,,,PUBLIC_HOLIDAY,4,BUSY,,,AFTERNOON,NOT_STATED,WEEKDAY,1,,,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,He showed us the book and said everyone pays 1000 rupees per person.,1,0,0,0,0,1,,,,,,MODERATE,1000,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Weligama_Beach,good beach to take a walk,0,0,0,0,0,0,,,,,,,,,,,,,,
Jaffna_Fort,20 LKR entry fee for the locals.,0,0,1,0,0,1,,,,,,LOW,20,,,,,LOW,,
Kanniya_Hot_Springs,Not worth the entrance fee.,0,0,1,0,0,1,,,,,,HIGH,,,,,,MODERATE,,
Mount_Lavinia_Beach,this beach isn't anything exciting,0,0,0,0,0,0,,,,,,,,,,,,,,
Kalutara_Bodhiya,interesting and clean bigger than it looks this is still in use and local people are always there praying,0,0,0,0,0,0,,,,,,,,,,,,,,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,Some days upper area of waterfall receive high amount of rain and suddenly increase the level of water in bathing area.,1,0,0,0,0,0,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Jaffna_Fort,"the fort is nice to visit because it’s free, but there is nothing much to see there",0,0,1,0,0,1,,,,,,FREE,,,,,,FREE,,
Lover_s_Leap_Falls,Total walk time to the waterfall was about an hour.,1,0,0,0,0,0,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Yapahuwa_Rock_Fortress,googly map gives correct directions place big car park facilities doesn't issue tickets much crowded monkeys place better,0,0,1,0,0,0,,,,5,PACKED,,,,,,,FREE,,
Pedro_Tea_Factory,"It only took about 10 minutes, and no photos are allowed.",0,0,0,0,1,0,,,,,,,,,,,,,,
Dambulla_Cave_Temple,"As per the other reviewers, try to go early as the sun heats up the rocks you need to walk on.",1,0,0,1,1,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Gal_Vihara,one of the highlights of polonnaruwa,0,0,0,0,0,0,,,,,,,,,,,,,,
Jami_Ul-Alfar_Mosque,jami ul-afar mosque is located in the centre of the old town so the best way to reach it is to walk to it,0,0,0,0,0,0,,,,,,,,,,,,,,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,Though I would definitely avoid weekends and holidays (near full moons) though!,1,0,0,1,1,0,,,WEEKDAY,,,,,NOT_STATED,NOT_STATED,PUBLIC_HOLIDAY,,,,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,we visited ravana ella falls on a holiday visit to sri lanka,0,0,0,0,0,0,,,,,,,,,,,,,,
Japanese_Peace_Pagoda_-_Rumassala,"There was no one else there when we went, it was so peaceful (we went earlish in the morning).",1,0,0,0,1,0,MID_MORNING,,,2,QUIET,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Keerimalai_Hot_springs,"a bathing pond just by the seaside, keerimalai is a good destination for nature lovers and pilgrims alike!",0,0,0,0,0,0,,,,,,,,,,,,,,
Seenigama_Muhudu_Viharaya,a quaint buddhist temple driving from galle towards colombo - seenigama is around 20 kms,0,0,0,0,0,0,,,,,,,,,,,,,,
Hakgala_Botanic_Gardens,The entering price is quite steep for tourist (1100Lakhs per person) as compared to locals (50Lakhs).,0,0,1,0,0,1,,,,,,,,,,,,HIGH,,
Ella_Rock,They will charge crazy after you are done with the trek.- Some locals wait for you to het lost/make u get lost in jungle so that they can guide you and charge money.,0,0,1,0,0,1,,,,,,,,,,,,HIGH,,
Kalutara_Beach,"Because the water is not safe to swim in, so be aware of high waves and strong currents.",1,0,0,0,0,0,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Abhayagiri_Dagaba,like most of the dagobas it is large with a small shrine,0,0,0,0,0,0,,,,,,,,,,,,,,
Kaudulla_National_Park,we were charged 55 US dollars each which includes the entrance fee and jeep - we went at approximately 3.30pm.,0,0,1,0,0,1,,,,,,VERY_HIGH,16500,,,,,MODERATE,,
Coconut_Tree_Hill,amazing view of mirissa beach and how the palm trees nestled against the cliff is one fantastic scene,0,0,0,0,0,0,,,,,,,,,,,,,,
Wilpattu_National_Park,wilpattu park was a very good experience,0,0,0,0,0,0,,,,,,,,,,,,,,
Sithulpawwa_Rock_Temple,However due to the weather conditions in the area its recommended to climb during early morning hours or evenings.,1,0,0,1,0,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Jami_Ul-Alfar_Mosque,"good place for photography, although i am not a muslim, i love its architecture",1,0,0,0,0,0,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Negombo_Fish_MarketUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,"very interesting good foot wear as very wet underfoot, tv show being recorded the day we were visiting the amount of fish and the variety was unbalivable",0,0,0,0,0,0,,,,,,,,,,,,,,
Old_Parliament_Building,very european looking,0,0,0,0,0,0,,,,,,,,,,,,,,
Dalawella_Beach,"So, now he charges Rs 500 per person but you get 3 rides on the swing for that.",0,0,1,0,0,1,,,,,,MODERATE,500,,,,,MODERATE,,
Galle_Face_Green,we were recommended to watch the sunset at galle face hotel with a g&t and it was a great tip,0,0,0,0,0,0,EVENING,,,,,,,,,,,,,
Mihintale,good spot to visit at sunset,1,0,0,0,0,0,EVENING,,,,,,,EVENING,NOT_STATED,NOT_STATED,,,,
Kumana_National_Park,The journey to the park entrance takes about 40 minutes.,0,1,0,0,1,0,,,,,,,,,,,1,,,
Hummanaya_Blow_Hole,The homeowners in the area allow you to park on their land for a fee of Rs 50/-.,0,0,1,0,0,1,,,,,,LOW,50,,,,,LOW,,
Ambuluwawa_Tower,ambuluwawa tower is a great place to visit if you love nature and adventure,0,0,0,0,0,0,,,,,,,,,,,,,,
Mirissa_Beach,i really loved mirissa beach,0,0,0,0,0,0,,,,,,,,,,,,,,
Independence_Memorial_Hall,very attractive place and quite place though it is bustling place,0,0,0,0,0,0,,,,,,,,,,,,,,
Turtle_Conservation_Project_Turtle_Watch,We have never joined tours as such and did not know what to expect.,0,0,0,0,0,0,,,,,,,,,,,,,,
Royal_Botanical_Gardens,huge garden means huge,0,0,0,0,0,0,,,,,,,,,,,,,,
Pinnawala_Elephant_Orphanage,can't help feeling this is more of a tourist attraction rather than animal welfare program,0,0,0,0,0,0,,,,,,,,,,,,,,
Dehiwala_Zoo_-_Sri_Lanka,conditions elephants could improved greatly stop treating animals cruelly zoo keeper scaring elephants sharp needle like pole either give animals freedom shut zoo transfer,0,0,0,0,0,0,,,,,,,,,,,,,,
Kandy_View_Point,ideal time could be just an hour before sunset just after the evening rush hour .Take the setting sun in before walking back.,1,0,0,1,1,0,EVENING,,,,,,,EVENING,NOT_STATED,NOT_STATED,,,,
Gangaramaya_Temple,Entry fee is free.,0,0,1,0,0,1,,,,,,FREE,,,,,,FREE,,
Kanniya_Hot_Springs,A small fee for locals and a bigger fee for foreigners.It's not worth the hassle travelling to this place if you are some distance away from the wells.,0,0,1,0,0,1,,,,,,HIGH,,,,,,MODERATE,,
Hummanaya_Blow_Hole,100LKR for foreigners.,0,0,1,0,0,1,,,,,,LOW,100,,,,,MODERATE,,
Hakgala_Botanic_Gardens,Advisable to go early in the morning before crowd comes.,1,1,0,1,1,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,3,,,
Hakgala_Botanic_Gardens,"the best season to visit here is month of april ,during other months there're only flower buds ,if you want to have the real experience you should visit during april",1,0,0,1,0,0,,DRY_SEASON,,,,,,NOT_STATED,SHOULDER,NOT_STATED,,,,
Devon_Falls,this is a must see for anyone on their way to nuwara eliya,0,0,0,0,0,0,,,,,,,,,,,,,,
Jaffna_Public_Library,However no photography allowed inside.,0,0,0,0,0,0,,,,,,,,,,,,,,
Wilpattu_National_Park,happy to have chosen to go to wilpattu national park for a whole day,0,0,0,0,0,0,,,,,,,,,,,,,,
Gal_Vihara,"Better to start early morning, so can skip the sun light.",1,0,0,1,1,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Kosgoda_Sea_Turtle_Conservation_Project,The 2000 LKR entry fee per person supports their vital work.,0,0,1,0,0,1,,,,,,HIGH,2000,,,,,MODERATE,,
Pidurutalagala,"In some seasons, it may too cold top of the mountain.",0,0,0,1,0,0,,MONSOON,,,,,,,,,,,,
Richmond_Castle,Entry cost 100 LKR for foreigners,0,0,1,0,0,1,,,,,,LOW,100,,,,,LOW,,
Kosgoda_Sea_Turtle_Conservation_Project,"First we’ve been told it’s 1000rs/person, I just said “is it 500 or 1000?” Then suddenly it became 500 rs/person!",0,0,1,0,0,1,,,,,,MODERATE,1000,,,,,MODERATE,,
Independence_Memorial_Hall,we visited the indipendenc memorial hall and could admire many brides and bridegrooms who had gone to this place of colombo for their wedding pics,0,0,0,0,0,0,,,,,,,,,,,,,,
Devon_Falls,this water fall can be viewed from the main road,0,0,0,0,0,0,,,,,,,,,,,,,,
Elephant_Transit_Home_ETH,You can enter the premises after buying a tickets and counter will be open 30min before the show.,0,0,0,0,1,0,,,,,,,,,,,,,,
Japanese_Peace_Pagoda_-_Rumassala,Unlike other places there is no entry fee here so all you have to do is spent on transport.,0,0,1,0,0,1,,,,,,FREE,,,,,,FREE,,
Jaffna_Fort,i recently visited the jaffna fort for the first time in 38 years,0,0,0,0,0,0,,,,,,,,,,,,,,
Arugam_Bay,"Perhaps it's because it's just the start of the season and also the local new year holiday weekend, but a lot of the bars and restaurants were closed.What disappointed us most was the lack of good dineing.",1,0,0,0,1,1,,,WEEKEND,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Dambulla_Cave_Temple,i visited the dambulla golden temple during my holiday in sri lanka and it was one of the most peaceful and inspiring moments of my trip,0,0,0,0,0,0,,,,2,QUIET,,,,,,,,,
Victoria_Park_of_Nuwara_Eliya,Not worth the expensive entry fee.,0,0,1,0,0,1,,,,,,HIGH,,,,,,VERY_HIGH,,
Koggala_Lake,"They had various cinnamon products for sale, and we bought a set for 1,000 rupees.",0,0,1,0,0,1,,,,,,MODERATE,1000,,,,,NOT_STATED,,
Pidurangala_Rock,"make sure to bring sporty shoes, the view is worth the sweating while hiking to the top",0,0,0,0,0,0,,,,,,MODERATE,,,,,,,,
Pinnawala_Elephant_Orphanage,theres a big herd of elephants probably arround 100 and all are taken to river twice a day,0,0,0,0,0,0,,,,,,,,,,,,,,
Ruwanweli_Maha_Seya,Visit either in the early morning or in the evening when the sun is not too hot.,1,0,0,1,0,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Colombo_Fort_Railway_Station,"Here’s a tip.as of Nov 2023, a tuk-tuk to the Zest Metropole or Fairway in the old fort area should cost two hundred rupees.",0,0,1,0,0,1,,,,,,,,,,,,NOT_STATED,,
Buduruwagala_Temple,It's not advisable to visit during raining period.,1,0,0,1,1,0,,,,,,,,NOT_STATED,DRY_SEASON,NOT_STATED,,,,
Victoria_Park_of_Nuwara_Eliya,Foreigners are charged 300 rupees to visit and that is fine if the park was kept in good condition.,0,0,1,0,0,1,,,,,,LOW,300,,,,,MODERATE,300,
Japanese_Peace_Pagoda_-_Rumassala,When you go to there don;t go in the afternoon then it is to hot of the time.,1,0,0,1,0,0,AFTERNOON,,,,,,,AFTERNOON,NOT_STATED,NOT_STATED,,,,
Kalutara_Bodhiya,We also appreciated that it wasn’t overcrowded when we went in the late afternoon.,1,1,0,0,1,0,AFTERNOON,,,2,QUIET,,,AFTERNOON,NOT_STATED,NOT_STATED,2,,,
Pettah_Floating_Market,for the 1st time we got experience by visiting this floating market in colombo,0,0,0,0,0,0,,,,,,,,,,,,,,
Negombo_BeachUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,The water is not suitable for swimming.,0,0,0,1,0,0,,,,,,,,,,,,,,
Minneriya_National_Park,I also paid 4500 LKR for the entrance fee for one person.,0,0,1,0,0,1,,,,,,HIGH,4500,,,,,VERY_HIGH,4500,
Laxapana_Falls,view took long steps see longest relaxing peaceful,0,0,0,0,0,0,,,,2,QUIET,,,,,,,,,
Elephant_Transit_Home_ETH,It was only 500 rupees and we were there for about half an hour.,0,0,1,0,0,1,,,,,,MODERATE,500,,,,,LOW,500,
Temple_of_the_Sacred_Tooth_Relic,the temple of the tooth in kandy is one of the most beautiful and meaningful places i visited in sri lanka,0,0,0,0,0,0,,,,,,,,,,,,,,
Galle_Fort_Lighthouse,the fort experience was good as it is build near the sea and other side cricket ground view was nice,0,0,0,0,0,0,,,,,,,,,,,,,,
Sea_Turtle_Farm_Galle_Mahamodara,"from jersey, channel islands",0,0,0,0,0,0,,,,,,,,,,,,,,
Pedro_Tea_Factory,One must purchase an entry ticket which costs around Rs.250/= per person.,0,0,1,0,0,1,,,,,,LOW,250,,,,,LOW,250,
Mount_Lavinia_Beach,"unfortunately dehiwala beach is littered with garbage, fairly disgusting walking up and down the beach there",0,0,0,0,0,0,,,,,,,,,,,,,,
Royal_Botanical_Gardens,Only con is that is expensive for foreigners.,0,0,1,0,0,1,,,,,,HIGH,,,,,,VERY_HIGH,,
Turtle_Conservation_Project_Turtle_Watch,It's true that the groups are way too big (approx 60-70 people) and it's hard for the guides to get them to queue up and wait for their turn.,0,1,0,0,1,0,,,,,,,,,,,4,,,
Matara_Paravi_Duwa_Temple,there is a fee for foreigners.,0,0,1,0,0,1,,,,,,,,,,,,FREE,,
Ella_Rock,"ella rock is a decent hike, 2 hours up, 2 hours down, with no scrambling required but good hiking footwear is a must",0,0,0,0,0,0,,,,,,,,,,,,,,
Ceylon_Tea_Museum,shame we ran out of time to do a long tour,0,0,0,0,0,0,,,,,,,,,,,,,,
Hakgala_Botanic_Gardens,"this is a medium size garden , not too much detailed information labeling plants or scientific organization , however it is definitely an elaborate work which started in 1861 , has surprising collection of well organized trees and flowers arranged in a very beautiful and creative manner which made my 2 hours walk an ultimate joy",0,0,0,0,0,0,,,,,,HIGH,,,,,,,,
Ambuluwawa_Tower,You have to pay admission at the road gate.,0,0,1,0,0,1,,,,,,,,,,,,LOW,,
Bahiravokanda_Vihara_Buddha_Statue,250 rupees entry and then the man inside said we couldn't go to the top.,0,0,1,0,0,1,,,,,,LOW,250,,,,,LOW,250,
Ancient_City_of_Polonnaruwa,best advice is to use a bicycle to visit the area,0,0,0,0,0,0,,,,,,,,,,,,,,
Brief_Garden_-_Bevis_Bawa,"we visited brief garden today, a fantastic beautiful garden with lots of art",0,0,0,0,0,0,,,,,,,,,,,,,,
Nilaveli_Beach,i was staying nearby at the nilaveli beach hotel so the beach was directly in front of the hotel,0,0,0,0,0,0,,,,,,,,,,,,,,
Hurulu_Eco_Park,this is a great np to spot herds of elephants,0,0,0,0,0,0,,,,,,,,,,,,,,
Ridee_Viharaya_silver_Temple,this is an ancient temple with beautiful murals and paintings,0,0,0,0,0,0,,,,,,,,,,,,,,
Sea_Turtle_Farm_Galle_Mahamodara,i visited this place yesterday,0,0,0,0,0,0,,,,,,,,,,,,,,
Sigiriya_Lion_Rock,i wanted to write this post because i would like to give my personal point of view to those (like me) who are undecided whether to climb the lion's mountain or not because of the iron stairs and dizziness,0,0,0,0,0,0,,,,,,,,,,,,,,
Minneriya_National_Park,"We thought we stay and the rush would stop, but no, the queue behind us was endless.",0,1,0,0,1,0,,,,,,,,,,,5,,,
Mount_Lavinia_Beach,It's better to avoid this beach on weekends and public holidays as it can get very crowded.,1,1,0,1,1,0,,,WEEKDAY,5,PACKED,,,NOT_STATED,NOT_STATED,NOT_STATED,5,,,
St_Anthony_s_Shrine,"this is one of those churches, where it does not matter what religion you follow, that people go to to pray",0,0,0,0,0,0,,,,,,,,,,,,,,
Seema_Malakaya_Temple,beautiful lake setting and temple designed by geoffery bawa,0,0,0,0,0,0,,,,,,,,,,,,,,
Hiriketiya_Beach,the beach was recommended a lot but i must have changed a lot,0,0,1,0,0,1,,,,,,,,,,,,NOT_STATED,,
Pigeon_Island_National_Park,"i arrived without having lunch and they made me a quick lunch!! super nice!
i would have expected them to make me pay and instead no, offered by their kindness!!",0,0,0,0,0,0,,,,,,,,,,,,,,
Dehiwala_Zoo_-_Sri_Lanka,good experience elephant show best one,0,0,0,0,0,0,,,,,,,,,,,,,,
Colombo_Lotus_Tower,On arrival we purchased our tickets for the experience and me and my partner both noticed there was one price for locals and one for foreigners (I.e the people that keep their country suitable for tourists).,0,0,1,0,0,1,,,,,,,,,,,,HIGH,,
Beddegana_Wetland_Park,good place spend time nature location maintained fine find lot couples week days working times less crowded,0,1,0,0,1,0,,,WEEKDAY,5,PACKED,,,,,,3,,,
Colombo_National_Museum,can see lots of ancient and historical things can feel the old agricultural of sri lanka bt they cost tickets,0,0,1,0,0,0,,,,,,,,,,,,MODERATE,,
Wilpattu_National_Park,we visited wilpattu national park in august 2019,0,0,0,0,0,0,,MONSOON,,,,,,,,,,,,
Casuarina_Beach,It wasn't crowded at all on the Saturday we went.,0,1,0,0,1,0,,,,2,QUIET,,,,,,2,,,
Sea_Turtle_Farm_Galle_Mahamodara,this place is awesome to visit in sri lanka there are many injuried turtles,0,0,0,0,0,0,,,,,,,,,,,,,,
Kosgoda_Sea_Turtle_Conservation_Project,Entry fee is 500 LKR per person and it is worth visiting as you get complete information of sea turtles.,0,0,1,0,0,1,,,,,,MODERATE,500,,,,,LOW,500,
Wilpattu_National_Park,Some of the visitors do not care of them.,0,0,0,1,1,0,,,,,,,,,,,,,,
Pidurangala_Rock,Tourists pay Rs 500 in the temple complex at the bottom (where you need to be appropriately covered and remove your shoes when walking though the grounds).,0,0,1,0,0,1,,,,,,MODERATE,500,,,,,LOW,500,
Yala_National_Park,we went in the katagamuwa entrance (north) as this was recommended as being much less crowded than yala in the south,0,1,0,0,0,0,,,,5,PACKED,,,,,,3,,,
Galle_Fort_Lighthouse,"a beautiful lighthouse, with access through the fort",0,0,0,0,0,0,,,,,,,,,,,,,,
Colombo_National_Museum,this museum building seems old palace,0,0,0,0,0,0,,,,,,,,,,,,,,
Casuarina_Beach,"casuarina beach (karainagar, jaffna) – famous for calm, shallow waters and white sand",0,0,0,0,0,0,,,,2,QUIET,,,,,,,,,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,"I'd really recommend starting during the night, as climbing the stairs without the heat of the sun made a huge difference.",1,0,0,1,0,0,NIGHT,,,,,,,NIGHT,NOT_STATED,NOT_STATED,,,,
Pedro_Tea_Factory,Not fully functional on sundays.,1,0,0,1,1,0,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Shri_Bhakta_Hanuman_Temple,the temple is located in a good place and you can have a view the hanuman in the oppsite facing hill,0,0,0,0,0,0,,,,,,,,,,,,,,
Mirissa_Beach,"the prices of the restaurants on the beach are high compared to other restaurants in sri lanka, but they offer good food",0,0,1,0,0,1,,,,,,,,,,,,HIGH,,
Colombo_National_Museum,a really interesting three hours learning a bit more about sri lanka's rich history,0,0,0,0,0,0,,,,,,,,,,,,,,
Kandy_View_Point,650 rupees each to enter the forest.,0,0,1,0,0,1,,,,,,MODERATE,650,,,,,LOW,650,
Pinnawala_Elephant_Orphanage,the institution's mission is to provide shelter to orphaned elephants who were stranded in the wild,0,0,0,0,0,0,,,,,,,,,,,,,,
Colombo_National_Museum,Tickets for foreign tourists are priced at 1500 LKR per person.,0,0,1,0,0,1,,,,,,HIGH,1500,,,,,MODERATE,1500,
Hakgala_Botanic_Gardens,In other countries entrance fees for parks/gardens like this are very much lower or even free.,0,0,1,0,0,1,,,,,,FREE,,,,,,LOW,,
Udawalawe_National_Park,"I booked the 4h safari from 6 o'clock, which I think is recommended, as not so hot yet.",1,0,0,1,0,0,EARLY_MORNING,,,,,,,MID_MORNING,NOT_STATED,NOT_STATED,,,,
Henerathgoda_Botanical_Garden,on the top-5 of official botanical gardens sadly this comes close to the bottom; above the dismal hambantota one but below the much newer seethawaka one (avissawella),0,0,0,0,0,0,,,,,,,,,,,,,,
Turtle_Conservation_Project_Turtle_Watch,Paid 3000 lkr and walked away after 20 mins.,0,0,1,0,0,1,,,,,,HIGH,3000,,,,,HIGH,3000,
Jaffna_Public_Library,first of all the gardens seem like a little slice of eden in the heat of a jaffna mid morning,0,0,0,0,0,0,MID_MORNING,,,,,,,,,,,,,
Horton_Plains_National_Park,We decided not to beg him to let us enter the park anymore and drove away.I would recommend Park direction to train its workers to be polite with foreigners who pay such a big amount of money for entering the park and make ticket prices clear and exact.,0,0,1,0,0,0,,,,,,,,,,,,HIGH,,
Jungle_Beach,"close to famous unawatuna beach and japanese peace pagoda, the jungle beach is amazing place you need to check out",0,0,0,0,0,0,,,,,,,,,,,,,,
Sea_Turtle_Farm_Galle_Mahamodara,this is a place where the turtles have a chance to survive the stupidity of humans,0,0,0,0,0,0,,,,,,,,,,,,,,
Victoria_Park_of_Nuwara_Eliya,There is an entrance fee but I can't remember what it was so it mustn't have be too much!,0,0,1,0,0,1,,,,,,HIGH,,,,,,LOW,,
Sea_Turtle_Farm_and_Hatchery_-_Habaraduwa,"Come first, pay entrance fee and we’ll negotiate a minimum donation!.",0,0,1,0,0,1,,,,,,,,,,,,LOW,,
Isurumuniya_Temple,Entrance fee of LKR 200.,0,0,1,0,0,1,,,,,,LOW,200,,,,,LOW,200,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,Standing in the queues would have taken at least another 3hrs to reach the top.,0,1,0,0,1,0,,,,,,,,,,,5,,,
Horton_Plains_National_Park,"Even at that time, the place was overly crowded with tourists and their vehicles.",0,1,0,0,1,0,,,,5,PACKED,,,,,,5,,,
Kaudulla_National_Park,watch these majestic wild elephants in their natural habitat,0,0,0,0,0,0,,,,,,,,,,,,,,
Bahiravokanda_Vihara_Buddha_Statue,even beautiful when you see it at night from the kandy town,0,0,0,0,0,0,NIGHT,,,,,,,,,,,,,
Pedro_Tea_Factory,They don’t allow photos.,0,0,0,0,0,0,,,,,,,,,,,,,,
Lipton_s_Seat,This was at 8.30am so go early.,1,0,0,1,1,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Buduruwagala_Temple,this shows the history of sri lanka,0,0,0,0,0,0,,,,,,,,,,,,,,
Pidurangala_Rock,Don't climb mid day as it's hot.,1,0,0,1,0,0,EARLY_MORNING,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
