,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Galle Dutch Fort,201.64,316.34,259.79,222.66,323.89,155.87,278.51,221.84,197.6,199.8,347.5,118.57,69.73,224.68,146.89,68.79,171.99,520.91,224.26,35.65,125.47,120.04,314.56,256.58,114.54,207.3,229.2,185.73,119.8,56.29,224.47,0.0,452.75,123.99,196.94,217.02,367.35,286.0,322.85,0.0,122.39,121.82,0.24,256.69,121.21,248.42,77.57,255.07,248.79,23.35,138.69,18.93,67.65,248.61,70.47,282.8,119.46,312.04,501.14,500.74,131.55,6.35,313.11,26.58,18.88,99.03,82.37,68.9,223.17,222.9,363.07,150.25,308.28,518.37,123.36,322.6,155.37,262.21,19.56,47.36,322.26,208.07,229.78,202.33,312.86,259.9,152.06,37.44,310.79,152.85,205.71,363.56,47.43,316.45,293.37,34.69,256.19,319.15,114.85,74.23,147.32,534.17,252.29,498.51,159.47,157.4,500.25,374.5,202.2,123.29,357.15,260.55,125.89,277.63,268.22,194.17,278.54,49.65,323.11,260.76,323.51,201.96,82.47,219.29,299.8,216.56,314.31,315.77,330.75,17.44,2.23,121.33,21.81,380.44,274.9,257.55,133.85,165.43,346.7,238.14,218.35,233.48,130.64,130.75,324.24,222.92,366.1,365.73,86.67,309.86,142.05,7.24,365.21,257.38,124.55,41.42,286.0,53.0,27.98,69.41,41.34,366.95,130.75,182.93,256.75
Galle Face Green,103.84,199.35,163.33,116.59,217.83,37.77,309.96,115.77,164.56,166.76,314.4,10.92,76.28,217.61,80.36,68.23,212.89,414.84,118.19,147.17,3.27,3.39,197.57,150.51,9.38,200.23,131.39,191.23,10.76,160.39,217.41,122.72,346.69,152.24,199.68,110.95,261.28,293.11,216.79,122.72,0.0,1.9,122.96,159.51,2.43,150.62,181.67,158.89,165.16,130.44,31.31,111.92,171.74,181.91,174.57,176.73,4.73,195.06,395.07,394.68,2.62,121.22,196.12,143.57,133.75,203.12,41.63,75.44,117.1,116.83,257.0,254.34,202.22,412.3,11.44,216.53,259.46,156.14,132.29,84.97,353.71,110.27,189.71,198.78,195.87,161.19,256.16,100.81,287.51,92.44,237.17,257.5,151.52,210.38,187.3,146.21,162.75,197.22,11.38,178.32,29.22,428.1,146.22,392.44,41.37,39.29,394.18,268.43,198.64,0.9,288.37,161.84,3.08,171.56,169.51,88.1,172.47,153.75,217.04,154.69,217.45,198.41,44.95,113.22,193.73,110.49,197.32,198.78,224.68,132.31,123.4,2.54,110.36,274.37,168.83,158.25,128.45,269.52,240.63,140.33,178.28,135.67,4.34,3.78,218.17,116.85,260.03,259.66,190.77,192.88,170.3,122.11,259.14,158.09,3.5,128.47,179.93,157.1,141.6,173.51,155.42,248.85,3.38,287.03,139.76
Galle Face Hotel,104.47,199.99,163.96,117.22,218.46,38.4,309.43,116.41,164.03,166.23,315.04,10.39,75.75,217.09,80.99,67.71,212.37,415.47,118.82,146.64,3.76,2.86,198.21,151.15,8.85,199.71,132.03,190.7,10.23,159.86,216.88,122.19,347.32,151.71,199.15,111.58,261.91,316.93,217.42,122.19,0.63,0.0,122.43,160.14,2.24,151.25,181.14,159.53,165.79,129.91,31.94,111.39,171.21,182.54,174.04,177.37,4.2,195.69,395.71,395.31,3.25,120.69,196.76,143.04,133.22,202.59,41.1,74.92,117.74,117.46,257.64,253.82,202.85,412.94,12.07,217.17,258.94,156.77,131.76,84.44,353.18,110.9,189.18,198.25,196.5,161.82,255.63,100.28,288.15,91.91,236.64,258.13,151.0,211.02,187.94,145.68,163.38,197.85,10.85,177.79,29.85,428.73,146.86,393.07,42.0,39.92,394.81,269.07,198.12,1.53,289.01,162.48,3.72,172.19,170.14,88.73,173.11,153.22,217.68,155.32,218.08,197.88,44.42,113.85,194.36,111.12,197.96,199.42,225.31,131.78,122.87,2.35,109.84,275.0,169.46,158.89,127.92,269.0,241.26,140.96,177.76,136.31,4.97,4.42,218.8,117.48,260.66,260.29,190.24,193.51,169.77,121.58,259.78,158.72,2.98,127.94,180.56,156.57,141.07,172.98,154.89,249.48,4.01,286.5,140.39
Galle Fort Lighthouse,201.82,316.52,259.97,222.83,324.07,156.05,278.69,222.02,197.78,199.98,347.67,118.74,69.91,224.86,147.07,68.97,172.17,521.09,224.44,35.83,125.65,120.22,314.74,256.76,114.72,207.48,229.38,185.91,119.98,56.47,224.65,0.24,452.93,124.17,197.12,217.2,367.53,286.18,323.03,0.24,122.57,121.99,0.0,256.87,121.39,248.6,77.75,255.25,248.97,23.53,138.87,19.11,67.82,248.79,70.65,282.98,119.64,312.22,501.32,500.92,131.73,6.53,313.29,26.76,19.06,99.2,82.55,69.08,223.35,223.08,363.25,150.43,308.46,518.55,123.54,322.78,155.55,262.39,19.74,47.54,322.44,208.25,229.95,202.51,313.04,260.08,152.24,37.62,310.97,153.03,205.89,363.74,47.61,316.63,293.55,34.87,256.36,319.33,115.03,74.4,147.5,534.35,252.47,498.68,159.65,157.57,500.43,374.68,202.37,123.47,357.32,260.73,126.07,277.8,268.4,194.34,278.72,49.83,323.29,260.94,323.69,202.14,82.65,219.47,299.98,216.74,314.49,315.95,330.93,17.62,2.41,121.51,21.98,380.61,275.07,257.73,134.03,165.61,346.88,238.32,218.53,233.66,130.82,130.93,324.42,223.1,366.27,365.91,86.85,310.04,142.22,7.41,365.39,257.56,124.73,41.6,286.18,53.18,28.16,69.59,41.52,367.13,130.92,183.11,256.93
Galway's Land National Park,64.59,211.64,11.47,61.15,181.83,158.82,184.01,73.94,91.44,51.31,191.17,155.25,210.8,52.96,142.37,202.76,92.6,407.61,76.35,232.92,157.22,159.05,210.1,142.81,160.39,58.68,29.45,73.77,153.97,221.53,58.86,255.74,339.46,134.88,59.73,64.07,254.06,176.37,185.66,255.74,161.31,159.37,255.99,0.0,157.57,72.7,197.15,3.16,7.9,239.67,142.21,246.44,207.53,30.05,204.09,169.51,158.36,209.17,387.85,387.45,158.66,254.25,209.72,234.94,241.45,185.99,186.87,209.96,75.27,74.99,249.78,150.56,194.99,405.08,150.47,185.41,157.32,114.3,241.53,219.49,227.76,67.59,59.69,58.82,209.47,3.37,120.66,235.33,128.99,137.02,116.87,250.27,225.15,203.16,180.08,233.66,4.88,205.86,161.42,191.45,155.87,420.88,121.65,385.21,163.22,161.14,386.96,261.21,58.69,160.23,200.82,4.02,157.44,164.33,11.69,91.98,127.2,227.38,182.95,145.6,184.23,58.45,190.19,115.7,186.5,68.65,210.92,210.61,186.39,245.84,256.43,157.82,244.88,261.98,161.6,2.95,158.34,161.49,215.06,70.22,43.24,26.16,157.75,157.87,182.81,75.01,252.8,252.44,194.5,210.16,157.31,255.13,251.92,2.05,156.82,262.99,160.84,218.23,232.97,205.54,229.05,274.22,157.86,178.99,162.21
Gangaramaya Temple,102.13,199.61,161.62,116.84,218.08,38.03,308.98,116.03,163.58,165.78,314.66,8.98,75.3,216.64,78.65,67.26,211.92,415.1,118.45,146.19,2.44,1.44,197.83,150.77,8.79,199.26,129.68,190.25,8.82,159.41,216.43,121.74,346.94,151.26,198.7,111.21,261.54,316.48,217.04,121.74,2.3,1.71,121.98,157.8,0.0,148.91,180.69,157.19,163.45,129.46,31.57,110.94,170.76,180.2,173.59,176.99,2.78,195.31,395.33,394.93,3.82,120.24,196.38,142.59,132.77,202.14,40.9,74.47,117.36,117.09,257.26,253.37,202.47,412.56,11.7,216.79,258.48,156.4,131.31,83.99,352.73,108.56,188.73,197.8,196.13,159.48,255.18,99.83,287.77,91.46,236.19,257.75,150.55,210.64,187.56,145.23,161.04,197.48,10.65,177.34,29.48,428.36,146.48,392.69,41.62,39.55,394.44,268.69,197.67,2.65,288.63,160.13,3.43,171.82,167.8,88.35,172.73,152.77,217.3,154.95,217.7,197.43,44.22,113.48,193.99,110.75,197.58,199.04,224.94,131.33,122.42,0.24,109.38,274.63,169.09,156.55,127.47,268.55,240.89,138.62,177.31,133.97,5.12,4.98,218.43,117.11,260.29,259.92,189.79,193.13,169.32,121.13,259.4,156.38,1.05,127.49,180.19,156.12,140.62,172.53,154.44,249.1,4.58,286.05,140.02
Gartmore Falls,39.21,234.5,76.61,82.24,233.47,149.88,227.05,96.8,81.65,83.85,262.27,146.3,201.85,123.5,98.51,193.81,129.98,430.48,99.22,215.45,148.28,150.11,232.96,165.68,151.45,117.32,44.67,108.32,145.02,204.05,129.4,248.29,362.33,121.41,116.77,86.94,276.92,234.54,232.43,248.29,152.37,150.43,248.54,72.79,148.63,0.0,179.68,72.17,78.44,222.19,133.27,237.49,190.06,95.19,186.61,192.37,149.41,232.03,410.71,410.32,149.71,246.8,232.59,217.46,223.97,168.51,177.93,201.02,98.13,97.86,272.64,187.94,217.86,427.94,141.53,232.17,194.7,137.17,224.05,210.54,270.8,31.38,106.8,115.86,232.34,74.47,158.04,226.39,200.09,123.55,154.25,273.14,207.68,226.02,202.94,216.18,76.03,228.72,152.47,159.51,146.92,443.74,144.51,408.08,154.27,152.2,409.82,284.07,115.73,151.28,271.92,75.12,148.49,187.2,82.79,127.58,150.06,209.9,232.68,168.47,233.09,115.49,181.24,138.57,209.37,91.52,233.79,233.47,240.32,228.37,248.98,148.87,235.94,290.01,184.47,71.53,144.88,198.87,256.27,27.96,95.37,48.95,148.81,148.92,233.81,97.88,275.67,275.3,177.02,233.03,139.47,247.68,274.78,71.37,147.88,254.04,193.71,200.76,215.49,188.06,211.57,297.08,148.91,216.37,185.08
Goyambokka Beach,180.68,373.24,200.14,279.56,307.21,212.77,218.85,278.74,137.94,140.14,287.84,175.47,126.63,165.02,139.63,125.69,112.33,577.81,281.16,43.46,182.37,176.94,371.46,313.48,171.44,147.64,175.9,126.08,176.7,29.31,164.81,74.56,509.65,64.33,137.28,273.92,424.25,226.34,379.75,74.56,179.29,178.72,74.81,197.04,178.11,179.29,0.0,195.42,189.14,58.49,195.59,94.98,12.68,188.95,10.39,339.7,176.36,368.95,558.04,557.64,188.45,73.07,370.01,53.76,60.27,28.88,139.27,125.8,280.07,279.8,419.97,90.59,365.19,575.27,180.26,379.5,95.71,319.11,60.35,116.77,262.6,180.24,170.12,142.67,369.76,200.25,92.41,107.53,251.13,127.83,146.05,420.46,35.74,373.35,350.27,44.2,196.53,376.05,171.75,18.69,204.22,591.07,309.19,555.41,216.37,214.3,557.15,431.4,142.54,180.19,297.49,200.9,182.79,334.53,208.56,251.07,277.72,37.92,308.32,317.66,309.61,142.3,139.37,276.19,356.7,273.46,371.21,372.67,311.77,64.66,75.25,178.23,96.58,358.64,331.8,197.89,119.4,105.77,403.6,176.82,158.69,180.18,187.54,187.65,308.19,279.82,423.0,422.63,14.2,366.76,82.39,73.95,422.11,197.73,181.45,88.27,342.9,29.41,51.79,11.83,39.58,423.85,187.65,123.27,313.65
Gregory Lake,63.98,212.72,10.86,62.23,183.3,158.21,182.38,75.02,89.82,65.71,192.65,154.63,210.18,51.34,141.76,202.14,90.98,408.69,77.43,231.3,156.61,158.44,211.18,143.89,159.78,57.06,28.83,72.15,153.35,219.91,57.24,254.12,340.54,133.26,58.11,65.15,255.14,174.75,187.13,254.12,160.7,158.76,254.37,3.16,156.96,72.08,195.53,0.0,6.28,238.05,141.6,245.82,205.91,29.44,202.47,170.59,157.74,210.25,388.93,388.53,158.05,252.63,210.8,233.32,239.83,184.37,186.26,209.35,76.35,76.07,250.86,148.94,196.07,406.16,149.86,186.88,155.7,115.38,239.91,218.87,226.14,66.97,58.07,57.2,210.55,4.84,119.04,234.72,130.46,135.4,115.25,251.35,223.53,204.24,181.16,232.04,3.87,206.94,160.8,189.83,155.25,421.96,122.73,386.29,162.6,160.53,388.04,262.29,57.07,159.61,202.3,5.49,156.82,165.41,13.16,93.06,128.28,225.76,184.42,146.68,185.71,56.83,189.57,116.78,187.58,69.73,212.0,211.69,187.86,244.22,254.81,157.2,244.27,263.45,162.68,2.49,156.72,159.87,216.53,69.61,41.62,25.55,157.14,157.25,184.28,76.09,253.88,253.52,192.88,211.24,155.68,253.51,253.0,2.32,156.21,262.37,162.31,216.61,231.35,203.92,227.43,275.3,157.24,177.37,163.29
Hakgala Botanic Gardens,70.24,218.98,13.2,68.49,190.12,164.47,176.11,81.28,83.54,59.43,199.46,160.9,216.45,45.06,140.92,208.41,84.7,414.96,83.7,225.03,162.87,164.7,217.44,150.16,166.04,50.78,35.1,65.87,159.62,213.63,50.96,247.84,346.81,126.98,51.83,71.42,261.4,168.47,193.95,247.84,166.96,165.02,248.09,7.9,163.22,78.35,189.25,6.28,0.0,231.77,147.86,252.09,199.63,23.34,196.19,176.85,164.01,216.51,395.2,394.8,164.31,246.35,217.07,227.04,233.55,178.09,192.52,215.62,82.61,82.34,257.13,142.66,202.34,412.42,156.12,193.69,149.42,121.65,233.63,225.14,219.86,73.24,51.79,50.92,216.82,11.11,112.76,240.98,137.28,129.12,108.97,257.62,217.25,210.5,187.42,225.76,7.39,213.2,167.07,183.56,161.52,428.22,128.99,392.56,168.87,166.79,394.3,268.55,50.79,165.88,209.11,11.76,163.09,171.68,19.43,99.32,134.54,219.48,191.23,152.95,192.52,50.56,195.84,123.05,193.85,76.0,218.27,217.95,194.68,237.94,248.53,163.47,250.53,270.26,168.95,8.75,150.44,153.59,223.35,75.87,35.34,31.81,163.4,163.52,191.1,82.36,260.15,259.78,186.6,217.51,149.41,247.23,259.26,8.59,162.47,231.43,169.12,210.33,225.07,197.64,221.15,281.57,163.51,171.09,169.56
Handunugoda Tea Estate,209.11,323.81,242.68,230.12,331.36,163.34,261.39,229.31,180.49,182.69,330.38,126.03,77.19,207.56,154.35,76.25,154.87,528.37,231.72,21.03,132.93,127.5,322.03,264.05,122.0,190.18,236.66,168.62,127.27,39.18,207.35,23.09,460.22,106.87,179.83,224.48,374.81,268.88,330.32,23.09,129.86,129.28,23.34,239.58,128.68,221.83,60.45,237.96,231.68,0.0,146.15,40.47,50.53,231.49,53.36,290.27,126.93,319.51,508.61,508.21,139.01,20.45,320.58,11.96,6.43,81.91,89.84,76.36,230.64,230.36,370.54,133.13,315.75,525.84,130.83,330.07,138.25,269.67,5.0,67.33,305.14,215.54,212.66,185.21,320.32,242.79,134.95,58.09,293.67,160.32,188.6,371.03,30.31,323.92,300.84,20.07,239.07,326.61,122.31,57.11,154.79,541.63,259.76,505.97,166.93,164.86,507.71,381.96,185.08,130.76,340.03,243.44,133.36,285.09,251.1,201.63,286.01,32.54,330.58,268.22,330.98,184.84,89.93,226.75,307.26,224.02,321.78,323.24,338.21,8.4,23.78,128.79,47.15,387.9,282.36,240.43,141.32,148.31,354.16,245.6,201.23,240.94,138.11,138.22,331.7,230.38,373.56,373.19,69.56,317.33,124.93,18.09,372.68,240.27,132.02,42.04,293.46,35.88,13.36,52.3,26.72,374.41,138.21,165.82,264.21
Henerathgoda Botanical Garden,86.51,173.16,146.0,94.42,195.66,23.63,306.21,93.61,160.8,163.0,292.24,35.2,93.35,192.89,73.36,85.31,209.14,392.67,96.02,164.24,29.62,31.59,171.39,128.35,36.61,196.48,114.07,187.48,35.04,177.46,206.09,139.79,324.52,148.49,195.93,88.79,239.11,270.94,194.62,139.79,31.44,32.75,140.03,142.18,30.83,133.29,198.74,141.57,147.83,147.51,0.0,128.99,188.82,164.58,191.64,154.57,31.64,168.87,372.91,372.51,28.79,138.3,169.94,160.64,150.82,220.2,69.43,92.52,94.94,94.66,234.84,271.42,180.05,390.14,23.28,194.37,276.54,133.97,149.37,102.04,349.96,92.94,185.96,195.02,169.68,143.87,199.8,117.89,265.35,88.69,233.41,235.33,168.6,188.22,165.14,163.29,145.42,171.03,40.13,195.4,17.16,405.93,124.06,370.27,28.03,25.95,372.01,246.27,194.89,30.36,266.21,144.52,29.3,149.39,152.18,65.93,150.31,170.82,194.88,132.53,195.28,194.65,72.74,91.06,171.56,88.32,171.13,172.6,202.51,149.39,140.48,31.08,127.44,252.2,146.66,140.93,145.53,286.6,218.47,123.0,174.53,118.35,27.88,27.99,196.0,94.68,237.86,237.49,207.84,166.69,166.55,139.18,236.98,140.76,30.55,145.54,157.76,174.17,158.67,190.58,172.49,234.36,27.99,304.1,113.57
Hikkaduwa Beach,190.7,305.4,250.19,211.71,312.95,144.93,298.08,210.9,217.17,219.37,367.07,107.62,37.65,244.25,135.95,44.22,191.56,509.96,213.32,52.75,114.53,109.1,303.62,245.64,103.6,226.87,218.26,205.3,108.86,75.86,244.04,18.95,441.81,143.56,216.51,206.08,356.41,305.57,311.91,18.95,111.45,110.87,19.19,246.37,110.27,237.48,97.14,245.76,252.02,40.45,127.75,0.0,87.22,268.18,90.04,271.86,108.52,301.1,490.2,489.8,120.61,23.45,302.17,43.68,35.98,118.6,56.13,40.36,212.23,211.96,352.13,169.82,297.34,507.43,112.42,311.66,174.94,251.27,36.66,28.43,341.83,197.13,249.35,221.9,301.92,248.06,171.63,18.51,330.36,141.91,225.28,352.62,67.0,305.51,282.43,51.79,249.61,308.21,103.91,93.8,136.38,523.23,241.35,487.56,148.53,146.45,489.31,363.56,221.77,112.35,376.72,248.71,114.95,266.68,256.37,183.22,267.6,69.22,312.17,249.82,312.57,221.53,59.05,208.35,288.85,205.61,303.37,304.83,319.8,34.54,17.57,110.39,2.88,369.49,263.95,245.12,122.91,185.0,335.76,227.2,237.92,222.54,119.7,119.81,313.3,211.98,355.15,354.79,106.24,298.92,161.62,24.34,354.27,244.95,113.61,43.93,275.06,72.57,45.08,88.98,58.44,356.01,119.8,202.5,245.81
Hiriketiya Beach,191.18,364.86,210.64,271.18,372.42,204.4,229.35,270.37,148.45,150.65,298.34,167.09,118.25,175.52,150.14,117.31,122.83,569.43,272.78,31.48,173.99,168.56,363.09,305.11,163.06,158.14,186.4,136.58,168.32,17.33,175.32,66.18,501.28,74.83,147.79,265.54,415.87,236.85,371.38,66.18,170.92,170.34,66.43,207.54,169.74,189.8,12.68,205.92,199.64,50.12,187.21,86.6,0.0,199.46,5.83,331.33,167.98,360.57,549.67,549.27,180.07,64.69,361.64,41.06,48.01,40.61,130.9,117.42,271.7,271.42,411.6,101.09,356.81,566.89,171.89,371.13,106.21,310.73,51.97,108.39,273.1,190.75,180.62,153.17,361.38,210.75,102.91,99.15,261.63,138.33,156.56,412.09,23.76,364.97,341.89,32.21,207.03,367.67,163.37,24.11,195.84,582.69,300.82,547.03,207.99,205.92,548.77,423.02,153.04,171.81,307.99,211.4,174.41,326.15,219.07,242.69,327.07,25.93,371.64,309.28,372.04,152.81,130.99,267.81,348.32,265.08,362.83,364.3,322.27,51.94,66.87,169.85,88.21,369.14,323.42,208.39,129.9,116.28,395.22,187.32,169.2,190.68,179.17,179.28,372.76,271.44,414.62,414.25,25.93,358.39,92.89,65.57,413.73,208.23,173.08,74.03,334.52,17.43,38.91,1.99,27.6,415.47,179.27,133.78,305.27
Horton Plains National Park,86.99,239.03,18.58,88.54,208.86,181.22,181.61,101.33,80.55,21.25,220.24,177.65,222.24,63.8,137.93,195.85,84.54,435.01,103.75,224.87,179.62,181.45,237.49,170.2,182.79,52.57,51.85,62.88,176.37,213.47,69.7,247.68,366.86,123.99,52.02,91.47,281.45,189.1,212.69,247.68,183.71,181.77,247.93,30.05,179.97,95.1,189.1,29.44,23.34,231.61,164.61,268.1,199.48,0.0,196.03,196.9,180.76,236.56,415.24,414.84,181.06,246.19,237.12,226.88,233.39,177.93,197.11,221.4,102.66,102.39,277.17,142.5,222.39,432.47,172.87,212.44,149.26,141.7,233.47,230.93,225.36,89.99,48.8,51.11,236.87,31.74,112.6,246.77,156.02,126.13,108.81,277.67,217.1,230.55,207.47,225.6,30.06,233.25,183.82,183.4,178.27,448.27,149.04,412.61,185.62,183.54,414.35,288.6,50.98,182.63,229.89,32.39,179.84,191.73,40.05,119.37,154.59,219.32,209.97,173.0,211.26,50.75,200.42,143.1,213.9,96.05,238.32,238.0,213.42,237.79,248.37,180.22,269.7,291.04,189.0,28.8,147.45,153.43,242.09,92.62,32.35,48.56,180.15,180.27,209.84,102.41,280.2,279.83,186.44,237.56,142.05,247.07,279.31,28.64,179.22,228.44,187.86,210.18,224.91,197.48,220.99,301.61,180.26,170.93,189.61
Hummanaya Blow Hole,187.74,375.21,207.2,281.53,314.27,214.75,225.91,280.72,145.01,147.21,294.9,177.44,128.6,172.08,146.69,127.66,119.39,579.78,283.13,36.62,184.34,178.91,373.43,315.46,173.41,154.7,182.96,133.14,178.67,22.46,171.88,76.53,511.63,71.39,144.35,275.89,426.22,233.41,381.73,76.53,181.27,180.69,76.78,204.1,180.09,186.36,10.39,202.48,196.2,60.46,197.56,96.95,5.83,196.01,0.0,341.67,178.33,370.92,560.02,559.62,190.42,75.04,371.98,46.2,53.14,38.32,141.25,127.77,282.05,281.77,421.95,97.65,367.16,577.24,182.24,381.48,102.77,321.08,62.32,118.74,269.66,187.3,177.18,149.73,371.73,207.31,99.47,109.5,258.19,134.89,153.12,422.44,28.89,375.32,352.24,37.35,203.59,378.02,173.72,20.66,206.19,593.04,311.17,557.38,218.34,216.27,559.12,433.37,149.6,182.16,304.55,207.96,184.76,336.5,215.62,253.04,337.42,31.07,315.38,319.63,382.39,149.36,141.34,278.16,358.67,275.43,373.18,374.65,318.83,57.07,77.22,180.2,98.56,365.7,333.77,204.95,126.46,112.83,405.57,183.88,165.75,187.24,189.51,189.63,315.25,281.79,424.97,424.6,23.64,368.74,89.45,75.92,424.08,204.79,183.43,72.92,344.87,22.57,44.05,4.98,32.74,425.82,189.62,130.34,315.62
Hurulu Eco Park,158.17,64.44,178.32,121.89,46.33,157.79,253.05,97.05,230.36,232.76,142.91,184.68,235.66,177.61,192.42,227.62,230.68,260.42,103.87,306.55,179.1,181.07,62.9,27.64,186.09,188.49,160.94,234.36,178.8,319.77,170.94,282.1,192.27,267.55,197.81,109.95,84.59,200.29,45.29,282.1,180.92,182.23,282.34,169.51,180.31,192.91,341.05,170.59,176.85,289.82,154.09,271.3,331.12,196.9,333.95,0.0,181.12,61.97,240.66,240.26,178.27,280.61,62.53,302.95,293.13,362.5,211.74,234.83,97.52,97.24,80.32,274.53,25.53,257.88,168.2,45.04,295.4,118.21,291.68,244.35,296.8,165.93,213.75,196.91,62.28,170.67,258.74,260.2,116.02,207.75,229.77,80.81,310.91,55.96,15.81,305.6,174.44,58.66,189.61,337.71,157.31,273.68,50.65,238.02,162.18,160.11,239.76,91.74,196.77,179.84,116.88,171.18,178.78,14.09,178.85,104.07,91.36,313.13,45.55,29.56,45.95,196.54,215.05,75.64,22.29,101.37,63.73,63.41,53.18,291.69,282.78,180.56,269.75,97.68,14.89,169.2,249.74,285.46,69.13,182.62,213.69,166.56,177.36,177.48,46.67,96.82,83.34,82.97,350.15,62.97,285.6,281.49,82.45,168.3,180.04,287.85,54.8,316.48,300.98,332.89,314.8,125.58,177.47,302.96,79.35
