place_name,Beach_mentions,Sandy beach_mentions,Rocky beach_mentions,Sea_mentions,Waves_mentions,Lagoon_mentions,Lake_mentions,River_mentions,Waterfall_mentions,Coral reef_mentions,Mountain_mentions,Rock formation_mentions,Cave_mentions,Forest_mentions,Tea plantation_mentions,Viewpoint_mentions,Scenic view_mentions,Sunset view_mentions,Sunrise view_mentions,Wildlife_mentions,Elephants_mentions,Turtles_mentions,Whales_mentions,Dolphins_mentions,Birds_mentions,Leopards_mentions,Temple_mentions,Stupa_mentions,Buddha statue_mentions,Murals_mentions,Paintings_mentions,Sculptures_mentions,Cave temple_mentions,Ancient ruins_mentions,Fortress_mentions,Fort_mentions,Colonial architecture_mentions,Museum_mentions,Lighthouse_mentions,Church_mentions,Mosque_mentions,Hindu shrine_mentions,Heritage site_mentions,Entrance fee_mentions,Ticket price_mentions,Parking_mentions,Toilets_mentions,Changing rooms_mentions,Restaurants_mentions,Cafes_mentions,Shops_mentions,Market_mentions,Souvenir stalls_mentions,Accommodation_mentions,Guided tours_mentions,Local guide_mentions,Signage_mentions,Information boards_mentions,Road access_mentions,Public transport access_mentions,Stairs_mentions,Trail_mentions,Bridge_mentions,Boat service_mentions,Crowdedness_mentions,Cleanliness_mentions,Safety_mentions,Accessibility_mentions,Family friendliness_mentions,Peacefulness_mentions,Noise level_mentions,Service quality_mentions,Value for money_mentions,Food quality_mentions,Water clarity_mentions,Water depth_mentions,Strong current_mentions,Leeches_mentions,Weather condition_mentions,Beach_sentiment_score,Sandy beach_sentiment_score,Rocky beach_sentiment_score,Sea_sentiment_score,Waves_sentiment_score,Lagoon_sentiment_score,Lake_sentiment_score,River_sentiment_score,Waterfall_sentiment_score,Coral reef_sentiment_score,Mountain_sentiment_score,Rock formation_sentiment_score,Cave_sentiment_score,Forest_sentiment_score,Tea plantation_sentiment_score,Viewpoint_sentiment_score,Scenic view_sentiment_score,Sunset view_sentiment_score,Sunrise view_sentiment_score,Wildlife_sentiment_score,Elephants_sentiment_score,Turtles_sentiment_score,Whales_sentiment_score,Dolphins_sentiment_score,Birds_sentiment_score,Leopards_sentiment_score,Temple_sentiment_score,Stupa_sentiment_score,Buddha statue_sentiment_score,Murals_sentiment_score,Paintings_sentiment_score,Sculptures_sentiment_score,Cave temple_sentiment_score,Ancient ruins_sentiment_score,Fortress_sentiment_score,Fort_sentiment_score,Colonial architecture_sentiment_score,Museum_sentiment_score,Lighthouse_sentiment_score,Church_sentiment_score,Mosque_sentiment_score,Hindu shrine_sentiment_score,Heritage site_sentiment_score,Entrance fee_sentiment_score,Ticket price_sentiment_score,Parking_sentiment_score,Toilets_sentiment_score,Changing rooms_sentiment_score,Restaurants_sentiment_score,Cafes_sentiment_score,Shops_sentiment_score,Market_sentiment_score,Souvenir stalls_sentiment_score,Accommodation_sentiment_score,Guided tours_sentiment_score,Local guide_sentiment_score,Signage_sentiment_score,Information boards_sentiment_score,Road access_sentiment_score,Public transport access_sentiment_score,Stairs_sentiment_score,Trail_sentiment_score,Bridge_sentiment_score,Boat service_sentiment_score,Crowdedness_sentiment_score,Cleanliness_sentiment_score,Safety_sentiment_score,Accessibility_sentiment_score,Family friendliness_sentiment_score,Peacefulness_sentiment_score,Noise level_sentiment_score,Service quality_sentiment_score,Value for money_sentiment_score,Food quality_sentiment_score,Water clarity_sentiment_score,Water depth_sentiment_score,Strong current_sentiment_score,Leeches_sentiment_score,Weather condition_sentiment_score
Batticaloa Fort,8,1,0,6,0,19,2,4,0,1,0,0,0,0,0,1,36,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,94,8,2,1,0,1,0,5,1,3,0,0,0,0,1,0,1,0,3,11,30,4,0,0,2,7,0,7,2,3,13,4,2,5,0,0,2,5,1,0,1,1,0,2,0.375,1.0,,0.6667,,0.6842,1.0,0.25,,0.0,,,,,,1.0,0.7778,,1.0,0.0,,,,,0.0,,,,,,,1.0,,0.0,1.0,0.4468,0.25,0.5,0.0,,1.0,,0.4,0.0,0.3333,,,,,1.0,,0.0,,1.0,0.5455,0.4667,0.25,,,0.0,0.1429,,0.4286,1.0,-1.0,0.0769,0.5,0.0,0.8,,,0.5,1.0,1.0,,1.0,1.0,,-1.0
Beddegana Wetland Park,0,0,0,0,0,0,6,1,0,0,0,0,0,4,0,1,5,2,1,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,1,0,0,0,0,0,1,0,0,1,0,2,2,0,0,11,2,0,4,5,0,0,11,17,0,5,0,2,0,0,0,0,2,,,,,,,0.3333,0.0,,,,,,0.25,,1.0,0.6,1.0,1.0,0.0,,,,,0.25,,,,,,,,,,,,,,,,,,,0.0,0.125,0.0,1.0,,,,,,1.0,,,1.0,,0.5,0.0,,,0.5455,0.5,,-1.0,0.6,,,0.2727,1.0,,0.8,,0.5,,,,,0.0
Bentota Beach,559,189,0,176,143,5,6,31,2,5,4,29,2,3,1,0,68,78,6,4,2,12,1,0,4,0,11,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,32,0,4,0,57,16,7,4,19,164,2,12,3,1,8,16,2,5,1,19,69,252,57,6,64,108,5,33,21,51,11,21,51,0,40,0.7764,0.672,,0.4432,0.3846,-0.2,-0.1667,0.2258,0.0,0.4,-0.5,0.4138,1.0,0.0,1.0,,0.6912,0.6923,0.3333,0.0,1.0,0.3333,0.0,,0.25,,0.4545,,0.0,,,0.0,,0.0,,,,0.0,1.0,,,,,1.0,0.2188,,0.25,,0.386,0.4375,0.5714,0.5,0.4737,0.3963,0.5,0.4167,0.3333,0.0,0.375,0.375,0.0,0.6,0.0,0.2632,-0.2464,0.8175,0.2632,1.0,0.5781,1.0,-1.0,0.8182,0.0476,0.5686,0.8182,0.4762,-0.1569,,-0.325
Bogoda Wooden Bridge,0,0,0,0,0,0,1,7,1,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,2,4,0,7,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0,19,6,5,3,37,0,0,1,2,0,1,2,0,2,1,1,0,0,0,0,2,,,,,,,0.0,0.5714,0.0,,,0.0,0.2,,,,,,,,,,,,,,0.3846,,0.0,0.0,0.25,,0.1429,0.0,,,,0.0,,,,,1.0,0.0,,0.0,,,,,0.0,,,0.0,,1.0,1.0,,0.1053,-0.1667,0.2,0.3333,0.2703,,,1.0,0.5,,1.0,1.0,,0.5,1.0,0.0,,,,,-0.5
Bopath Ella (Bopath Falls),0,0,0,0,0,0,0,8,27,0,2,9,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,4,1,0,2,0,0,0,2,4,0,1,1,0,7,1,0,0,0,1,3,5,8,1,5,4,0,3,2,2,0,2,0,0,9,,,,,,,,0.25,0.4444,,0.5,-0.3333,,-1.0,,0.0,0.625,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.1429,0.0,-1.0,,0.0,,,,0.5,0.25,,1.0,0.0,,0.2857,0.0,,,,0.0,-1.0,-0.2,-0.25,1.0,0.6,1.0,,0.3333,0.0,0.0,,-1.0,,,-1.0
Brief Garden - Bevis Bawa,13,0,0,0,0,0,2,3,1,0,8,0,0,27,0,0,52,0,0,3,1,1,0,0,20,0,3,0,1,5,32,55,0,1,0,0,13,5,0,0,1,0,1,52,86,1,3,0,2,4,5,0,0,16,25,67,13,1,41,62,11,39,0,0,10,12,6,4,30,60,0,27,31,5,0,2,9,1,14,0.2308,,,,,,0.5,1.0,0.0,,0.375,,,0.5556,,,0.6538,,,0.0,1.0,1.0,,,0.5,,0.3333,,0.0,0.6,0.4688,0.5091,,0.0,,,0.5385,0.6,,,1.0,,0.0,0.0,0.1047,0.0,0.3333,,-1.0,0.5,0.2,,,0.375,0.52,0.4627,-0.1538,1.0,0.1707,0.2419,0.4545,0.4103,,,-0.3,1.0,-0.6667,1.0,0.3333,1.0,,0.2593,-0.1613,0.8,,0.5,0.4444,0.0,-0.7143
Buduruwagala Temple,1,0,0,0,0,0,14,0,3,0,2,66,0,9,0,0,14,0,0,7,2,0,0,0,10,0,46,1,42,0,4,80,1,3,0,0,0,4,0,0,0,3,3,8,14,5,2,0,1,4,0,0,1,0,0,11,1,0,37,6,5,13,0,0,9,4,2,1,4,49,0,2,2,1,0,0,0,0,6,1.0,,,,,,0.6429,,0.0,,1.0,0.5152,,0.3333,,,0.7857,,,0.8571,1.0,,,,0.4,,0.6087,-1.0,0.3571,,0.25,0.55,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0714,0.0,0.0,,-1.0,0.5,,,0.0,,,0.3636,0.0,,0.4054,0.1667,0.4,0.4615,,,-0.1111,1.0,0.5,-1.0,0.5,1.0,,1.0,1.0,0.0,,,,,-1.0
Casuarina Beach,175,42,0,47,16,1,0,0,0,6,1,2,0,0,0,0,9,11,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,24,23,8,25,10,12,2,21,0,7,5,0,0,2,0,8,17,0,3,2,16,31,82,26,3,35,42,0,3,2,13,0,35,4,0,19,0.5943,0.381,,0.2979,0.75,0.0,,,,0.1667,-1.0,-0.5,,,,,0.5556,0.4545,0.0,,,,,,-0.25,,0.5,,,,,,,,,0.0,,,,,,1.0,,0.25,0.3043,0.625,0.08,0.1,0.0833,0.0,0.1905,,0.2857,0.4,,,0.5,,0.25,0.0588,,0.3333,0.0,0.1875,-0.5484,0.2195,0.7692,1.0,0.6286,1.0,,0.6667,1.0,0.6154,,0.4,-0.25,,-0.7895
Ceylon Tea Museum,0,0,0,1,0,0,1,2,1,0,51,0,0,0,54,1,56,0,0,0,2,0,0,0,1,0,5,0,1,0,1,1,0,1,0,0,6,251,0,0,0,1,3,43,96,1,4,0,13,21,85,4,14,6,54,146,9,3,25,54,10,1,0,0,10,15,1,3,14,22,3,62,117,15,0,1,1,0,16,,,,1.0,,,1.0,1.0,0.0,,0.4314,,,,0.3519,1.0,0.8393,,,,0.5,,,,1.0,,0.4,,1.0,,0.0,-1.0,,0.0,,,0.5,0.4622,,,,-1.0,-0.3333,0.4419,0.3333,-1.0,0.0,,0.5385,0.4762,0.3882,0.25,0.5,0.1667,0.6111,0.4932,0.0,0.0,0.36,0.2778,0.4,1.0,,,-1.0,0.9333,0.0,1.0,0.5,1.0,-1.0,0.6129,0.4701,0.8667,,0.0,1.0,,-0.9375
Coconut Tree Hill,35,2,0,35,4,0,0,0,0,0,50,7,0,1,0,15,85,43,12,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,3,0,0,2,4,2,0,0,1,1,3,2,0,19,2,3,11,1,1,35,5,7,3,3,10,0,0,3,2,0,0,0,0,7,0.4857,-1.0,,0.7143,0.75,,,,,,0.38,0.5714,,0.0,,0.6,0.7059,0.5581,0.75,,,0.3333,,,,,0.0,,,,,,,1.0,,,,,,,,,,0.0,0.25,0.3333,,,0.5,1.0,1.0,,,1.0,0.0,0.0,0.0,,0.2632,0.0,0.0,-0.0909,0.0,0.0,-0.7429,-0.6,-0.4286,0.3333,0.6667,1.0,,,0.3333,0.5,,,,,-0.1429
Colombo Lotus Tower,1,0,0,3,0,0,5,0,0,0,1,0,0,0,0,19,52,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,26,0,2,0,14,1,4,1,2,2,1,2,2,0,0,1,1,0,0,0,6,0,2,0,10,0,1,10,15,9,0,1,0,0,4,1.0,,,0.3333,,,0.4,,,,1.0,,,,,0.4211,0.75,0.8,,,,,,,1.0,,,,0.0,,,,,,,,,0.6667,,,,,,0.25,0.0385,,0.5,,0.4286,0.0,0.5,0.0,1.0,1.0,0.0,0.0,-1.0,,,0.0,0.0,,,,-0.3333,,0.0,,0.4,,-1.0,0.2,-0.3333,0.6667,,1.0,,,-0.5
Colombo National Museum,2,0,0,3,0,0,1,0,0,0,0,2,0,2,1,1,11,0,0,6,2,0,4,0,0,1,1,2,14,4,33,46,0,5,1,0,60,346,0,0,0,3,33,32,77,8,24,0,1,37,41,0,11,8,4,15,18,0,7,12,6,5,0,0,20,30,7,6,52,7,2,39,25,6,0,4,0,0,58,0.0,,,0.6667,,,0.0,,,,,0.0,,0.0,0.0,1.0,0.3636,,,-0.1667,1.0,,0.25,,,0.0,0.0,0.5,0.6429,0.25,0.3636,0.4783,,0.2,1.0,,0.5667,0.5029,,,,0.3333,0.5152,0.1562,0.1948,0.375,0.2083,,0.0,0.5676,0.4878,,0.3636,0.25,0.0,0.5333,0.6111,,0.1429,0.5833,-0.1667,0.4,,,-0.7,1.0,0.1429,0.5,0.5769,1.0,-1.0,0.4872,0.2,0.1667,,0.5,,,-0.9655
Dagoba of Thuparama,0,4,0,0,0,0,3,0,0,0,0,1,0,1,0,1,5,2,0,0,2,0,0,0,0,0,31,92,27,0,2,11,0,20,0,0,0,0,0,0,0,12,3,7,6,2,0,0,0,0,1,0,2,0,0,4,0,0,1,3,4,1,0,0,6,2,2,1,3,12,0,0,0,0,0,0,1,0,22,,-1.0,,,,,0.0,,,,,0.0,,1.0,,0.0,0.4,0.0,,,0.0,,,,,,0.4194,0.4022,0.037,,0.5,0.3636,,0.4,,,,,,,,0.25,1.0,0.1429,0.0,0.5,,,,,0.0,,0.0,,,0.25,,,1.0,-0.3333,0.75,1.0,,,-1.0,-1.0,0.0,1.0,0.6667,1.0,,,,,,,0.0,,-1.0
Dambulla Cave Temple,1,0,0,0,0,0,2,0,0,0,50,93,352,6,0,1,106,5,0,1,1,0,0,0,0,0,340,7,184,57,145,196,151,2,4,0,0,10,0,1,0,12,49,45,107,26,7,0,1,2,14,2,13,6,10,86,8,0,20,13,195,16,0,0,35,30,9,8,12,45,0,15,28,18,0,6,1,0,81,1.0,,,,,,0.0,,,,0.24,0.3871,0.4688,0.6667,,1.0,0.6981,0.6,,1.0,0.0,,,,,,0.4941,0.2857,0.4185,0.5263,0.5172,0.5561,0.4901,-0.5,0.5,,,-0.1,,1.0,,0.75,0.449,0.1111,0.1402,0.0769,0.1429,,0.0,1.0,-0.2143,-0.5,0.2308,0.5,0.3,0.2791,-0.375,,0.0,0.3077,0.1949,0.125,,,-0.7714,0.4667,0.2222,0.25,0.25,1.0,,0.2,0.2143,0.2222,,0.1667,0.0,,-0.963
Dehiwala Zoo - Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,6,1,0,0,2,1,0,0,5,0,1,2,2,1,0,0,0,1,0,0,6,8,0,0,17,2,0,4,4,7,0,0,0,0,4,,,,,,,,,,,,,,,,,1.0,,,0.35,0.3077,,,,0.3571,,,,,,,,,,,0.0,,0.0,,,,,,-0.2,-0.1667,1.0,,,0.5,1.0,,,0.4,,1.0,0.5,-0.5,0.0,,,,0.0,,,-0.8333,0.25,,,0.5882,1.0,,0.75,0.0,0.7143,,,,,-1.0
Demodara Loop,0,0,0,0,0,0,0,0,2,0,25,0,0,2,7,6,42,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,19,5,1,0,1,0,0,0,0,0,0,0,2,0,14,21,2,24,33,0,4,3,2,0,6,1,0,5,1,2,0,0,0,0,4,,,,,,,,,1.0,,0.2,,,0.0,0.8571,0.1667,0.5238,1.0,,,,,,,-0.3333,,1.0,,,,,1.0,,,,,0.6667,,,,,,,,0.3158,0.0,1.0,,1.0,,,,,,,,0.5,,0.1429,0.2857,0.5,0.4167,0.2727,,-0.5,0.3333,1.0,,0.8333,1.0,,0.8,1.0,0.5,,,,,-0.75
