review_id,place_name,rating,title,body,date,reviewer,reviewer_location,type_of_traveler,contributions,page_url
R000301,Colombo National Museum,4,An enjoyable and instructive few hours.,A really interesting three hours learning a bit more about Sri Lanka's rich history. This is a venerable institution but still very much worth putting aside half a day for if you are in Colombo. After coming to Sri Lanka for 50 years I thought I knew its history pretty well but I definitely learned some new stuff.,"February 8, 2026",RufusRoffey,United Kingdom,Solo,164,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-Colombo_National_Museum-Colombo_Western_Province.html
R000314,Colombo National Museum,3,Lovely building ..Potential to be a nicer place,I like the building but it’s really dated and needs tremendous work and updating. It’s in a good location to worth a visit if you are visiting something else nearby. It has potential.,"July 30, 2025",MrsH,"Doha, Qatar",,11,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or10-Colombo_National_Museum-Colombo_Western_Province.html
R000316,Colombo National Museum,5,Worth a visit,"Worth a visit before you head inland to explore Kandy and other sites, lots of good info and explanations about the various dynasties and eras.","May 28, 2025",A Rhodes,,Couples,5,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or20-Colombo_National_Museum-Colombo_Western_Province.html
R000340,Colombo National Museum,3,Quite disappointing,"A 2 story building with displays of the BC/AC ancient kingdoms of Sri Lanka, can’t see any modern history involving the Portuguese/Dutch/English occupation era","May 24, 2024",manucanuck,"Hong Kong, China",Solo,1959,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or40-Colombo_National_Museum-Colombo_Western_Province.html
R000354,Colombo National Museum,4,Good place to visit,It was an enjoyable visit for us and the teens. Nicely laid out exhibits with lots of historical narrative posted in each room.,"May 23, 2023",Goodgirl98,"Chennai (Madras), India",,46,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or50-Colombo_National_Museum-Colombo_Western_Province.html
R000369,Colombo National Museum,3,Very interesting building and displays,Wonderful exhibits and hopefully one day SL with have the resources available to keep them in pristine condition for future generations.A great place to spend a couple of hours.,"February 11, 2020",Adrian H,"Houston, Texas",Couples,472,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or70-Colombo_National_Museum-Colombo_Western_Province.html
R000394,Colombo National Museum,4,Great perspectives on Sri Lankan history,We did this at the end of a two week trip around Sri Lanka and it puts all that we saw into perspective and joined the dots for us (where we were confused about who ruled when and where)!Many examples of the country's cultural achievements as well as it's historical roots.Definitely wotrth visiting for a couple of hours or so.,"October 24, 2019",darkaub,"Perth, Australia",,9,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or90-Colombo_National_Museum-Colombo_Western_Province.html
R000400,Colombo National Museum,4,Worthy visit,Good place to have an idea about the history of 🇱🇰. Nicely laid out with descriptions.. recommended o,"September 10, 2019",Travel with AK,"Colombo, Sri Lanka",,347,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or100-Colombo_National_Museum-Colombo_Western_Province.html
R000412,Colombo National Museum,5,Must visit,Learned a lot about Sri Lanka’s culture. Saw a lot to historical artifacts and scriptures which were fascinating. Should visit once if you’re in colombo,"July 20, 2019",hamurashyd,Male,Couples,13,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or110-Colombo_National_Museum-Colombo_Western_Province.html
R000415,Colombo National Museum,5,Excellent,"Hi good evening friends, look great, u can’t help but I think we should do eating in like crab and dinner.","July 2, 2019",Ishan Johri,"Meerut, India",Solo,145,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or110-Colombo_National_Museum-Colombo_Western_Province.html
R000417,Colombo National Museum,3,Largest Meseum in Sri Lanka with fairly good collection of artifacts.,Largest Meseum in Sri Lanka. Fairly good collection in historical artifacts can be seen there. Up keeping is not satisfactory. Would take around 3 hrs to see. Anuradhapura Polonnaruwa sections are good.,"June 11, 2019",Jayasundara D,"Colombo, Sri Lanka",Solo,120,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or120-Colombo_National_Museum-Colombo_Western_Province.html
R000418,Colombo National Museum,5,Beautiful Place,"It reflects Sri Lanka history...It’s a must see place in Colombo...You might take some photos, have some coffee or enjoy a walk around...","June 9, 2019",Mayssaa K,"Al Ain, United Arab Emirates",Couples,750,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or120-Colombo_National_Museum-Colombo_Western_Province.html
R000422,Colombo National Museum,4,Great Place,It is a great place to know about the history of the island. Although it takes time to go through all the period sections yet it is interesting.,"May 8, 2019",Vikrant B,"Dehradun, India",,37,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or120-Colombo_National_Museum-Colombo_Western_Province.html
R000442,Colombo National Museum,5,Ok to see,A cool place that give the full Srilankan antiques and more to see and admire the history too and need more to develop very good garden,"March 8, 2019",Anton O Fernando,"Nuwara Eliya, Sri Lanka",Business,492,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or140-Colombo_National_Museum-Colombo_Western_Province.html
R000458,Colombo National Museum,5,One stop history and cultural centre,"An enormous and elegant building which houses, displays and explains over a dozen aspects of Sri Lankan pre-history through periods of social and political evolution. Plenty of themes to choose from and choose you must if only to keep a tour down to 2-3 hours.","January 28, 2019",Durabil,"Whitehorse, Canada",Couples,13,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or160-Colombo_National_Museum-Colombo_Western_Province.html
R000464,Colombo National Museum,5,Mrs,"Interesting exhibition of Sri Lanka s history, very informative. Beautiful building and relaxing garden tea house","January 15, 2019",Leonie V,"Vogelenzang, The Netherlands",,4,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or160-Colombo_National_Museum-Colombo_Western_Province.html
R000473,Colombo National Museum,5,This should be your first stop,"If you’re going on a trip through Colombo, this should be your first stop since it teaches the historical context of the city. It not only provides a great understanding of the things you will see in your visit, English and other local languages are also used in their exhibits! Therefore, it’s really easy to understand everything!","January 2, 2019",Jason Jewett,"Dublin, Ireland",Couples,11,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or170-Colombo_National_Museum-Colombo_Western_Province.html
R000476,Colombo National Museum,1,Poorly maintained!,They charge a lot but don’t care of the exhibits; nor provide a good experience for the amount they charge!,"December 29, 2018",Ramakrishnan R,"Mumbai, India",,815,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or180-Colombo_National_Museum-Colombo_Western_Province.html
R000477,Colombo National Museum,4,Educational,Visitors gather lot of information about the history of Sri Lanka. Amazing place of vast collection of historic and pre-historic ages of Sri lanka.,"December 28, 2018",Danushke B,,,6,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or180-Colombo_National_Museum-Colombo_Western_Province.html
R000497,Colombo National Museum,4,Worth a visit,"On an off travel day, not a bad idea to visit to see the cultural early days of SriLanka. Takes about 2 hrs for a complete visit, very interesting","November 7, 2018",chiangmaicondorentals,"Chiang Mai, Thailand",,50,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or200-Colombo_National_Museum-Colombo_Western_Province.html
R000499,Colombo National Museum,4,A good introduction to Sri Lankan history and culture,A place to spend an hour or so before you head out to visit some of the locations for yourself. Explains the key stages of Sri Lankan history.,"November 1, 2018",Robin Y,,Friends,9,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or200-Colombo_National_Museum-Colombo_Western_Province.html
R000502,Colombo National Museum,5,convenience place,"its a historical place,build under srilankan tradition craft, good place to relax ,specially morning and evening","October 29, 2018",Jayanthe D,,,55,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or200-Colombo_National_Museum-Colombo_Western_Province.html
R000508,Colombo National Museum,3,Interesting Artifacts,There’s lot of interesting artifacts. But the lack of air-circulation makes it difficult to enjoy the tour.,"October 3, 2018",Fisherkf,"Homagama, Sri Lanka",Couples,33,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or210-Colombo_National_Museum-Colombo_Western_Province.html
R000521,Colombo National Museum,4,Very nice,A very nice review of srilankan history.. items are really good and well presented.. it worths a visit indeed,"September 5, 2018",Nermeen_Bedair,"Cairo, Egypt",Solo,104,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or220-Colombo_National_Museum-Colombo_Western_Province.html
R000544,Colombo National Museum,3,"Ok, but not spectacular","This place is probably best visited on the beginning of your trip in Sri Lanka as opposed to at the end. You get to see artefacts from Sri Lanka glory times, but I had al ready seen the real deal when visiting Kandy, Anuradhapura etc. However it gives a decent insight into this wonderful country","July 26, 2018",Saskia T,"The Hague, The Netherlands",Solo,623,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or240-Colombo_National_Museum-Colombo_Western_Province.html
R000546,Colombo National Museum,5,Loved this quirky place!,"Go there. It’s all great, especially the death masks! A rambling building of different rooms dedicated to Sri Lankan history.","July 16, 2018",Matthew P,"Dubai, United Arab Emirates",,18,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or250-Colombo_National_Museum-Colombo_Western_Province.html
R000551,Colombo National Museum,5,History and culture,If u need to know srilankan culture and history this is the best place must do in Colombo.The place is full of knowledgeable things mostly the old ones u can learn history of srilanka while u reading the captions wrote on each stories.,"July 6, 2018",Emma_Fiyo,Texas,,8,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or250-Colombo_National_Museum-Colombo_Western_Province.html
R000553,Colombo National Museum,5,Very good experience,"A must visit for history buff, we thoroughly enjoyed the experience. It was amazing journey with very polite non obstructive attendents in all halls. A person needs atleat 6 hours to thoroughly enjoy it.","July 5, 2018",Vidhuchandola,"Lucknow, India",,18,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or250-Colombo_National_Museum-Colombo_Western_Province.html
R000567,Colombo National Museum,5,Informative,"Get ready to learn a lot of history. This is a must see to gain a history of Sri Lanka! There are 15 rooms all with its own theme and information. Two hours is not enough time to thoroughly go through the whole place. So if you’re a history or information buff, then carve out a whole morning or afternoon for this!","June 10, 2018",Kathryn H,,Solo,87,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or270-Colombo_National_Museum-Colombo_Western_Province.html
R000571,Colombo National Museum,5,Good knowledge of SL,Its a huge mansion made by British for the governor in ceylon. So much things to watch. Worth the visit.,"May 18, 2018",Samuel A,,Friends,4,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or270-Colombo_National_Museum-Colombo_Western_Province.html
R000584,Colombo National Museum,5,Important place to visit.,You may spend hours in this place. This important place was built British rulers.It is in the capital city Colombo.Open thro out the week.,"May 1, 2018",Rohana P,,,62,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or280-Colombo_National_Museum-Colombo_Western_Province.html
R000585,Colombo National Museum,4,Worth a visit,"Visited here as part on our Colombo tour and enjoy it, well worth a visit . Well laid out with plenty to see.","April 29, 2018",TammywBoston,,Couples,440,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or280-Colombo_National_Museum-Colombo_Western_Province.html
R000592,Colombo National Museum,5,Must visit if you like history,The place is huge so take some time with you if you plan to visit. Lots to see from different periods of Sri Lankan history.,"April 16, 2018",RickD,"Melbourne, Australia",Couples,179,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or290-Colombo_National_Museum-Colombo_Western_Province.html
R000600,Colombo National Museum,5,Very interesting,Best way to find out about the Sinhalese culture and history! Highly recommend for everyone visiting the capital for more than a day!,"April 6, 2018",Paula C,"Dubai, United Arab Emirates",Solo,378,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or300-Colombo_National_Museum-Colombo_Western_Province.html
R000640,Colombo National Museum,4,Great exhibits,"We have just spent 15 days touring the island and we found the collection here very good examples of what we have seem in the ancient cities themselves, in some cases even better. The layout is very well done and it certainly gave us a better understanding of the Sri Lankan periods and cultures and other influences.","January 31, 2018",Johanna d,,Couples,46,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or340-Colombo_National_Museum-Colombo_Western_Province.html
R000657,Colombo National Museum,5,Gateway to History,"This place acts as a gateway to Sri Lanka's history. There are lot of artifacts to see, all divided by sections. Must visit!","January 7, 2018",Prakash_Chakraborty,"Hyderabad, India",Friends,105,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or360-Colombo_National_Museum-Colombo_Western_Province.html
R000658,Colombo National Museum,4,Good picture of Sri Lankan history,"Talks about Buddhism, early kingdoms in Sri Lanka, and exhibits from and influences from South Indian civilizations. Go only if you are into history","January 6, 2018",Mithun M,,,14,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or360-Colombo_National_Museum-Colombo_Western_Province.html
R000659,Colombo National Museum,4,Well worth a visit,Visited here recently on a tour of the country. The place is filled with interesting artifacts and was pleasantly cool which was a bonus given the temperatures outside. Allow about an hour for your visit.,"January 5, 2018",Paul L,,Couples,186,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or360-Colombo_National_Museum-Colombo_Western_Province.html
R000661,Colombo National Museum,5,Worth a visit,"Very informative and now beautifully presented . Try to spend at least half day to walk through slowly,","January 4, 2018",Mirani123,"Colombo, Sri Lanka",Friends,27,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or360-Colombo_National_Museum-Colombo_Western_Province.html
R000664,Colombo National Museum,4,Interesting exhibits,Much more than what we expected - many galleries with interesting exhibits. Had to rush through as it closed at 5pm.,"December 30, 2017",Angie K,"Singapore, Singapore",,3,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or360-Colombo_National_Museum-Colombo_Western_Province.html
R000673,Colombo National Museum,5,A place to see the long history of Srilanka,"This is the place you can learn & see the proud history of Srilanka.When you visit Srilanka, this a place you must visit. Spending few hours is very much useful and enjoyable.","December 7, 2017",Rohan R,"Colombo, Sri Lanka",,144,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or370-Colombo_National_Museum-Colombo_Western_Province.html
R000687,Colombo National Museum,4,Visitors from overseas,There's a big improvement after the renovation. This building is magnificent and deserves the money spent to maintain and restore it to its lost grandeur!Well worth a visit.,"November 7, 2017",Maeve M,,Friends,10,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or390-Colombo_National_Museum-Colombo_Western_Province.html
R000702,Colombo National Museum,4,Great,"A great one stop to appreciate the Sri Lanka history and culture. We especially like the natural history section, nicely presented.","October 16, 2017",Traveltubbies,"Colombo, Sri Lanka",,687,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or400-Colombo_National_Museum-Colombo_Western_Province.html
R000713,Colombo National Museum,3,A quick review of history of Sri Lanka,Many items of historical value are available. Describe the evolution of Sri Lankan culture from the era of kings.,"September 13, 2017",Chameleon,Sri Lanka,Friends,14,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or410-Colombo_National_Museum-Colombo_Western_Province.html
R000721,Colombo National Museum,5,time travel to past,no need of any machine to time travel to past this is the place to besupper historical artifacts take you through to past times relaxing placeshould visit at least oncecheers,"August 28, 2017",Indy,"Colombo, Sri Lanka",Couples,173,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or420-Colombo_National_Museum-Colombo_Western_Province.html
R000733,Colombo National Museum,4,Very good,Nice place that you have to visit when you are in Colombo. It might be a bit boring but it's gives you a better understanding of Sri Lanka and it's history.,"August 5, 2017",SuheirHilmy,"Copenhagen Region, Denmark",,11,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or430-Colombo_National_Museum-Colombo_Western_Province.html
R000741,Colombo National Museum,4,Nice place to visit,Nice place to take some photos and visit the Sri Lanka history... A big big tree live there for more than 100 years.,"July 23, 2017",Dino A,"Macau, China",Business,174,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or440-Colombo_National_Museum-Colombo_Western_Province.html
R000744,Colombo National Museum,4,Great stop on tour,An eclectic mix of things to learn about Sri Lanka. Some great stuff along with the more mundane. Some of the masks were amazing!Definitely worth a stop.,"July 20, 2017",Simon P,"Warfield, United Kingdom",,107,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-or440-Colombo_National_Museum-Colombo_Western_Province.html
R000801,Dehiwala Zoo - Sri Lanka,1,Zoo considers tourists not has human beings but as money bags,"Well I can not recommend this place, because of very high entrance rates for foreigners ! Again and again it shows how Sri Lanka despises tourists in their country. Rates for tourist are nearly 20 x higher than for local people , please never go there ! Prejudice and economic racisme is rampant in that country !","November 15, 2025",Walter D,"Boussu, Belgium",,5,https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html
R000814,Dehiwala Zoo - Sri Lanka,1,Zoo considers tourists not has human beings but as money bags,"Well I can not recommend this place, because of very high entrance rates for foreigners ! Again and again it shows how Sri Lanka despises tourists in their country. Rates for tourist are nearly 20 x higher than for local people , please never go there ! Prejudice and economic racisme is rampant in that country !","January 3, 2024",Walter D,"Boussu, Belgium",Couples,5,https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-or10-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html
R000841,Dehiwala Zoo - Sri Lanka,4,The Zoo has been revamped,"This Zoo was the biggest in Asia and now part of it has been shifted to Pinnawala as an open zoo. Those days we had seals penguins etc but now not so wide a variety but still a large aquarium, butterfly garden, snake garden etc and many species of wild life from around the orld.","August 28, 2018",TilakDissanayake,,Friends,40,https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-or40-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html
R000844,Dehiwala Zoo - Sri Lanka,4,Wonderful,I highly recommend that all tourists in Colombo should visit this Zoo.It needs 2.5 - 5 Hours to go thru the whole zoo.,"February 1, 2018",ahmalkhateeb,"Amman, Jordan",,3,https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-or40-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html
R000891,Diyatha Uyana,4,Good place,This is a pretty good to take you evening walk and do some shopping or have your dinner even.but please remember to keep your identity document with you.since this place in a secured environment there could be a random check.,"November 5, 2016",Yohani J,"Emirate of Sharjah, United Arab Emirates",Couples,113,https://www.tripadvisor.com/Attraction_Review-g3723942-d5461731-Reviews-or40-Diyatha_Uyana-Kotte_Western_Province.html
R000948,Diyatha Uyana,5,Nice place to see street 3D arts,A few street 3D arts can be seen in here. And there is water pond around the place. A good place to spend the evening...,"August 7, 2014",Dilshan M,"Colombo, Sri Lanka",Friends,314,https://www.tripadvisor.com/Attraction_Review-g3723942-d5461731-Reviews-or100-Diyatha_Uyana-Kotte_Western_Province.html
R000996,Dutch Hospital Shopping Precinct,4,Cool area,"Was here for dinner nice areas with options, tried pizza, pasta and salads, cool entertainment, had good time","July 26, 2023",regm889,"Bangkok, Thailand",Friends,1064,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or20-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001006,Dutch Hospital Shopping Precinct,4,Great selection of bars,Idea place to meet friends or potter about deciding where to grab a bite to eat in this old Dutch East India Company hospital complex.,"February 21, 2022",Robert H,"Wiltshire, United Kingdom",Couples,10,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or30-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001025,Dutch Hospital Shopping Precinct,5,The most happening place in Colombo,We four couples visited this shopping precinct in the premises of the old Dutch Hospital Colombo. We shopped for gems which were very costly and had dinner at the Ministry of Crab,"September 19, 2019",Arunverma,"Amritsar, India",Couples,2531,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or50-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001028,Dutch Hospital Shopping Precinct,4,Nice conversion,The old Dutch hospital has been transformed in a shopping precinct.The area is nice even though a little artificial.It's visited especially by tourists.,"July 10, 2019",Rosario_it,Belgium,Solo,1744,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or50-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001048,Dutch Hospital Shopping Precinct,5,Visiting here is the meaning of your travel to colombo,When you have a time must visit and it will make you happy and a great shopping experience that you will be happy with everything,"March 17, 2019",Anton O Fernando,"Nuwara Eliya, Sri Lanka",Business,492,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or70-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001069,Dutch Hospital Shopping Precinct,5,I would recommend,"It has options for everyone. You may go shopping, eat something, have a drink, or anything in between. This place even has a spa! Sometimes bands play live there and give twists to well-known songs, which is a great entertainment for customers. I would recommend.","January 2, 2019",Natalie Muir,"Rotterdam, The Netherlands",Couples,14,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or90-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001079,Dutch Hospital Shopping Precinct,5,I would recommend,"It has options for everyone. You may go shopping, eat something, have a drink, or anything in between. This place even has a spa! Sometimes bands play live there and give twists to well-known songs, which is a great entertainment for customers. I would recommend.","January 2, 2019",Natalie Muir,"Rotterdam, The Netherlands",Couples,14,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or90-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001095,Dutch Hospital Shopping Precinct,5,Great place to kill some time!,"Got something for everyone. Can do a bit of shopping, lunch and dinner, drinks and also a spa! Have gone to the the spa here and it's just great. Might need to book. But at the back, there's few more pubs as well. Great place to hang out day and even night.","November 7, 2018",retroconduct,"Colombo, Sri Lanka",,11,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or110-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001100,Dutch Hospital Shopping Precinct,5,One of a kind place,This is a former Dutch hospital now converted to a shopping and entertainment Center. Very nice atmosphere and lots of options to chose from. Evenings and weekends this place turns into a carnival....,"October 6, 2018",Shafraz N,"Markham, Canada",Couples,43,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or110-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001119,Dutch Hospital Shopping Precinct,3,Beautiful building,The former hospital is a beautiful shopping mall. You might not find anything you want to buy or eat here but it is worth a quick walk through to see the magnificence of the building.,"August 13, 2018",esopus35,"Hyattsville, Maryland",Solo,719,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or130-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001168,Dutch Hospital Shopping Precinct,4,Cheerful place,Nice place to dine in at the evening.Fine dining and casual.Variety of tastes .Enjoyed being there,"February 15, 2018",Seham F,,Business,38,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or180-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001169,Dutch Hospital Shopping Precinct,3,"Small Renovated Hospital ,which now houses Ministry of Crab","Over rated but decent part of town. There's a dilmah T Lounge here with decent pies and nice tea. Overall , other than the over priced clothes and knick knacks at the small 'Barefoot ' outlet- there's no.point taking a trip , but ok if it's en route elsewhere.","February 13, 2018",Bobby D,"Mumbai, India",Couples,15,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or180-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
R001210,Dutch Hospital Shopping Precinct,5,Nice place,"I love this place, Friday night will be more happening here and if u love to have beer with ur friends or buddies this is the place for that","November 11, 2017",Thilini T,,Friends,23,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-or220-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html
