place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence,place_total_mentions,TF,doc_freq,IDF,TF_IDF,defining_score
Abhayagiri Dagaba,Ticket price,2,3,6,11,neutral,0.776,"When approached by a man who said he worked for the sites, insisting that we pay for walking along the street, I contacted the tourist police, who said we were well within our rights to walk along without a ticket.",264,0.041666666666666664,94,0.5626506916305767,0.023443778817940693,0.01819237236272198
Abhayagiri Dagaba,Peacefulness,18,0,0,18,positive,0.816,The Twin Bathing Pools (Kottum Putan) are very tranquil and worth a 5-10 minute stop as it’s a great example of the amazing engineering and water management that was typical across ancient Sri Lanka.,264,0.06818181818181818,129,0.24613306953890854,0.01678180019583467,0.01369394895980109
Abhayagiri Dagaba,Local guide,2,2,1,5,positive,0.778,"The area is too big to cover on foot in a single day and, whilst bicycles and TukTuks are easy and cheap to hire, I would recommend a driver/guide who can direct you to and provide commentary on the most significant sites.",264,0.01893939393939394,66,0.9162907318741551,0.01735399113398021,0.013501405102236606
Abhayagiri Dagaba,Entrance fee,2,1,2,5,positive,0.808,Whether the LKR3.5K/foreigner fee (half price for under-13s) for access to Anuradhapura’s ruins is “worth it” depends on your expectations.,264,0.01893939393939394,87,0.6400373552459969,0.01212191960693176,0.009794511042400863
Abhayagiri Dagaba,Public transport access,1,2,2,5,negative,0.808,Its on the outskirts of Anuradhapura and is worth the walk or tuk tuk ride.,264,0.01893939393939394,90,0.6061358035703155,0.011479844764589308,0.009275714569788162
Abhayagiri Dagaba,Crowdedness,2,5,1,8,negative,0.832,"This dagoba was so busy with locals praying and visiting, so we decided to enjoy the view of this dagoba from the enterance.",264,0.030303030303030304,122,0.3019244291673241,0.009149225126282549,0.007612155305067081
Abhayagiri Dagaba,Value for money,4,2,0,6,positive,0.86,"The area is too big to cover on foot in a single day and, whilst bicycles and TukTuks are easy and cheap to hire, I would recommend a driver/guide who can direct you to and provide commentary on the most significant sites.",264,0.022727272727272728,112,0.38744660260548613,0.00880560460467014,0.0075728199600163205
Abhayagiri Dagaba,Cleanliness,4,1,0,5,positive,0.88,"The reason not just the dirty floor (these places wasn't really dirty), very often the stone very hot without shoes.I recommend you, before the visit you must read some historical fact about this place, will be interesting the visit!",264,0.01893939393939394,117,0.34377153910282454,0.006510824604220162,0.005729525651713742
Abhayagiri Dagaba,Scenic view,3,3,1,7,positive,0.773,"This dagoba was so busy with locals praying and visiting, so we decided to enjoy the view of this dagoba from the enterance.",264,0.026515151515151516,128,0.25391520998096345,0.0067326002646467585,0.005204300004571945
Ambewela Farms,Wildlife,31,10,32,73,neutral,0.786,"Recommend to any one who loves the nature and animals!,",561,0.13012477718360071,54,1.1169614273363062,0.14534435685481348,0.11424066448788339
Ambewela Farms,Mountain,21,1,12,34,positive,0.778,They drive is very beautiful and picturesque - with hills covered in mist and dotted with cattle grazing around.,561,0.06060606060606061,24,1.927891643552635,0.11684191779106878,0.09090301204145151
Ambewela Farms,Family friendliness,51,5,26,82,positive,0.752,"Cool climes, Pastures more than green, Great place for kids and people who love to see the dairy industry indights to give it a go, dont miss to enjoy a hot glass of milk or munch a cube of fresh chesse",561,0.14616755793226383,89,0.6173091041684409,0.09023056424565447,0.06785338431273216
Ambewela Farms,Food quality,16,0,3,19,positive,0.78,"Have good food, but the star attraction on food department is the Fresh Milk.",561,0.0338680926916221,16,2.3333567516607996,0.07902634274787021,0.061640547343338764
Ambewela Farms,Restaurants,11,3,14,28,neutral,0.774,The cheese factory was closed when we went and the restaurant's idea of milk shake was a scoop of ice cream in a glass of milk.,561,0.049910873440285206,49,1.214125175789954,0.06059804798951642,0.04690288914388571
Ambewela Farms,Weather condition,12,26,7,45,negative,0.759,"Cool climes, Pastures more than green, Great place for kids and people who love to see the dairy industry indights to give it a go, dont miss to enjoy a hot glass of milk or munch a cube of fresh chesse",561,0.08021390374331551,82,0.6992262266363275,0.05608766523820809,0.04257053791579994
Ambewela Farms,Ticket price,14,9,28,51,neutral,0.766,"Nice place to see Cows,goats & Rabbits raised for economic purposes.You could see the milking of cows on specific times.The cafetaria serves fresh milk , Yoghurt , snacks etc.Rs.100 for entrance not worth it, Rs.20 for children..You could see Rabbits raised for meat and Goat as well.",561,0.09090909090909091,94,0.5626506916305767,0.051150062875506976,0.03918094816263835
Ambewela Farms,Scenic view,73,0,30,103,positive,0.801,You get to pass a beautiful lake and a dam which you will not feel like taking your eyes off from the view!,561,0.1836007130124777,128,0.25391520998096345,0.04661901359721789,0.03734182989137153
Ambewela Farms,Toilets,5,1,4,10,positive,0.792,Toilets were terrible.,561,0.017825311942959002,37,1.4950275612563562,0.0266493326427158,0.021106271453030914
Ambewela Farms,Cleanliness,32,5,2,39,positive,0.879,The facilities are not very clean either.,561,0.06951871657754011,117,0.34377153910282454,0.023898556194314007,0.02100683089480201
Ambewela Farms,Service quality,8,1,10,19,neutral,0.777,The local shop needs drastic makeover & better staff & hygiene.The entry ticket is expensive seeing that not even a basic guide is provided.,561,0.0338680926916221,88,0.6286086594223741,0.021289776344073277,0.016542156219344937
Ambewela Farms,Entrance fee,5,2,10,17,neutral,0.831,"Foreigners are charged $20 entrance fee while Sri Lankans pay $10, which is a far more reasonable price for what you get.",561,0.030303030303030304,87,0.6400373552459969,0.019395071371090818,0.016117304309376468
Ambewela Farms,Local guide,4,1,7,12,neutral,0.752,The local shop needs drastic makeover & better staff & hygiene.The entry ticket is expensive seeing that not even a basic guide is provided.,561,0.0213903743315508,66,0.9162907318741551,0.019599801751318823,0.014739050916991755
Ambewela Farms,Value for money,13,3,0,16,positive,0.833,If this is not a heaven i would wonder how heaven is?Its a greeny farm where you can see cows free in the fields.,561,0.0285204991087344,112,0.38744660260548613,0.01105017048429194,0.009204792013415185
Ambewela Farms,Crowdedness,2,10,1,13,negative,0.857,"Nice experience for children especially...Incredibly, the toilets were very clean, even though we visited during peak time with large crowds.",561,0.023172905525846704,122,0.3019244291673241,0.006996466273039596,0.005995971595994933
Ambuluwawa Tower,Mountain,17,2,7,26,positive,0.787,"ongoing mist.It has several viewing platforms for to enjoy the stunning views.When we climb to the top of this tower,we can see Adam's peak,Knuckles range,Bagathale rock,Piduruthalagala mountain.This is an awesome experience I had ever experienced.",256,0.1015625,24,1.927891643552635,0.19580149504831448,0.1540957766030235
Ambuluwawa Tower,Stairs,6,4,23,33,neutral,0.761,"diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could sometimes be covered by the ongoing",256,0.12890625,47,1.255797872190522,0.16188019446205948,0.12319082798562726
Ambuluwawa Tower,Mosque,2,0,4,6,neutral,0.767,"Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could",256,0.0234375,5,3.4965075614664802,0.08194939597187063,0.06285518671042478
Ambuluwawa Tower,Scenic view,59,8,8,75,positive,0.821,"the view from up there is stunning.accessing the tower itself is free, getting there we had to hire this tiny care that resembled a golf car.",256,0.29296875,128,0.25391520998096345,0.07438922167411038,0.06107355099444462
Ambuluwawa Tower,Church,2,0,5,7,neutral,0.763,"Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could sometimes",256,0.02734375,9,2.908720896564361,0.07953533701543175,0.06068546214277443
Ambuluwawa Tower,Public transport access,6,4,12,22,neutral,0.805,some larger people had to turn around because it was too narrow!Once at the top: magnificent and breathtaking view looking down….Try the experience!Access is free… you can go up to the entrance on foot or by tuk tuk…,256,0.0859375,90,0.6061358035703155,0.05208979561932399,0.04193228547355581
Ambuluwawa Tower,Hindu shrine,2,0,6,8,neutral,0.76,"Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which",256,0.03125,39,1.4423838277709342,0.045074494617841694,0.03425661590955969
Ambuluwawa Tower,Safety,0,8,4,12,negative,0.84,thought It was kinda difficult to climb however it was not difficult climb any of the places we climb in srilanka .There is a lack of safety for kids If you are over weight person you may not be able to move from top.If you are travelling by open vehicle beware of monkeys They will steal everything when you reached to vehicle.,256,0.046875,86,0.651598177647073,0.030543664577206545,0.025656678244853497
Ambuluwawa Tower,Temple,4,0,6,10,neutral,0.776,"suburbs of Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views",256,0.0390625,76,0.7752121336142496,0.030281723969306625,0.02349861780018194
Ambuluwawa Tower,Ticket price,5,3,4,12,positive,0.807,If you go by your personal vehicle you can drive passing the tickets counter at the entrance(highly recommended n make sure your vehicle is good condition you have to climb a very steep mountain).,256,0.046875,94,0.5626506916305767,0.026374251170183282,0.02128402069433791
Ambuluwawa Tower,Entrance fee,1,1,4,6,neutral,0.82,"Additionally, starting from January 1st, the entry fee for tourists will double to 2000 LKR, which is worth considering when planning a visit.",256,0.0234375,87,0.6400373552459969,0.015000875513578052,0.012300717921134002
Ambuluwawa Tower,Value for money,3,6,0,9,negative,0.853,"the view from up there is stunning.accessing the tower itself is free, getting there we had to hire this tiny care that resembled a golf car.",256,0.03515625,112,0.38744660260548613,0.013621169622849122,0.011618857688290301
Ambuluwawa Tower,Crowdedness,0,12,0,12,negative,0.817,"Amazing 360 degree view of the beautiful middle mountain range of Sri Lanka, not much crowded, a recently made rare shape structure .",256,0.046875,122,0.3019244291673241,0.014152707617218317,0.011562762123267364
Ambuluwawa Tower,Family friendliness,1,3,2,6,negative,0.753,kinda difficult to climb however it was not difficult climb any of the places we climb in srilanka .There is a lack of safety for kids If you are over weight person you may not be able to move from top.If you are travelling by open vehicle beware of monkeys They will steal everything when you reached to vehicle.,256,0.0234375,89,0.6173091041684409,0.014468182128947833,0.010894541143097718
Ambuluwawa Tower,Cleanliness,2,3,0,5,negative,0.872,Its not well maintained to be frank.,256,0.01953125,117,0.34377153910282454,0.006714287873102041,0.00585485902534498
Ambuluwawa Tower,Peacefulness,7,0,0,7,positive,0.829,Try and go when it's really quiet.,256,0.02734375,129,0.24613306953890854,0.00673020112020453,0.0055793367286495555
Ancient City of Polonnaruwa,Ancient ruins,153,6,110,269,positive,0.789,well maintained ruins,1577,0.17057704502219403,23,1.9704512579714308,0.33611375294503165,0.26519375107362997
Ancient City of Polonnaruwa,Museum,53,14,74,141,neutral,0.778,I highly recommend visiting the museum to gain a little knowledge before browsing the ruins.,1577,0.08941027266962587,36,1.5224265354444706,0.13612057165356395,0.10590180474647276
Ancient City of Polonnaruwa,Local guide,90,10,81,181,positive,0.762,a guide would be nice to unstandardised intricacies.,1577,0.11477488902980343,66,0.9162907318741551,0.10516716706989351,0.08013738130725886
Ancient City of Polonnaruwa,Heritage site,30,1,49,80,neutral,0.802,History and Heritage at its Best!,1577,0.05072923272035511,30,1.7047480922384253,0.08648056270074447,0.06935741128599707
Ancient City of Polonnaruwa,Temple,57,11,73,141,neutral,0.778,"Additionally, as you will be in and out of Buddhist temples, I'd suggest wearing socks, as the stones get very, very hot.",1577,0.08941027266962587,76,0.7752121336142496,0.0693119282432525,0.053924680173250444
Ancient City of Polonnaruwa,Buddha statue,32,3,31,66,positive,0.794,"One revers the Buddha without much reference to the animal kingdom and the other is prolific in carving animals, 'grotesque' masks and moonstones with story telling symbolisms threaded throughout the buildings and statues.",1577,0.04185161699429296,47,1.255797872190522,0.0525571715691658,0.04173039422591764
Ancient City of Polonnaruwa,Sculptures,40,2,30,72,positive,0.786,"One revers the Buddha without much reference to the animal kingdom and the other is prolific in carving animals, 'grotesque' masks and moonstones with story telling symbolisms threaded throughout the buildings and statues.",1577,0.045656309448319596,55,1.0986122886681098,0.050158582615157835,0.039424645935514056
Ancient City of Polonnaruwa,Ticket price,31,20,59,110,neutral,0.784,"You first go to the museum site to purchase your ticket, a lovely bit of history there, if you can read and love to take your time I would suggest NOT to get the guide who will hustle you and try to convince you into using him and go as far as to say “don’t pay me if you are dissatisfied”.",1577,0.06975269499048826,94,0.5626506916305767,0.03924640207949488,0.03076917923032399
Ancient City of Polonnaruwa,Signage,12,3,10,25,positive,0.778,"Was in awe of how well preserved many of the ruins are, although it seems not everyone can read the signs telling you not to walk on the walls.",1577,0.01585288522511097,16,2.3333567516607996,0.03699043677331641,0.02877855980964017
Ancient City of Polonnaruwa,Public transport access,32,6,39,77,neutral,0.794,If you're travelling in a small group my best advice would be to do it ahead of the buses that are all going the same place at the same time.,1577,0.04882688649334179,90,0.6061358035703155,0.029595724080478312,0.023499004919899782
Ancient City of Polonnaruwa,Guided tours,8,3,14,25,neutral,0.808,"and started by visiting the museum, think you pretty much need to as there is not much info at each building on the site.We had a tour guide who showed us the bits worth seeing and in the heat getting in and out of the air conditioned car was greatly appreciated.The site is not used for worship anymore and some buildings",1577,0.01585288522511097,36,1.5224265354444706,0.02413485313006453,0.01950096132909214
Ancient City of Polonnaruwa,Stupa,11,0,11,22,positive,0.777,Not a whole lot of known about these ruins but what it has left behind are some stunning stupas and temples housing Buddha.,1577,0.013950538998097653,29,1.7386496439141066,0.024255099661452343,0.01884621243694847
Ancient City of Polonnaruwa,Entrance fee,8,13,21,42,neutral,0.846,entrance fees are a little steep.,1577,0.02663284717818643,87,0.6400373552459969,0.017046017070597254,0.014420930441725276
Ancient City of Polonnaruwa,Fortress,4,0,6,10,neutral,0.768,"In our opinion and alongside the marvelous Dambulla caves and the Sigiriya Rock Fortress/Palace, the ruins of Pollonaruwa Archeological Park are one of the most interesting remains of the island's glorious past and one of the main reasons for us coming to Sri Lanka.",1577,0.0063411540900443885,9,2.908720896564361,0.01844464741004668,0.014165489210915849
Ancient City of Polonnaruwa,Souvenir stalls,9,3,11,23,neutral,0.777,It was very very hot but cold drinks could be obtained from stalls near the entrances.,1577,0.014584654407102092,49,1.214125175789954,0.017707596095858556,0.0137588021664821
Ancient City of Polonnaruwa,Hindu shrine,3,0,14,17,neutral,0.758,Nissankamalla was another great king who established matrimonial relations with south India kings leading to Hindu influence on archaeological ruins.,1577,0.01077996195307546,39,1.4423838277709342,0.015548842785102018,0.01178602283110733
Ancient City of Polonnaruwa,Family friendliness,9,7,23,39,neutral,0.752,"As we did it with two very young children, we used a driver to shuttle between the sites, which I'd recommend.",1577,0.024730500951173115,89,0.6173091041684409,0.01526636338780545,0.0114803052676297
Ancient City of Polonnaruwa,Information boards,0,0,6,6,neutral,0.78,"The scale, taken as a whole is impressive, but it’s doesn’t really have that Angkor Wat wow factor plus the lack of information boards (some deliberately destroyed or defaced at that), maps etc for context, frankly useless guides and a high ticket price makes this a missable site from my perspective.",1577,0.003804692454026633,4,3.71965111278069,0.01415212852040846,0.011038660245918598
Ancient City of Polonnaruwa,Value for money,14,38,0,52,negative,0.857,"We spoke to a local about this and apparently it is a really common scam and those that have gone with the ""bribery"" option haven't been able to get in to see some sites, particularly Gal Vihara.",1577,0.032974001268230815,112,0.38744660260548613,0.01277566476568502,0.010948744704192062
Ancient City of Polonnaruwa,Forest,6,0,6,12,positive,0.78,Polonnaruwa if your interested in history is amazing a city from 600-1300 AD then abandoned to the jungle then uncovered in the early 1900s the site is huge 2-3 miles across.,1577,0.007609384908053266,51,1.1741198411762548,0.00893432979969249,0.006968777243760143
Ancient City of Polonnaruwa,Parking,3,3,6,12,neutral,0.797,Parking is difficult.,1577,0.007609384908053266,54,1.1169614273363062,0.008499389428050523,0.006774013374156267
Ancient City of Polonnaruwa,Toilets,4,1,2,7,positive,0.817,"buildings are well preserved to say they were buried beneath jungle for centuries!There is ample parking and good visitor facilities (toilets, wash facilities, food and drink)We travelled around by car, which was straightforward enough.",1577,0.004438807863031071,37,1.4950275612563562,0.00663614009435288,0.005421726457086303
Ancient City of Polonnaruwa,Crowdedness,5,26,1,32,negative,0.827,As a World Heritage site in the heat and crowded with school groups I was a bit underwhelmed.,1577,0.020291693088142042,122,0.3019244291673241,0.006126557852475822,0.005066663343997505
Ancient City of Polonnaruwa,Wildlife,5,1,2,8,positive,0.795,"One revers the Buddha without much reference to the animal kingdom and the other is prolific in carving animals, 'grotesque' masks and moonstones with story telling symbolisms threaded throughout the buildings and statues.",1577,0.0050729232720355105,54,1.1169614273363062,0.005666259618700349,0.004504676396866777
Ancient City of Polonnaruwa,Cleanliness,17,6,0,23,positive,0.885,well maintained ruins,1577,0.014584654407102092,117,0.34377153910282454,0.005013789092812279,0.004437203347138867
Ancient City of Polonnaruwa,Paintings,1,0,4,5,neutral,0.76,"The early sites were ruins but they got better, some with stunning stone buddhas and intricate frescos and paintings.",1577,0.0031705770450221942,29,1.7386496439141066,0.005512522650330079,0.0041895172142508595
Ancient City of Polonnaruwa,Accommodation,5,0,9,14,neutral,0.77,There are a lot of the great hotels and small guest houses to stay in this city.,1577,0.008877615726062143,90,0.6061358035703155,0.005381040741905147,0.004143401371266963
Ancient City of Polonnaruwa,Safety,9,3,0,12,positive,0.833,"This entailed not buying the official ticket and paying him the cash instead which he could use to ""bribe"" the guards.",1577,0.007609384908053266,86,0.651598177647073,0.004958261339102647,0.004130231695472505
Ancient City of Polonnaruwa,Service quality,8,2,3,13,positive,0.789,You can just rent a bike instead of tuktuk....i should have done this if only i knew that the road is good..i thought it will be just like in Bagan so i took a tuktuk.For a bike you an rent it for 500 rupeesFor a tuktuk service for 3 hours you an pay 1300-1500 good for 32.,1577,0.008243500317057704,88,0.6286086594223741,0.005181935683253559,0.004088547254087058
Ancient City of Polonnaruwa,Restaurants,1,1,3,5,neutral,0.78,"On the other hand I also have to admit that my disappointment arose from Polonnaruwa city itself which is very dusty, noisy and hard to find good local restaurants here.We rented bikes just in front of the entrance for 500 LKR/pc (they didn´t want to lower their price at all).",1577,0.0031705770450221942,49,1.214125175789954,0.0038494774121431647,0.0030025923814716686
Ancient City of Polonnaruwa,Peacefulness,19,0,0,19,positive,0.817,"Stunning, serene site",1577,0.012048192771084338,129,0.24613306953890854,0.0029654586691434765,0.00242277973269022
Ancient City of Polonnaruwa,Scenic view,10,0,7,17,positive,0.79,I travelled here solo...from dambulla i took a bus for 1.5 hours....dont worry the scenic view is amazing.....As a design professional this is heaven to me....others might find this boring but i find this very interesting...although all you can find here are ruins.,1577,0.01077996195307546,128,0.25391520998096345,0.002737196302901952,0.0021623850792925423
Angurukaramulla Temple,Temple,101,4,45,150,positive,0.8,Nice temple!,490,0.30612244897959184,76,0.7752121336142496,0.23730983682068865,0.18984786945655094
Angurukaramulla Temple,Paintings,21,0,19,40,positive,0.782,Had an interesting 'tour' explaining Buddhism and the Buddhist paintings and statues.,490,0.08163265306122448,29,1.7386496439141066,0.14193058317666174,0.11098971604414948
Angurukaramulla Temple,Sculptures,40,0,20,60,positive,0.793,"We were told that this was the oldest temple in Negombo, and it was under restoration at the time we visited - there were loads of impressive statues and artworks in there , but many in a state of disrepair.",490,0.12244897959183673,55,1.0986122886681098,0.1345239537144624,0.10667749529556869
Angurukaramulla Temple,Buddha statue,26,0,23,49,positive,0.796,"Really loved this temple, the giant Buddha statue outside is lovely in itself but inside the other Buddhas and statues are really fabulous, as are the paintings and the ceilings, all really impressive.",490,0.1,47,1.255797872190522,0.12557978721905222,0.09996151062636557
Angurukaramulla Temple,Murals,8,0,7,15,positive,0.796,"They are renovating them all and there are statues and wall paintings.The main temple is also interesting with a lot of the many stories of Buddha's lives, it also has a very large reclining Buddha.There is also a building from 1941 that is fascinating",490,0.030612244897959183,11,2.70805020110221,0.08289949595210847,0.06598799877787834
Angurukaramulla Temple,Local guide,12,2,11,25,positive,0.758,"However the work going on to bring it back to its former glory was impressive, and the guide who worked there showed us around,all the finished parts and the ongoing works, giving us a shawl to cover our shoulders out of respect (luckily our trousers were below the knee, so we were allowed in).",490,0.05102040816326531,66,0.9162907318741551,0.046749527136436486,0.03543614156941886
Angurukaramulla Temple,Public transport access,8,1,18,27,neutral,0.778,"for the tuk-tuk journey back (fortunately this 1000 Rupees was accepted).BUT - the SCAM is that people usually give 300-600 Rupees, and an extra '0' is added by the guides who then use the ""guestbook"" to con/guilt people such as myself.BEWARE if you do visit here, and perhaps write donations as ""THREE HUNDRED"", rather",490,0.05510204081632653,90,0.6061358035703155,0.03339931978856841,0.02598467079550622
Angurukaramulla Temple,Hindu shrine,1,1,6,8,neutral,0.76,"There are lots of shrines in Negombo, both Christian and Buddhist, This shrine is a beautiful example of the Buddhist faith, well kept and immaculately clean.",490,0.0163265306122449,39,1.4423838277709342,0.023549123718709132,0.01789733402621894
Angurukaramulla Temple,Ticket price,5,3,8,16,neutral,0.788,"I felt guilty as the most I could really give was 1000 as I needed cash for the tuk-tuk journey back (fortunately this 1000 Rupees was accepted).BUT - the SCAM is that people usually give 300-600 Rupees, and an extra '0' is added by the guides who then use the ""guestbook"" to con/guilt people such as myself.BEWARE",490,0.0326530612244898,94,0.5626506916305767,0.01837226748181475,0.014477346775670023
Angurukaramulla Temple,Beach,4,0,5,9,neutral,0.784,"Nice hotels, I stayed in WIND MILL BEACH HOTEL.",490,0.018367346938775512,64,0.9470623905409088,0.017395023499730978,0.013637698423789087
Angurukaramulla Temple,Stupa,2,0,3,5,neutral,0.764,"This is a smaller and different temple, different in that you are allowed in the Stupa and it has an historic and interesting reflection of all the past Kings and Queens (a few) of Sri Lanka.",490,0.01020408163265306,29,1.7386496439141066,0.017741322897082717,0.013554370693371197
Angurukaramulla Temple,Guided tours,3,0,2,5,positive,0.84,There were no monks around to give a guided tour but I was able to go in and admire the art and workmanship - beautiful inside and seems to be in the process of renovation.,490,0.01020408163265306,36,1.5224265354444706,0.015534964647392556,0.013049370303809748
Angurukaramulla Temple,Peacefulness,27,0,0,27,positive,0.803,The serene environment of the temple attracts many foreigners who visit to the city.,490,0.05510204081632653,129,0.24613306953890854,0.013562434443980675,0.010890634858516483
Angurukaramulla Temple,Entrance fee,1,1,8,10,neutral,0.816,"I visited this beautiful temple with friends, entrance fee 1000 rupees for the restoration.But it's worth it.To wander around calmly and photograph",490,0.02040816326530612,87,0.6400373552459969,0.013061986841755038,0.01065858126287211
Angurukaramulla Temple,Value for money,10,6,0,16,positive,0.81,This is very good place to visit.Entrance is free.Wear appropriately.,490,0.0326530612244898,112,0.38744660260548613,0.012651317636097507,0.01024756728523898
Angurukaramulla Temple,Accommodation,4,0,3,7,positive,0.786,"Nice hotels, I stayed in WIND MILL BEACH HOTEL.",490,0.014285714285714285,90,0.6061358035703155,0.008659082908147363,0.006806039165803828
Angurukaramulla Temple,Family friendliness,3,0,4,7,neutral,0.766,"Me and my mom stayed in this hotel for 2 days.First of all, I want to say thank Siri and Nishan (owners) who make everything for your stay to be comfortable.They treat hotel guests as their family guests, assisting with everything.Villa is located in jungles, so it is very green and beautiful around.",490,0.014285714285714285,89,0.6173091041684409,0.008818701488120584,0.006755125339900367
Angurukaramulla Temple,Cleanliness,6,1,0,7,positive,0.891,"Beach is in a walking distance (3-5 mins).Room is very clean and spacious, with a pot and cups for having tea.",490,0.014285714285714285,117,0.34377153910282454,0.004911021987183207,0.004375720590580238
