place_name,feature,review_percentage,review_count,total_reviews,avg_confidence,dominant_sentiment
Baker's Falls,Stairs,13.6,17,125.0,0.7859,positive
Baker's Falls,Weather condition,10.4,13,125.0,0.7846,negative
Batticaloa Fort,Fort,79.66,94,118.0,0.7119,positive
Batticaloa Fort,Scenic view,30.51,36,118.0,0.7933,positive
Batticaloa Fort,Local guide,25.42,30,118.0,0.7533,neutral
Batticaloa Fort,Lagoon,16.1,19,118.0,0.7916,positive
Batticaloa Fort,Cleanliness,11.02,13,118.0,0.88,positive
Beddegana Wetland Park,Birds,50.0,20,40.0,0.745,neutral
Beddegana Wetland Park,Peacefulness,42.5,17,40.0,0.7859,positive
Beddegana Wetland Park,Family friendliness,27.5,11,40.0,0.7273,neutral
Beddegana Wetland Park,Trail,27.5,11,40.0,0.7655,positive
Beddegana Wetland Park,Ticket price,20.0,8,40.0,0.7338,neutral
Beddegana Wetland Park,Lake,15.0,6,40.0,0.68,neutral
Beddegana Wetland Park,Cleanliness,12.5,5,40.0,0.864,positive
Beddegana Wetland Park,Scenic view,12.5,5,40.0,0.764,positive
Beddegana Wetland Park,Service quality,12.5,5,40.0,0.788,positive
Bentota Beach,Beach,93.17,559,600.0,0.8191,positive
Bentota Beach,Cleanliness,42.0,252,600.0,0.879,positive
Bentota Beach,Sandy beach,31.5,189,600.0,0.7706,positive
Bentota Beach,Sea,29.33,176,600.0,0.7525,positive
Bentota Beach,Accommodation,27.33,164,600.0,0.7877,neutral
Bentota Beach,Waves,23.83,143,600.0,0.769,positive
Bentota Beach,Peacefulness,18.0,108,600.0,0.8126,positive
Bentota Beach,Sunset view,13.0,78,600.0,0.8482,positive
Bentota Beach,Crowdedness,11.5,69,600.0,0.8528,negative
Bentota Beach,Scenic view,11.33,68,600.0,0.7981,positive
Bentota Beach,Family friendliness,10.67,64,600.0,0.7728,positive
Bogoda Wooden Bridge,Bridge,90.24,37,41.0,0.7714,neutral
Bogoda Wooden Bridge,Temple,63.41,26,41.0,0.7723,neutral
Bogoda Wooden Bridge,Road access,46.34,19,41.0,0.7005,positive
Bogoda Wooden Bridge,Cave,24.39,10,41.0,0.7,neutral
Bogoda Wooden Bridge,Cave temple,17.07,7,41.0,0.7943,neutral
Bogoda Wooden Bridge,River,17.07,7,41.0,0.7857,positive
Bogoda Wooden Bridge,Public transport access,14.63,6,41.0,0.75,neutral
Bogoda Wooden Bridge,Stairs,12.2,5,41.0,0.752,neutral
Bopath Ella (Bopath Falls),Waterfall,64.29,27,42.0,0.7963,positive
Bopath Ella (Bopath Falls),Rock formation,21.43,9,42.0,0.8,negative
Bopath Ella (Bopath Falls),Weather condition,21.43,9,42.0,0.7733,negative
Bopath Ella (Bopath Falls),River,19.05,8,42.0,0.78,neutral
Bopath Ella (Bopath Falls),Safety,19.05,8,42.0,0.84,negative
Bopath Ella (Bopath Falls),Scenic view,19.05,8,42.0,0.7588,positive
Bopath Ella (Bopath Falls),Road access,16.67,7,42.0,0.6586,neutral
Bopath Ella (Bopath Falls),Ticket price,16.67,7,42.0,0.7543,neutral
Bopath Ella (Bopath Falls),Cleanliness,11.9,5,42.0,0.88,negative
Bopath Ella (Bopath Falls),Family friendliness,11.9,5,42.0,0.792,positive
Brief Garden - Bevis Bawa,Ticket price,21.55,86,399.0,0.7657,neutral
Brief Garden - Bevis Bawa,Local guide,16.79,67,399.0,0.7669,positive
Brief Garden - Bevis Bawa,Public transport access,15.54,62,399.0,0.8029,neutral
Brief Garden - Bevis Bawa,Peacefulness,15.04,60,399.0,0.81,positive
Brief Garden - Bevis Bawa,Sculptures,13.78,55,399.0,0.7836,positive
Brief Garden - Bevis Bawa,Entrance fee,13.03,52,399.0,0.8408,neutral
Brief Garden - Bevis Bawa,Scenic view,13.03,52,399.0,0.8085,positive
Brief Garden - Bevis Bawa,Road access,10.28,41,399.0,0.6893,neutral
Buduruwagala Temple,Sculptures,68.38,80,117.0,0.79,positive
Buduruwagala Temple,Rock formation,56.41,66,117.0,0.7145,positive
Buduruwagala Temple,Peacefulness,41.88,49,117.0,0.818,positive
Buduruwagala Temple,Temple,39.32,46,117.0,0.7896,positive
Buduruwagala Temple,Buddha statue,35.9,42,117.0,0.7919,neutral
Buduruwagala Temple,Road access,31.62,37,117.0,0.7086,positive
Buduruwagala Temple,Lake,11.97,14,117.0,0.7186,positive
Buduruwagala Temple,Scenic view,11.97,14,117.0,0.8021,positive
Buduruwagala Temple,Ticket price,11.97,14,117.0,0.7479,neutral
Buduruwagala Temple,Trail,11.11,13,117.0,0.7677,positive
Casuarina Beach,Beach,89.29,175,196.0,0.8118,positive
Casuarina Beach,Cleanliness,41.84,82,196.0,0.8756,positive
Casuarina Beach,Sea,23.98,47,196.0,0.7238,positive
Casuarina Beach,Peacefulness,21.43,42,196.0,0.7657,positive
Casuarina Beach,Sandy beach,21.43,42,196.0,0.7486,positive
Casuarina Beach,Family friendliness,17.86,35,196.0,0.7686,positive
Casuarina Beach,Water depth,17.86,35,196.0,0.7697,positive
Casuarina Beach,Crowdedness,15.82,31,196.0,0.8632,negative
Casuarina Beach,Safety,13.27,26,196.0,0.7954,positive
Casuarina Beach,Toilets,12.76,25,196.0,0.7816,neutral
Casuarina Beach,Entrance fee,12.24,24,196.0,0.8117,neutral
Casuarina Beach,Ticket price,11.73,23,196.0,0.7365,neutral
Casuarina Beach,Shops,10.71,21,196.0,0.6986,neutral
Ceylon Tea Museum,Museum,51.43,251,488.0,0.7875,positive
Ceylon Tea Museum,Local guide,29.92,146,488.0,0.7712,positive
Ceylon Tea Museum,Value for money,23.98,117,488.0,0.8277,positive
Ceylon Tea Museum,Ticket price,19.67,96,488.0,0.7902,positive
Ceylon Tea Museum,Shops,17.42,85,488.0,0.7275,positive
Ceylon Tea Museum,Service quality,12.7,62,488.0,0.8032,positive
Ceylon Tea Museum,Scenic view,11.48,56,488.0,0.8212,positive
Ceylon Tea Museum,Guided tours,11.07,54,488.0,0.833,positive
Ceylon Tea Museum,Public transport access,11.07,54,488.0,0.7996,neutral
Ceylon Tea Museum,Tea plantation,11.07,54,488.0,0.8167,neutral
Ceylon Tea Museum,Mountain,10.45,51,488.0,0.7557,positive
Coconut Tree Hill,Scenic view,68.0,85,125.0,0.7855,positive
Coconut Tree Hill,Mountain,40.0,50,125.0,0.7068,neutral
Coconut Tree Hill,Sunset view,34.4,43,125.0,0.8395,positive
Coconut Tree Hill,Beach,28.0,35,125.0,0.7851,positive
Coconut Tree Hill,Crowdedness,28.0,35,125.0,0.8417,negative
Coconut Tree Hill,Sea,28.0,35,125.0,0.784,positive
Coconut Tree Hill,Road access,15.2,19,125.0,0.6568,neutral
Coconut Tree Hill,Viewpoint,12.0,15,125.0,0.824,positive
Colombo Lotus Tower,Scenic view,69.33,52,75.0,0.8087,positive
Colombo Lotus Tower,Ticket price,34.67,26,75.0,0.7873,neutral
Colombo Lotus Tower,Viewpoint,25.33,19,75.0,0.8284,positive
Colombo Lotus Tower,Value for money,20.0,15,75.0,0.8587,negative
Colombo Lotus Tower,Restaurants,18.67,14,75.0,0.78,neutral
Colombo Lotus Tower,Family friendliness,13.33,10,75.0,0.764,positive
Colombo Lotus Tower,Service quality,13.33,10,75.0,0.796,positive
Colombo Lotus Tower,Food quality,12.0,9,75.0,0.7489,positive
Colombo Lotus Tower,Entrance fee,10.67,8,75.0,0.78,neutral
Colombo National Museum,Museum,69.2,346,500.0,0.7889,positive
Colombo National Museum,Ticket price,15.4,77,500.0,0.7701,neutral
Colombo National Museum,Colonial architecture,12.0,60,500.0,0.792,positive
Colombo National Museum,Weather condition,11.6,58,500.0,0.7448,negative
Colombo National Museum,Family friendliness,10.4,52,500.0,0.7569,positive
Dagoba of Thuparama,Stupa,69.7,92,132.0,0.7759,neutral
Dagoba of Thuparama,Temple,23.48,31,132.0,0.7768,neutral
Dagoba of Thuparama,Buddha statue,20.45,27,132.0,0.7511,neutral
Dagoba of Thuparama,Weather condition,16.67,22,132.0,0.7236,negative
Dagoba of Thuparama,Ancient ruins,15.15,20,132.0,0.762,neutral
Dambulla Cave Temple,Cave,70.4,352,500.0,0.7603,positive
Dambulla Cave Temple,Temple,68.0,340,500.0,0.7926,positive
Dambulla Cave Temple,Sculptures,39.2,196,500.0,0.7872,positive
Dambulla Cave Temple,Stairs,39.0,195,500.0,0.7755,neutral
Dambulla Cave Temple,Buddha statue,36.8,184,500.0,0.8008,positive
Dambulla Cave Temple,Cave temple,30.2,151,500.0,0.825,positive
Dambulla Cave Temple,Paintings,29.0,145,500.0,0.7859,positive
Dambulla Cave Temple,Ticket price,21.4,107,500.0,0.7664,neutral
Dambulla Cave Temple,Scenic view,21.2,106,500.0,0.7981,positive
Dambulla Cave Temple,Rock formation,18.6,93,500.0,0.7103,positive
Dambulla Cave Temple,Local guide,17.2,86,500.0,0.7458,neutral
Dambulla Cave Temple,Weather condition,16.2,81,500.0,0.7375,negative
Dambulla Cave Temple,Murals,11.4,57,500.0,0.7961,positive
Dambulla Cave Temple,Mountain,10.0,50,500.0,0.732,neutral
Dehiwala Zoo - Sri Lanka,Wildlife,81.63,40,49.0,0.788,positive
Dehiwala Zoo - Sri Lanka,Family friendliness,34.69,17,49.0,0.7659,positive
Dehiwala Zoo - Sri Lanka,Birds,28.57,14,49.0,0.7557,neutral
Dehiwala Zoo - Sri Lanka,Elephants,26.53,13,49.0,0.78,neutral
Dehiwala Zoo - Sri Lanka,Cleanliness,16.33,8,49.0,0.88,positive
Dehiwala Zoo - Sri Lanka,Food quality,14.29,7,49.0,0.7371,positive
Dehiwala Zoo - Sri Lanka,Crowdedness,12.24,6,49.0,0.8433,negative
Dehiwala Zoo - Sri Lanka,Ticket price,12.24,6,49.0,0.7917,neutral
Dehiwala Zoo - Sri Lanka,Entrance fee,10.2,5,49.0,0.808,negative
Dehiwala Zoo - Sri Lanka,Souvenir stalls,10.2,5,49.0,0.804,positive
Demodara Loop,Scenic view,33.33,42,126.0,0.7638,positive
Demodara Loop,Bridge,26.19,33,126.0,0.7624,neutral
Demodara Loop,Mountain,19.84,25,126.0,0.7312,neutral
Demodara Loop,Trail,19.05,24,126.0,0.7683,neutral
Demodara Loop,Public transport access,16.67,21,126.0,0.7971,neutral
Demodara Loop,Ticket price,15.08,19,126.0,0.7416,neutral
Demodara Loop,Road access,11.11,14,126.0,0.6471,neutral
Devon Falls,Waterfall,71.92,146,203.0,0.7953,positive
Devon Falls,Scenic view,50.74,103,203.0,0.7696,positive
Devon Falls,Road access,36.45,74,203.0,0.6811,positive
Devon Falls,Viewpoint,17.24,35,203.0,0.8023,neutral
Diyaluma Falls,Waterfall,87.21,150,172.0,0.804,positive
Diyaluma Falls,Scenic view,35.47,61,172.0,0.8075,positive
Diyaluma Falls,Road access,31.98,55,172.0,0.6833,positive
Diyaluma Falls,Local guide,26.74,46,172.0,0.7615,neutral
Diyaluma Falls,Public transport access,19.19,33,172.0,0.7867,neutral
Diyaluma Falls,Rock formation,15.12,26,172.0,0.7508,neutral
Diyaluma Falls,Weather condition,14.53,25,172.0,0.7864,negative
Diyaluma Falls,Trail,13.95,24,172.0,0.71,neutral
Diyaluma Falls,Safety,10.47,18,172.0,0.7944,positive
Diyatha Uyana,Food quality,68.25,86,126.0,0.7151,positive
Diyatha Uyana,Family friendliness,53.17,67,126.0,0.7696,positive
Diyatha Uyana,Lake,32.54,41,126.0,0.72,positive
Diyatha Uyana,Crowdedness,30.16,38,126.0,0.8442,negative
Diyatha Uyana,Trail,26.98,34,126.0,0.7435,positive
Diyatha Uyana,Market,20.63,26,126.0,0.8138,positive
Diyatha Uyana,Scenic view,19.05,24,126.0,0.7846,positive
Diyatha Uyana,Souvenir stalls,19.05,24,126.0,0.7692,neutral
Diyatha Uyana,Parking,18.25,23,126.0,0.7948,neutral
Diyatha Uyana,Restaurants,18.25,23,126.0,0.7974,positive
Diyatha Uyana,Cleanliness,15.08,19,126.0,0.8905,positive
Diyatha Uyana,Shops,13.49,17,126.0,0.7712,positive
Dondra Head Lighthouse,Lighthouse,71.19,84,118.0,0.7933,positive
Dondra Head Lighthouse,Scenic view,50.0,59,118.0,0.8114,positive
Dondra Head Lighthouse,Beach,27.12,32,118.0,0.7906,positive
Dondra Head Lighthouse,Sea,24.58,29,118.0,0.7731,positive
Dondra Head Lighthouse,Peacefulness,11.86,14,118.0,0.8229,positive
Dondra Head Lighthouse,Stairs,10.17,12,118.0,0.775,neutral
Dondra Head Lighthouse,Ticket price,10.17,12,118.0,0.7308,neutral
Dutch Hospital Shopping Precinct,Shops,55.87,438,784.0,0.7537,positive
Dutch Hospital Shopping Precinct,Restaurants,54.08,424,784.0,0.7906,positive
Dutch Hospital Shopping Precinct,Food quality,23.98,188,784.0,0.735,positive
Dutch Hospital Shopping Precinct,Value for money,17.22,135,784.0,0.8684,negative
Dutch Hospital Shopping Precinct,Cafes,14.67,115,784.0,0.7746,positive
Dutch Hospital Shopping Precinct,Fort,13.39,105,784.0,0.7076,positive
Elephant Pass,Elephants,37.19,45,121.0,0.7596,neutral
Elephant Pass,Road access,20.66,25,121.0,0.674,neutral
Elephant Pass,Scenic view,12.4,15,121.0,0.7713,positive
Elephant Transit Home (ETH),Elephants,92.4,462,500.0,0.7902,positive
Elephant Transit Home (ETH),Wildlife,24.6,123,500.0,0.7844,positive
Elephant Transit Home (ETH),Ticket price,12.0,60,500.0,0.778,neutral
Elephant Transit Home (ETH),Family friendliness,10.8,54,500.0,0.7622,neutral
Ella Rock,Scenic view,76.0,380,500.0,0.8011,positive
Ella Rock,Trail,46.0,230,500.0,0.7593,neutral
Ella Rock,Rock formation,42.8,214,500.0,0.7007,neutral
Ella Rock,Local guide,39.4,197,500.0,0.7585,neutral
Ella Rock,Mountain,23.2,116,500.0,0.74,positive
Ella Rock,Weather condition,15.8,79,500.0,0.7575,negative
Ella Rock,Tea plantation,14.4,72,500.0,0.8119,neutral
Ella Rock,Signage,13.8,69,500.0,0.7362,neutral
Ella Rock,Viewpoint,13.8,69,500.0,0.7994,neutral
Ella Rock,Bridge,12.6,63,500.0,0.7556,neutral
Ella Rock,Waterfall,12.4,62,500.0,0.78,neutral
Ella Rock,Ticket price,11.4,57,500.0,0.7674,neutral
Embekka Devalaya,Sculptures,83.72,36,43.0,0.7928,positive
Embekka Devalaya,Temple,60.47,26,43.0,0.8015,positive
Embekka Devalaya,Hindu shrine,18.6,8,43.0,0.7725,neutral
Embekka Devalaya,Road access,16.28,7,43.0,0.6971,neutral
Embekka Devalaya,Peacefulness,11.63,5,43.0,0.84,positive
Embekka Devalaya,Public transport access,11.63,5,43.0,0.744,positive
Embekka Devalaya,Ticket price,11.63,5,43.0,0.736,neutral
Fort Frederick,Fort,69.3,149,215.0,0.6988,neutral
Fort Frederick,Temple,68.84,148,215.0,0.7796,neutral
Fort Frederick,Scenic view,34.42,74,215.0,0.7859,positive
Fort Frederick,Hindu shrine,25.58,55,215.0,0.784,positive
Fort Frederick,Mountain,12.09,26,215.0,0.7046,neutral
Fort Frederick,Sea,12.09,26,215.0,0.7362,positive
Fort Frederick,Beach,10.23,22,215.0,0.7864,positive
Fort Frederick,Road access,10.23,22,215.0,0.6682,neutral
Fort Frederick,Rock formation,10.23,22,215.0,0.7236,neutral
Gal Oya National Park,Elephants,67.12,49,73.0,0.7865,positive
Gal Oya National Park,Birds,53.42,39,73.0,0.7856,positive
Gal Oya National Park,Boat service,53.42,39,73.0,0.7195,positive
Gal Oya National Park,Wildlife,41.1,30,73.0,0.7827,neutral
Gal Oya National Park,Lake,35.62,26,73.0,0.73,positive
Gal Oya National Park,Forest,17.81,13,73.0,0.7846,neutral
Gal Oya National Park,Peacefulness,16.44,12,73.0,0.81,positive
Gal Oya National Park,Scenic view,15.07,11,73.0,0.8164,positive
Gal Oya National Park,Local guide,10.96,8,73.0,0.7412,neutral
Gal Oya National Park,Road access,10.96,8,73.0,0.6575,neutral
Gal Vihara,Sculptures,62.0,310,500.0,0.7919,positive
Gal Vihara,Buddha statue,56.0,280,500.0,0.8017,neutral
Gal Vihara,Rock formation,37.8,189,500.0,0.7047,neutral
Gal Vihara,Temple,29.6,148,500.0,0.7746,neutral
Gal Vihara,Ancient ruins,14.4,72,500.0,0.7694,neutral
Galle Dutch Fort,Fort,67.33,404,600.0,0.7102,positive
Galle Dutch Fort,Shops,34.33,206,600.0,0.7599,positive
Galle Dutch Fort,Scenic view,33.17,199,600.0,0.8145,positive
Galle Dutch Fort,Restaurants,31.17,187,600.0,0.7832,positive
Galle Dutch Fort,Sea,20.67,124,600.0,0.7665,positive
Galle Dutch Fort,Heritage site,15.0,90,600.0,0.7922,neutral
Galle Dutch Fort,Cafes,14.0,84,600.0,0.7831,positive
Galle Dutch Fort,Accommodation,12.17,73,600.0,0.7712,neutral
Galle Dutch Fort,Beach,11.67,70,600.0,0.7886,positive
Galle Dutch Fort,Weather condition,11.5,69,600.0,0.7374,negative
Galle Dutch Fort,Sunset view,11.33,68,600.0,0.8468,positive
Galle Face Green,Food quality,47.08,226,480.0,0.7112,neutral
Galle Face Green,Sea,38.12,183,480.0,0.7492,positive
Galle Face Green,Souvenir stalls,27.92,134,480.0,0.7718,neutral
Galle Face Green,Family friendliness,26.46,127,480.0,0.7591,neutral
Galle Face Green,Sunset view,24.17,116,480.0,0.8462,positive
Galle Face Green,Beach,23.96,115,480.0,0.785,neutral
Galle Face Green,Accommodation,23.54,113,480.0,0.7789,neutral
Galle Face Green,Scenic view,21.25,102,480.0,0.7698,positive
Galle Face Green,Crowdedness,16.04,77,480.0,0.8465,negative
Galle Face Green,Cleanliness,12.5,60,480.0,0.8683,positive
Galle Fort Lighthouse,Lighthouse,63.0,315,500.0,0.7783,neutral
Galle Fort Lighthouse,Fort,44.0,220,500.0,0.6972,neutral
Galle Fort Lighthouse,Scenic view,32.8,164,500.0,0.798,positive
Galle Fort Lighthouse,Sea,21.4,107,500.0,0.7479,positive
Galle Fort Lighthouse,Beach,16.8,84,500.0,0.7886,positive
Galle Fort Lighthouse,Sunset view,10.8,54,500.0,0.8393,positive
Galway's Land National Park,Birds,60.94,39,64.0,0.7472,neutral
Galway's Land National Park,Forest,56.25,36,64.0,0.7828,neutral
Galway's Land National Park,Ticket price,37.5,24,64.0,0.7742,neutral
Galway's Land National Park,Trail,34.38,22,64.0,0.7618,neutral
Galway's Land National Park,Wildlife,32.81,21,64.0,0.76,neutral
Galway's Land National Park,Value for money,25.0,16,64.0,0.86,negative
Galway's Land National Park,Peacefulness,15.62,10,64.0,0.792,positive
Galway's Land National Park,Road access,14.06,9,64.0,0.67,neutral
Galway's Land National Park,Entrance fee,10.94,7,64.0,0.8371,neutral
Galway's Land National Park,Signage,10.94,7,64.0,0.74,neutral
Gangaramaya Temple,Temple,81.4,407,500.0,0.7948,positive
Gangaramaya Temple,Buddha statue,31.0,155,500.0,0.7955,neutral
Gangaramaya Temple,Sculptures,28.2,141,500.0,0.7811,neutral
Gangaramaya Temple,Museum,26.8,134,500.0,0.7748,neutral
Gangaramaya Temple,Peacefulness,22.0,110,500.0,0.8087,positive
Gangaramaya Temple,Ticket price,14.8,74,500.0,0.7636,neutral
Gangaramaya Temple,Lake,12.6,63,500.0,0.6978,neutral
Gangaramaya Temple,Entrance fee,12.4,62,500.0,0.8142,neutral
Gartmore Falls,Scenic view,100.0,6,6.0,0.8467,positive
Gartmore Falls,Waterfall,100.0,6,6.0,0.8267,positive
Goyambokka Beach,Beach,94.95,282,297.0,0.8187,positive
Goyambokka Beach,Waves,44.44,132,297.0,0.7914,positive
Goyambokka Beach,Restaurants,36.7,109,297.0,0.7963,positive
Goyambokka Beach,Food quality,29.63,88,297.0,0.7523,positive
Goyambokka Beach,Sea,20.88,62,297.0,0.7455,positive
Goyambokka Beach,Value for money,19.19,57,297.0,0.8477,negative
Goyambokka Beach,Peacefulness,18.18,54,297.0,0.797,positive
Goyambokka Beach,Crowdedness,17.17,51,297.0,0.8533,negative
Goyambokka Beach,Cleanliness,15.82,47,297.0,0.88,positive
Goyambokka Beach,Sandy beach,15.82,47,297.0,0.7549,positive
Goyambokka Beach,Family friendliness,14.14,42,297.0,0.7833,positive
Goyambokka Beach,Accommodation,13.13,39,297.0,0.7856,neutral
Goyambokka Beach,Ticket price,13.13,39,297.0,0.7856,neutral
Gregory Lake,Lake,73.6,368,500.0,0.7143,positive
Gregory Lake,Boat service,38.0,190,500.0,0.724,neutral
Gregory Lake,Scenic view,24.2,121,500.0,0.8036,positive
Gregory Lake,Ticket price,23.2,116,500.0,0.7547,neutral
Gregory Lake,Family friendliness,22.8,114,500.0,0.7677,positive
Gregory Lake,Cleanliness,21.0,105,500.0,0.8773,positive
Gregory Lake,Food quality,12.0,60,500.0,0.6933,neutral
Gregory Lake,Mountain,11.0,55,500.0,0.7764,positive
Hakgala Botanic Gardens,Ticket price,21.6,108,500.0,0.7728,neutral
Hakgala Botanic Gardens,Cleanliness,12.6,63,500.0,0.8806,positive
Hakgala Botanic Gardens,Scenic view,12.0,60,500.0,0.8223,positive
Hakgala Botanic Gardens,Value for money,11.0,55,500.0,0.864,negative
Hakgala Botanic Gardens,Entrance fee,10.8,54,500.0,0.8452,neutral
Handunugoda Tea Estate,Local guide,45.59,217,476.0,0.7782,positive
Handunugoda Tea Estate,Tea plantation,45.38,216,476.0,0.826,positive
Handunugoda Tea Estate,Value for money,38.24,182,476.0,0.8226,positive
Handunugoda Tea Estate,Shops,28.36,135,476.0,0.6898,positive
Handunugoda Tea Estate,Service quality,12.18,58,476.0,0.8024,positive
Handunugoda Tea Estate,Guided tours,11.34,54,476.0,0.8396,positive
Handunugoda Tea Estate,Public transport access,11.13,53,476.0,0.8057,positive
Handunugoda Tea Estate,Ticket price,11.13,53,476.0,0.7896,positive
Henerathgoda Botanical Garden,Peacefulness,28.95,11,38.0,0.7782,positive
Henerathgoda Botanical Garden,Family friendliness,21.05,8,38.0,0.775,positive
Henerathgoda Botanical Garden,Cleanliness,13.16,5,38.0,0.864,positive
Hikkaduwa Beach,Beach,90.17,541,600.0,0.8122,positive
Hikkaduwa Beach,Turtles,33.67,202,600.0,0.7836,neutral
Hikkaduwa Beach,Waves,28.0,168,600.0,0.7638,positive
Hikkaduwa Beach,Sea,27.33,164,600.0,0.721,positive
Hikkaduwa Beach,Cleanliness,24.83,149,600.0,0.8761,positive
